,BlkSh,BlkCr,BlkPs
358,0.1,-,0.3
359,-,-,0.1
360,0.1,-,0.4
361,-,0.1,0.6
362,0.1,0.1,0.5
363,0.6,0.1,0.4
364,-,-,-
365,-,-,0.4
366,0.3,-,0.7
367,-,-,0.3
368,0.1,-,0.1
369,0.1,-,0.2
370,-,0.1,0.3
371,-,-,-
372,0.3,0.3,0.3
373,-,-,-
374,0.4,-,0.8
375,0.2,0.1,0.4
376,0.3,0.1,0.3
377,-,-,-
378,-,0.1,0.5
379,-,-,0.1
380,0.1,-,0.5
381,0.1,-,0.4
382,-,-,0.1
383,-,-,-
384,0.2,0.2,0.3
385,-,0.1,0.4
386,-,-,-
387,-,-,0.2
388,-,-,0.4
389,-,-,0.4
390,0.2,-,0.6
391,-,-,0.3
392,-,0.1,0.3
393,0.1,0.1,0.4
394,-,-,0.3
395,-,-,-
396,0.3,-,-
397,-,-,-
398,-,-,-
399,0.2,-,0.5
400,-,-,0.2
401,0.1,-,0.4
402,-,-,-
403,0.2,0.1,0.3
404,-,-,-
405,-,0.3,-
406,-,-,0.2
407,0.1,0.1,0.2
408,-,-,1.8
409,-,0.1,0.6
410,0.3,-,-
411,0.5,-,-
412,0.2,0.1,0.3
413,-,0.1,0.3
414,-,0.1,0.2
415,-,0.1,0.1
416,0.1,0.1,0.2
417,-,-,-
418,-,-,0.4
419,0.1,0.1,0.3
420,0.1,-,0.1
421,-,-,0.2
422,1,-,-
423,-,-,0.2
424,-,-,0.3
425,0.1,-,-
426,-,-,0.2
427,-,-,-
428,-,-,-
429,-,0.5,-
430,-,-,0.2
431,0.5,-,0.5
432,-,-,0.3
433,-,-,0.4
434,-,-,0.1
435,1,-,-
436,0.2,-,0.2
437,0.1,-,0.5
438,0.5,0.1,0.3
439,0.1,0.1,0.6
440,-,-,1
441,-,-,-
442,-,-,0.6
443,-,-,0.3
444,-,-,-
445,-,-,-
446,0.1,-,0.6
447,-,-,0.1
448,-,-,-
449,-,-,0.6
450,-,0.1,-
451,-,-,-
452,0.1,-,0.5
453,-,-,0.2
454,-,-,0.3
455,0.5,0.1,0.4
456,-,-,1
457,-,-,0.4
458,-,-,-
459,-,-,0.2
460,0.5,0.5,0.5
461,-,-,-
462,-,-,-
463,-,-,-
464,-,-,-
465,-,-,-
466,-,-,-
467,-,-,-
468,-,-,-
469,-,-,-
470,-,-,0.1
471,-,-,-
472,-,0.2,0.2
473,-,-,-
474,0.5,-,0.3
475,-,-,-
476,-,-,-
477,-,-,-
478,-,-,-
479,-,-,0.3
480,-,-,-
481,-,-,-
482,-,-,1
483,-,-,-
484,-,-,-
485,-,-,-
486,-,-,1
