,TotAD,WonAD,LostAD
346,1.9,0.4,1.4
347,0.5,0.2,0.3
348,1.4,1,0.4
349,4.7,2.7,2
350,0.8,0.4,0.5
351,2,0.8,1.2
352,6.3,2.1,4.2
353,0.8,0.4,0.4
354,3,0.9,2.1
355,0.2,0.2,-
356,0.5,-,0.5
357,4.1,1.9,2.2
358,3.4,1.7,1.7
359,1.4,0.9,0.4
360,0.8,0.5,0.4
361,0.4,0.2,0.3
362,1.3,0.4,0.9
363,3.1,1.8,1.3
364,2,1,1
365,1,0.4,0.6
366,1.9,0.8,1.1
367,1.4,0.3,1.1
368,1.6,0.3,1.4
369,1.8,1.3,0.6
370,3.3,1.4,1.8
371,0.5,0.5,-
372,0.1,-,0.1
373,0.5,-,0.5
374,2.6,1.4,1.2
375,1.3,0.4,0.9
376,1.3,0.5,0.8
377,2,1.7,0.3
378,0.1,-,0.1
379,1.5,0.6,0.9
380,0.1,-,0.1
381,0.7,0.3,0.4
382,0.8,0.1,0.6
383,0.1,0.1,-
384,1.5,0.8,0.7
385,0.4,0.2,0.1
386,1.5,0.6,0.9
387,1.5,0.4,1.1
388,5.4,2,3.4
389,0.6,0.2,0.5
390,1.7,0.6,1.1
391,0.2,-,0.2
392,0.3,0.1,0.2
393,0.9,0.3,0.7
394,0.2,-,0.2
395,0.5,0.5,-
396,1.1,0.9,0.3
397,-,-,-
398,0.2,0.2,-
399,3.2,0.7,2.5
400,0.4,-,0.4
401,1.1,0.9,0.2
402,0.1,-,0.1
403,0.8,0.2,0.5
404,0.1,-,0.1
405,1.7,1.3,0.3
406,1.6,0.7,0.9
407,0.4,0.3,0.1
408,1,-,1
409,2.4,1,1.4
410,1.8,0.5,1.3
411,2,0.5,1.5
412,0.4,0.2,0.3
413,0.8,0.2,0.7
414,1.3,0.3,1
415,0.2,-,0.2
416,0.4,0.4,-
417,1.1,0.5,0.6
418,0.9,0.3,0.6
419,0.4,0.1,0.3
420,1.1,0.5,0.6
421,0.8,0.4,0.4
422,1,1,-
423,0.1,-,0.1
424,0.8,0.4,0.3
425,2.9,1.4,1.5
426,1,0.5,0.5
427,1.6,0.7,0.9
428,1.6,0.7,0.9
429,-,-,-
430,0.7,0.1,0.6
431,0.5,-,0.5
432,5.9,2.1,3.8
433,2.3,1.3,1
434,1,0.4,0.6
435,1,-,1
436,0.7,0.2,0.5
437,0.8,0.1,0.6
438,1.8,0.3,1.5
439,0.3,0.1,0.2
440,-,-,-
441,-,-,-
442,0.4,0.1,0.3
443,0.7,0.7,-
444,-,-,-
445,1,1,-
446,1,0.1,0.9
447,1.3,0.3,1
448,0.6,0.3,0.3
449,1.1,0.4,0.7
450,0.5,0.1,0.5
451,-,-,-
452,1.2,0.3,0.8
453,0.8,0.2,0.6
454,0.9,-,0.9
455,0.5,0.1,0.4
456,0.5,-,0.5
457,0.4,-,0.4
458,0.6,0.2,0.4
459,0.6,-,0.6
460,0.5,-,0.5
461,-,-,-
462,-,-,-
463,0.5,-,0.5
464,1.7,0.5,1.2
465,-,-,-
