,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
102,Alassane Pléa,23(5),1812,11,4,3,-,1.4,75.6,0.5,2,6.76
103,Ridle Baku,14(1),1175,2,1,2,-,1.2,78,0.3,1,6.76
104,Matús Bero,26(1),2300,5,1,10,-,1.1,74.9,0.9,1,6.76
105,Nikola Vasilj,31,2790,-,-,-,-,-,71.4,0.3,3,6.75
106,Robin Hack,24(6),1956,4,6,4,-,1.6,79.1,0.6,2,6.75
107,Jeff Chabot,24(4),2029,3,1,8,1,0.6,89.3,2.5,-,6.74
108,Ansgar Knauff,15(12),1362,3,5,2,-,1,67.1,0.7,2,6.74
109,Sven Ulreich,1,90,-,-,-,-,-,80.8,-,-,6.74
110,Exequiel Palacios,10(11),1003,1,6,1,-,0.6,90.5,-,2,6.74
111,Julian Brandt,25(2),2071,4,6,1,-,1.5,82.7,0.4,1,6.74
112,Ibrahima Sissoko,27(2),2407,2,1,8,1,0.8,76.9,2.2,2,6.74
113,Maximilian Beier,17(12),1592,8,5,2,-,1.4,72.6,0.8,2,6.74
114,Castello Lukeba,16(5),1397,-,-,2,-,0.2,86.6,1.1,1,6.73
115,Kevin Trapp,23,2026,-,-,-,-,-,70.6,0.2,-,6.73
116,Keven Schlotterbeck,15(3),1298,3,1,2,1,0.7,85,2.2,1,6.73
117,Marius Bülter,20(2),1517,5,1,4,-,1.3,73.8,0.7,1,6.73
118,Marvin Pieringer,23(5),1971,7,2,7,-,1.9,68.1,2.5,1,6.73
119,Andrej Kramaric,29,2520,11,5,3,-,2.1,83.8,0.2,2,6.73
120,Karol Mets,10,900,-,-,1,-,0.3,83.6,2.4,-,6.73
121,Atakan Karazor,28(1),2357,1,4,8,1,0.4,87,1.7,-,6.73
122,Julian Ryerson,24(2),2005,1,3,4,1,0.6,89.5,0.4,-,6.73
123,Pascal Groß,26(2),2175,-,8,4,1,0.9,86.2,0.8,-,6.72
124,Christopher Trimmel,18(5),1582,-,2,5,-,0.3,66.6,1,-,6.72
125,Ridle Baku,14(2),1167,1,2,1,-,1,78.2,0.6,-,6.72
126,Léo Scienza,12(11),1084,3,2,-,-,1.5,74.1,0.1,2,6.72
127,Deniz Undav,17(7),1459,8,2,3,-,2.6,72.8,0.8,-,6.72
128,Ramy Bensebaini,20(8),1756,1,5,6,-,0.6,87.4,1.2,2,6.72
129,Hiroki Ito,3(3),249,1,-,1,-,0.2,86.5,0.8,-,6.72
130,Nick Woltemade,14(11),1357,9,2,3,1,1.4,71,1.7,1,6.72
131,Oliver Baumann,26,2340,-,-,1,-,-,67.1,0.3,2,6.71
132,Matthias Ginter,25(4),2290,2,-,5,-,0.8,83.7,3.1,-,6.71
133,Konstantinos Koulierakis,25(2),2200,-,2,4,-,0.6,83.6,2,-,6.71
134,Jan Schöppner,29(1),2475,3,3,8,-,1.3,74.7,1.7,2,6.71
135,Kamil Grabara,26,2316,-,-,2,-,-,66.1,0.3,1,6.70
136,Danilho Doekhi,31,2790,1,-,4,-,1,78.5,2.9,-,6.70
137,Emre Can,23(5),2061,3,-,4,1,0.3,90.1,1.6,-,6.70
138,Kevin Stöger,15(13),1428,3,4,3,-,0.8,81.7,0.1,-,6.70
139,Jamie Leweling,19(5),1472,2,2,4,-,1.1,76.6,0.2,-,6.70
140,Niklas Stark,22(1),1843,-,1,3,1,0.5,85.3,1.8,-,6.69
141,Florian Grillitsch,8,605,-,-,1,-,0.8,86.9,1,-,6.69
142,Maximilian Eggestein,30,2585,1,-,4,-,1.1,84.4,1.7,-,6.69
143,Frans Krätzig,13(1),1045,1,2,1,-,0.6,80.3,0.2,-,6.69
144,Ivan Ordets,19(1),1638,-,-,5,-,0.4,81.3,3.5,1,6.68
145,Leonidas Stergiou,11(1),857,1,2,-,1,0.3,83.3,0.5,-,6.68
146,Mario Hermoso,3(1),292,-,-,-,-,1,87.9,2.3,-,6.68
147,Hennes Behrens,0(1),28,-,-,-,-,-,71.4,1,-,6.68
148,Jeremie Frimpong,23(8),2162,4,5,4,-,1.1,84.2,0.4,1,6.68
149,Benjamin Henrichs,10(5),935,-,2,3,-,0.7,76.7,0.6,1,6.68
150,Aleix García,15(10),1295,3,3,2,-,0.6,91,0.1,1,6.68
151,Julian Weigl,30,2626,-,2,7,-,0.6,88.9,1.2,-,6.67
152,Danny da Costa,22,1805,-,1,-,-,0.1,79.5,1.5,1,6.67
153,Frank Onyeka,27(1),2356,-,1,8,-,0.9,84.2,0.6,2,6.67
154,Felix Nmecha,16(7),1311,3,1,2,-,0.6,87.9,0.9,1,6.67
155,Senne Lynen,29,2483,-,-,9,-,0.7,82.4,0.9,-,6.67
156,Andrej Ilic,9(4),799,5,-,1,-,1.7,56.2,3.7,1,6.67
157,Robert Andrich,18(3),1495,2,1,7,-,1,90,0.9,2,6.66
158,John Tolkin,6(2),443,-,1,-,-,0.3,78.1,0.3,-,6.66
159,Hauke Wahl,30,2700,-,-,1,-,0.3,86.9,1.6,-,6.66
160,Mario Götze,18(6),1549,3,2,1,-,0.3,81.1,0.1,-,6.66
161,Anthony Rouault,14(4),1215,1,-,1,-,0.3,90.2,1.9,-,6.65
162,Manolis Saliakas,23(4),2080,1,1,4,-,1,76.1,0.5,-,6.65
163,Rani Khedira,28(1),2457,1,-,7,-,0.4,74.4,1.4,1,6.65
164,Steven Skrzybski,12(9),1118,5,2,-,-,1.4,73.9,0.3,-,6.65
165,Edmond Tapsoba,26,2275,-,-,4,-,0.8,87.3,1.9,-,6.65
166,Mathias Honsak,11(8),1078,5,1,1,-,1.4,72,1.2,-,6.64
167,Leopold Querfeld,14(10),1473,2,2,6,-,0.6,80.5,2.4,2,6.64
168,Nordi Mukiele,10(5),897,1,-,4,-,0.5,81.4,1.3,-,6.64
169,Carney Chukwuemeka,1(7),218,1,-,1,-,1,79.4,0.8,-,6.64
170,Patrick Erras,10,834,1,-,2,-,0.8,92,2.7,-,6.63
171,Robert Skov,11(4),858,2,2,1,-,1.1,70.5,0.6,1,6.63
172,Shuto Machino,20(8),1701,10,1,2,-,1.6,71.6,0.9,2,6.63
173,Ermedin Demirovic,20(11),1792,13,-,2,-,1.9,71.2,1.1,2,6.63
174,Mattias Svanberg,14(6),1223,3,1,4,-,1.1,73.8,0.7,1,6.63
175,Tiago Tomás,22(8),1824,6,1,7,-,1.3,71.7,0.3,-,6.63
176,Josip Stanisic,6(5),631,-,2,-,-,0.2,91.8,0.8,-,6.63
177,Noah Weißhaupt,12(4),1047,1,-,-,-,1,68.5,0.9,-,6.63
178,Enzo Millot,21(6),1728,5,4,8,-,1.5,87,0.2,1,6.62
179,James Sands,5(2),452,-,-,1,-,0.1,77.1,2.4,-,6.62
180,Hugo Larsson,25(5),2136,3,-,2,-,0.6,88.1,0.4,-,6.62
181,Phillipp Mwene,29,2391,-,4,7,-,0.6,77.3,0.6,-,6.62
182,Philipp Lienhart,28(1),2502,1,-,4,-,0.3,87.9,1.7,-,6.62
183,Joakim Mæhle,22(3),1920,3,4,6,-,0.6,82.1,0.5,-,6.62
184,Konrad Laimer,16(10),1451,2,2,8,-,0.6,88.7,0.5,-,6.62
185,Jean-Mattéo Bahoya,8(14),804,2,3,3,-,0.4,79,0.5,-,6.61
186,Andreas Skov Olsen,3(6),370,1,1,-,-,0.7,88.3,0.1,-,6.61
187,Benedict Hollerbach,27(4),2286,9,-,3,-,2.2,72.9,0.8,3,6.61
188,Ellyes Skhiri,23(4),1994,-,1,6,-,0.4,89,0.6,-,6.61
189,Nicolas Seiwald,17(10),1814,-,-,2,-,0.1,84.6,0.8,1,6.61
190,Marius Wolf,26(4),2053,1,3,2,-,0.4,71.3,0.3,-,6.61
191,Siebe Van der Heyden,9(2),786,1,-,2,-,0.3,81.7,2.6,-,6.60
192,David Nemeth,21,1872,-,1,3,-,0.2,88,1.7,-,6.60
193,Frans Krätzig,1,57,-,-,-,-,-,91.7,1,-,6.60
194,András Schäfer,15(8),1375,1,1,3,-,0.4,74.8,1.2,-,6.60
195,Phil Harres,17(6),1408,8,1,3,-,1.6,58.2,2.1,2,6.60
196,Chris Führich,21(9),1805,2,2,1,-,1,84.7,0.1,2,6.59
197,Nnamdi Collins,14(8),1385,1,1,3,-,0.2,88.9,0.5,-,6.59
198,Finn Becker,7(3),654,-,1,1,-,0.4,84.3,0.7,-,6.59
