,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
273,-,-,-,-,-,-,-
274,-,-,-,-,-,-,-
275,-,-,-,-,-,0.1,0.1
276,-,-,-,-,-,-,-
277,-,-,-,-,-,-,-
278,-,-,-,-,-,-,-
279,-,-,-,-,-,-,-
280,-,-,-,-,-,0.1,0.1
281,0.1,0.1,-,-,-,0.1,0.1
282,-,-,-,-,-,-,0.1
283,-,-,-,-,-,-,-
284,-,-,-,-,-,0.1,0.1
285,-,-,-,-,-,-,-
286,-,-,-,-,-,-,-
287,-,-,-,-,-,0.1,0.1
288,-,-,-,-,-,-,-
289,-,-,-,-,-,0.1,0.1
290,-,-,-,-,-,-,-
291,-,-,-,-,-,-,-
292,-,-,-,-,-,-,-
293,-,-,-,-,-,0.2,0.2
294,-,-,-,-,-,-,-
295,-,-,-,-,-,-,0.1
296,-,-,-,-,-,0.1,0.1
297,-,-,-,-,-,-,-
298,-,-,-,-,-,0.1,0.1
299,-,-,-,-,-,0.1,0.1
300,0.1,-,-,-,-,0.1,0.1
301,0.1,-,-,-,-,-,0.1
302,-,-,-,-,-,-,-
303,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-
305,-,-,-,-,-,0.1,0.1
306,-,-,-,-,-,0.1,0.1
307,-,-,-,-,-,-,-
308,-,-,-,-,-,-,-
309,-,-,-,-,-,-,-
310,-,-,-,-,-,0.1,0.1
311,-,-,-,-,-,0.1,0.1
312,-,-,-,-,-,-,-
313,-,-,-,-,-,-,-
314,-,-,-,-,-,-,-
315,-,-,-,-,-,-,-
316,-,-,-,-,-,-,-
317,-,-,-,-,-,-,-
318,-,-,-,-,-,0.1,0.1
319,-,-,-,-,-,-,-
320,-,-,-,-,-,-,-
321,-,-,-,-,-,0.1,0.1
322,-,-,-,-,-,-,-
323,-,-,-,-,-,-,0.1
324,-,-,-,-,-,-,-
325,-,-,-,-,-,-,-
326,0.1,-,-,-,-,-,0.1
327,-,-,-,-,-,-,-
328,-,-,-,-,-,0.2,0.2
329,-,-,-,-,-,-,-
330,-,-,-,-,-,0.1,0.1
331,-,-,-,-,-,-,-
332,-,-,0.1,-,-,-,0.1
333,-,-,-,-,-,-,-
334,-,-,-,-,-,0.1,0.1
335,-,-,-,-,-,-,-
336,0.1,0.1,-,-,-,-,0.1
337,-,-,-,-,-,-,-
338,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-
340,-,-,-,-,-,0.1,0.1
341,-,-,-,-,-,-,-
342,-,-,-,-,-,0.1,0.1
343,-,-,-,-,-,0.5,0.5
344,-,-,-,-,-,-,-
345,-,-,-,-,-,-,-
346,-,-,-,-,-,-,-
347,-,-,-,-,-,-,-
348,-,-,-,-,-,-,-
349,-,-,-,-,-,-,-
350,0.1,0.1,-,-,-,-,0.1
351,-,-,-,-,-,0.1,0.1
352,-,-,-,-,-,-,-
353,-,-,-,-,-,-,-
354,0.1,-,-,-,-,-,0.1
355,-,-,-,-,-,-,-
356,-,-,-,-,-,-,-
357,-,-,-,-,-,-,-
358,-,-,-,-,-,-,-
359,-,-,-,-,-,-,-
360,-,-,-,-,-,-,-
361,-,-,-,-,-,-,-
362,-,-,-,-,-,-,-
363,-,-,-,-,-,0.1,0.1
364,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-
366,-,-,-,-,-,-,-
367,-,-,-,-,-,-,-
368,-,-,0.1,-,-,-,0.1
369,-,-,-,-,-,-,-
370,-,-,-,-,-,-,-
371,-,-,-,-,-,-,-
372,-,-,-,-,-,-,-
373,-,-,-,-,-,-,-
374,-,-,-,-,-,-,-
375,-,-,-,-,-,-,-
376,-,-,-,-,-,-,-
377,-,-,-,-,-,-,-
378,-,-,-,-,-,0.1,0.1
379,-,-,-,-,-,-,0.1
380,0.1,-,-,-,-,-,0.1
381,-,-,-,-,-,-,-
382,-,-,-,-,-,0.3,0.3
383,-,-,-,-,-,-,-
384,-,-,-,-,-,-,-
385,0.1,-,-,-,-,-,0.1
386,0.1,-,-,-,-,0.1,0.1
387,-,-,-,-,-,-,0.1
388,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-
391,-,-,-,-,-,0.2,0.2
392,-,-,-,-,-,0.1,0.1
393,-,-,-,-,-,-,-
394,-,-,-,-,-,-,-
395,-,-,-,-,-,-,-
396,-,-,-,-,-,-,-
397,-,-,-,-,-,-,-
398,-,-,-,-,-,-,-
399,-,-,-,-,-,-,-
400,-,-,-,-,-,-,-
401,-,-,-,-,-,-,-
402,-,-,-,-,-,-,-
403,0.2,0.1,-,-,-,-,0.2
404,-,-,-,-,-,-,-
405,-,-,-,-,-,-,-
406,-,-,-,-,-,-,-
407,-,-,-,-,-,-,-
408,-,-,-,-,-,-,-
409,0.1,-,-,-,-,-,0.1
410,-,-,-,-,-,-,-
411,-,-,-,-,-,-,-
412,-,-,-,-,-,-,-
413,-,-,-,-,-,-,-
414,-,-,-,-,-,0.1,0.1
415,-,-,-,-,-,-,-
416,-,-,-,-,-,-,-
417,-,-,-,-,-,-,-
418,-,-,-,-,-,0.1,0.1
419,-,-,-,-,-,0.1,0.1
420,-,-,-,-,-,-,-
421,-,-,-,-,-,-,-
422,-,-,-,-,-,-,-
423,-,-,-,-,-,-,-
424,-,-,-,-,-,-,-
425,-,-,-,-,-,-,-
426,-,-,-,-,-,-,-
427,-,-,-,-,-,-,-
428,-,-,-,-,-,-,-
429,-,-,-,-,-,-,-
430,-,-,-,-,-,-,-
431,-,-,-,-,-,-,-
432,-,-,-,-,-,-,-
433,-,-,-,-,-,-,-
434,-,-,-,-,-,-,-
435,-,-,-,-,-,-,-
436,-,-,-,-,-,-,-
437,-,-,-,-,-,-,-
438,-,-,-,-,-,-,-
439,-,-,-,-,-,-,-
440,-,-,-,-,-,-,-
441,-,-,-,-,-,-,-
442,-,-,-,-,-,-,-
443,-,-,-,-,-,-,-
444,-,-,-,-,-,-,-
445,-,-,-,-,-,-,-
446,-,-,-,-,-,-,-
447,-,-,-,-,-,-,-
448,-,-,-,-,-,-,-
449,-,-,-,-,-,-,-
450,-,-,-,-,-,-,-
451,-,-,-,-,-,-,-
452,-,-,-,-,-,-,-
453,-,-,-,-,-,-,-
454,-,-,-,-,-,-,-
455,-,-,-,-,-,-,-
456,-,-,-,-,-,-,-
457,-,-,-,-,-,-,-
458,-,-,-,-,-,-,-
459,-,-,-,-,-,-,-
460,-,-,-,-,-,-,-
461,-,-,-,-,-,-,-
462,-,-,-,-,-,-,-
463,-,-,-,-,-,-,-
464,-,-,-,-,-,-,-
465,-,-,-,-,-,-,-
466,-,-,-,-,-,-,-
467,-,-,-,-,-,-,-
468,-,-,-,-,-,-,-
469,-,-,-,-,-,-,-
470,-,-,-,-,-,-,-
471,-,-,-,-,-,-,-
472,-,-,-,-,-,-,-
473,-,-,-,-,-,-,-
474,-,-,-,-,-,-,-
475,-,-,-,-,-,-,-
476,-,-,-,-,-,-,-
477,-,-,-,-,-,-,-
478,-,-,-,-,-,-,-
479,-,-,-,-,-,-,-
480,-,-,-,-,-,-,-
481,-,-,-,-,-,-,-
482,-,-,-,-,-,-,-
483,-,-,-,-,-,-,-
484,-,-,-,-,-,-,-
485,-,-,-,-,-,-,-
486,-,-,-,-,-,-,-
