,TotSh,OOBSh,SYBSh,PASh
343,2,0.5,-,1.5
344,0.7,0.4,-,0.3
345,0.8,0.2,0.2,0.4
346,0.3,0.3,-,-
347,0.1,-,-,0.1
348,0.7,0.3,0.2,0.3
349,0.1,-,-,0.1
350,0.8,0.6,-,0.2
351,0.3,0.3,-,-
352,1.4,0.2,0.2,1
353,0.4,0.3,0.1,-
354,0.7,0.2,-,0.5
355,-,-,-,-
356,1,-,-,1
357,0.3,0.1,-,0.2
358,2,0.4,-,1.6
359,0.9,0.1,0.2,0.6
360,0.2,0.1,-,0.1
361,0.7,0.5,-,0.2
362,0.4,0.3,-,0.1
363,0.1,-,0.1,-
364,1,-,1,-
365,0.4,0.2,-,0.2
366,0.5,0.2,-,0.3
367,0.4,-,-,0.4
368,1,0.3,0.1,0.6
369,0.6,-,0.2,0.4
370,1,-,0.1,0.9
371,-,-,-,-
372,0.5,0.3,0.1,0.1
373,1.5,1,-,0.5
374,0.2,0.2,-,-
375,0.2,-,-,0.1
376,0.4,0.3,-,0.1
377,-,-,-,-
378,0.3,0.3,-,-
379,1.1,0.2,0.1,0.8
380,0.5,0.3,-,0.3
381,0.3,0.2,-,-
382,1,0.5,-,0.5
383,-,-,-,-
384,0.2,0.2,-,-
385,0.4,0.3,-,0.1
386,0.4,0.1,-,0.3
387,0.7,0.3,0.1,0.3
388,1.6,0.4,-,1.2
389,0.3,0.1,-,0.2
390,-,-,-,-
391,0.7,-,-,0.7
392,0.5,0.2,0.1,0.3
393,0.5,0.2,-,0.4
394,1.2,0.3,-,0.8
395,-,-,-,-
396,-,-,-,-
397,-,-,-,-
398,-,-,-,-
399,0.8,0.2,0.2,0.5
400,0.8,0.4,-,0.4
401,0.4,-,-,0.4
402,0.9,0.7,-,0.1
403,0.1,0.1,-,-
404,0.3,0.2,-,0.1
405,-,-,-,-
406,0.8,0.2,-,0.6
407,0.1,-,-,0.1
408,0.3,0.3,-,-
409,1.2,0.3,0.1,0.8
410,-,-,-,-
411,-,-,-,-
412,-,-,-,-
413,0.5,0.3,0.1,0.2
414,0.2,0.1,-,0.1
415,0.3,0.2,-,0.1
416,-,-,-,-
417,0.5,0.1,-,0.4
418,0.6,0.2,0.1,0.3
419,0.3,0.1,0.1,0.1
420,0.9,0.1,-,0.7
421,0.2,0.2,-,-
422,3,1,2,-
423,0.4,0.1,-,0.3
424,0.1,-,-,0.1
425,1.2,0.1,0.2,0.9
426,0.1,-,-,-
427,0.2,-,0.1,0.1
428,0.5,-,0.1,0.4
429,-,-,-,-
430,1,0.4,-,0.6
431,1.5,-,-,1.5
432,0.8,-,0.3,0.5
433,0.7,0.4,-,0.2
434,1.1,0.6,0.1,0.4
435,-,-,-,-
436,0.2,0.2,-,-
437,0.6,0.3,-,0.4
438,0.3,0.3,-,-
439,0.3,0.2,-,0.1
440,-,-,-,-
441,0.3,-,-,0.3
442,0.3,-,-,0.3
443,-,-,-,-
444,-,-,-,-
445,-,-,-,-
446,0.9,0.3,0.1,0.5
447,1.3,0.6,0.3,0.4
448,0.3,0.1,-,0.1
449,0.2,-,-,0.2
450,0.3,-,0.1,0.2
451,-,-,-,-
452,0.7,0.2,0.1,0.4
453,-,-,-,-
454,-,-,-,-
455,0.3,0.2,-,0.1
456,0.5,-,-,0.5
457,0.8,0.8,-,-
458,0.4,0.2,-,0.2
459,-,-,-,-
460,-,-,-,-
461,1,-,-,1
462,-,-,-,-
463,-,-,-,-
464,0.5,-,-,0.5
465,-,-,-,-
466,-,-,-,-
467,-,-,-,-
468,-,-,-,-
469,-,-,-,-
470,0.8,0.2,0.1,0.5
471,-,-,-,-
472,-,-,-,-
473,-,-,-,-
474,-,-,-,-
475,-,-,-,-
476,-,-,-,-
477,-,-,-,-
478,-,-,-,-
479,0.3,0.3,-,-
480,-,-,-,-
481,-,-,-,-
482,-,-,-,-
483,-,-,-,-
484,1,-,-,1
485,0.5,0.5,-,-
486,-,-,-,-
