,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
285,Albert Sambi Lokonga,Sevilla FC,Laliga,25 years old (22-10-1999),"1,83m",Belgium,Defensive Midfielder (C),Central Midfield,right,15(5),1403.0,-,2,4,-,89.7,1.4,-,6.48,"Jun 30, 2025",€9.00m,0.5,-,-,-,-,0.5,0.3,0.1,0.1,0.5,0.3,0.2,0.8,0.6,2,1.4,0.6,1.1,0.2,1.2,0.5,1.1,1,-,1.2,0.1,0.1,0.6,-,-,-,-,42.7,1.8,1.2,36.5,3.2,0.9,0.2,0.8,0.1,-,-,-,-,-,0.1
286,Dani Cárdenas,Rayo Vallecano,Laliga,28 years old (28-03-1997),"1,86m",Spain,Goalkeeper,Goalkeeper,right,5,450.0,-,-,-,-,47.6,0.2,-,6.48,"Jun 30, 2027",€1.80m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,-,-,-,-,0.2,-,-,1,-,-,-,2.6,-,1.8,0.8,24.8,4.6,12.8,7.2,0.2,-,-,-,-,-,-,-,-,-,-
287,Sergio Camello,Rayo Vallecano,Laliga,24 years old (10-02-2001),"1,82m",Spain,Forward,Centre-Forward,right,14(9),1140.0,3,2,2,-,80.6,0.5,-,6.48,"Jun 30, 2027",€3.50m,1.4,0.1,-,0.1,-,1.4,0.4,0.1,0.9,1,0.4,0.6,1.7,1,1.6,0.5,1.1,0.4,0.1,0.5,0.2,0.4,0.5,0.1,0.7,-,-,0.3,-,-,-,-,11,0.1,-,8.7,2.1,0.8,-,0.8,0.1,-,-,-,-,-,0.1
288,Aitor Ruibal,Real Betis Balompié,Laliga,29 years old (22-03-1996),"1,76m",Spain,"Defender (Right), Midfielder (Left, Right)",Right-Back,right,10(15),984.0,1,3,5,-,84.7,0.2,1,6.48,"Jun 30, 2028",€3.50m,0.5,-,-,-,-,0.5,0.2,-,0.3,0.8,0.4,0.4,0.9,0.5,0.7,0.2,0.5,0.8,0.4,1.3,0.4,0.6,0.4,0.1,1,0.2,0.1,0.4,-,-,-,-,13.8,0.6,0.8,11.2,1.3,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
289,Juan Bernat,Getafe CF,Laliga,32 years old (01-03-1993),"1,70m",Spain,"Defender (Left), Midfielder (Centre, Left)",Left-Back,left,7(4),574.0,-,1,-,-,74.5,0.7,-,6.48,"Jun 30, 2025",€2.50m,0.3,-,-,-,-,0.3,0.2,-,0.1,1.7,0.8,0.9,1.3,0.9,1.6,0.7,0.9,1.3,0.4,1.6,0.1,0.5,0.7,0.1,0.6,0.3,0.1,0.3,-,-,-,-,12.8,0.1,0.2,9.5,3.1,0.5,0.2,0.4,0.1,0.1,-,-,-,-,-
290,Romain Perraud,Real Betis Balompié,Laliga,27 years old (22-09-1997),"1,73m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,20(5),1806.0,2,2,7,1,81.7,0.4,1,6.48,"Jun 30, 2029",€5.00m,0.7,0.1,-,-,-,0.7,0.3,-,0.4,1.3,0.9,0.4,1.1,0.6,1,0.4,0.6,1.4,1,2.4,0.8,1.5,1,0.2,2.3,0.1,0.3,0.5,-,-,-,-,31.3,0.6,2,25,3.8,0.6,0.1,0.5,0.1,-,-,-,-,-,-
291,Fran Beltrán,Celta de Vigo,Laliga,26 years old (03-02-1999),"1,65m",Spain,Defensive Midfielder (C),Central Midfield,right,25(4),2062.0,2,-,3,-,89.1,0.7,-,6.48,"Jun 30, 2026",€6.00m,0.7,0.1,-,-,0.1,0.7,0.5,-,0.1,0.6,0.3,0.3,0.6,0.8,1.4,0.7,0.8,1.4,1,2.4,0.8,0.3,0.9,-,0.9,0.2,-,0.6,-,-,-,-,43.9,2.4,1.2,36.7,3.6,0.5,0.1,0.4,-,-,-,-,-,-,-
292,Antonio Blanco,Deportivo Alavés,Laliga,24 years old (23-07-2000),"1,76m",Spain,Defensive Midfielder (C),Defensive Midfield,right,27(3),2310.0,-,1,8,1,81.4,0.9,1,6.47,"Jun 30, 2027",€7.50m,0.8,-,-,-,-,0.8,0.6,-,0.1,0.6,0.2,0.4,0.8,0.8,1.9,0.9,1,1.9,1.3,3.2,1.3,0.8,2,-,1.3,0.2,0.1,0.7,-,-,-,-,35.2,2.7,2.1,26,4.5,0.4,0.2,0.2,-,-,-,-,-,-,-
293,Vitor Roque,Palmeiras,Laliga,20 years old (28-02-2005),174cm,Brazil,Forward,,,14(8),1238.0,4,-,4,-,73.4,0.7,1,6.47,,,1.9,0.2,-,0.1,-,1.9,0.4,0.2,1.3,1.8,1.3,0.5,1.9,1.5,2.1,0.7,1.5,0.5,0.2,0.7,0.3,1.4,1.4,0.2,0.2,-,-,0.2,-,-,-,-,8.5,0.2,0.2,6.1,2.1,0.5,-,0.5,-,-,-,-,-,-,-
294,Pau Navarro,Villarreal CF,Laliga,20 years old (25-04-2005),"1,85m",,Defender,Centre-Back,right,4(8),600.0,-,-,-,-,90.1,0.3,-,6.47,"Jun 30, 2030",€1.00m,0.1,-,-,-,-,0.1,0.1,-,-,0.4,0.2,0.3,0.3,-,1.2,0.3,0.9,1.6,0.8,2.4,0.3,0.6,0.5,-,1.9,0.4,0.4,0.5,-,-,-,-,27.8,1.3,1.1,23.8,1.7,-,-,-,-,-,-,-,-,-,-
295,Carles Pérez,Getafe CF,Laliga,27 years old (16-02-1998),"1,73m",Spain,"Midfielder (Centre, Right), Forward",Right Winger,left,15(11),1405.0,3,-,2,-,74.4,0.5,-,6.47,"Jun 30, 2025",€2.50m,1.3,0.1,-,0.1,-,1.3,0.8,-,0.5,1.9,1.1,0.8,1.4,0.7,1.5,0.5,1,1.3,1,2.3,0.2,0.4,1.5,-,0.7,-,0.2,0.6,-,-,-,-,11,0.2,0.5,7.9,2.3,0.7,0.1,0.6,-,-,-,-,-,-,-
296,Pablo Durán,Celta de Vigo,Laliga,23 years old (25-05-2001),"1,76m",Spain,Forward,Centre-Forward,right,13(9),1153.0,4,4,3,-,73.4,0.5,2,6.47,"Jun 30, 2027",€3.50m,0.9,0.2,-,-,0.1,0.9,0.3,0.1,0.5,1.7,1.2,0.5,1.7,0.8,1.5,0.5,1.1,0.5,0.4,1,0.4,0.7,1.3,0.2,0.4,0.1,-,0.3,-,-,-,-,14.5,0.4,0.5,10.2,3.3,0.6,-,0.6,0.2,-,-,-,-,-,0.1
297,Mikel Oyarzabal,Real Sociedad,Laliga,28 years old (21-04-1997),"1,81m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,left,24(6),1931.0,8,2,4,1,74.4,0.9,2,6.46,"Jun 30, 2028",€30.00m,1.1,0.3,-,0.2,-,1.1,0.1,0.1,1,0.5,0.3,0.2,1.7,0.8,3.3,0.9,2.4,0.6,0.3,0.9,0.1,0.7,0.4,0.5,0.4,-,0.1,0.5,-,-,-,-,14.2,0.2,0.2,10.4,3.4,0.4,-,0.4,0.1,-,-,-,-,-,0.1
298,Ørjan Nyland,Sevilla FC,Laliga,34 years old (10-09-1990),"1,92m",Norway,Goalkeeper,Goalkeeper,right,26,2314.0,-,-,2,-,60.5,0.2,2,6.46,"Jun 30, 2026",€1.00m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,0.1,-,0.2,-,-,-,-,0.8,-,-,-,2.5,0.1,1.6,0.8,29.9,4.5,11.7,13.7,0.2,0.1,0.1,-,-,-,-,-,-,-,-
299,Carlos Martín,Deportivo Alavés,Laliga,23 years old (22-04-2002),"1,80m",Spain,Attacking Midfielder (Left),Left Winger,right,16(8),1312.0,2,2,3,-,68.7,0.7,-,6.46,"Jun 30, 2025",€3.00m,1.1,0.1,-,-,-,1.1,0.3,-,0.7,1.5,1.1,0.3,1.2,0.8,1.4,0.7,0.8,1.6,1.5,3.1,0.2,1.2,1.3,0.3,0.7,-,0.1,1.2,-,-,-,-,15,0.3,0.6,10.1,4.1,0.5,-,0.5,0.1,-,-,-,-,-,-
300,Scott McKenna,UD Las Palmas,Laliga,28 years old (12-11-1996),"1,89m",Scotland,Defender (Centre),Centre-Back,left,26(1),2287.0,-,-,5,1,86.9,2.8,-,6.46,"Jun 30, 2027",€5.00m,0.2,-,-,-,-,0.2,-,-,0.2,0.1,-,0.1,0.3,0.1,4.4,2.8,1.6,0.7,0.1,0.8,0.3,0.3,0.4,-,5.3,1,0.1,0.3,-,-,-,-,49.4,1.7,2.9,41.2,3.6,0.1,-,0.1,-,-,-,-,-,-,-
301,Adam Aznou,Real Valladolid CF,Laliga,18 years old (02-06-2006),"1,78m",Spain,Defender (Left),Left-Back,left,7(2),582.0,-,-,2,-,73.1,0.8,-,6.46,"Jun 30, 2025",€3.00m,0.1,-,-,-,-,0.1,-,-,0.1,2.9,1.4,1.4,2.3,1,1,0.8,0.2,2.6,1.4,4,0.8,1.1,1.1,-,1.3,0.6,0.2,1.4,-,-,-,-,21.4,0.8,1.2,14.9,4.6,0.3,-,0.3,-,-,-,-,-,-,-
302,Djené Dakonam,Getafe CF,Laliga,33 years old (31-12-1991),"1,78m",Togo,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,29,2386.0,-,-,9,-,78.1,1.5,-,6.46,"Jun 30, 2025",€2.00m,0.2,-,-,-,-,0.2,-,-,0.1,0.6,0.3,0.2,0.7,0.6,2.5,1.5,1,0.8,0.7,1.4,0.7,0.8,1.3,-,3.2,0.3,0.2,0.3,-,-,-,-,26,1.8,2.2,18.5,3.5,0.3,-,0.3,-,-,-,-,-,-,-
303,Fernando López,Celta de Vigo,Laliga,20 years old (24-05-2004),188cm,,Midfielder,,,4(9),438.0,2,-,2,-,84.9,0.2,-,6.46,,,1,0.2,0.1,0.1,-,1,0.5,0.1,0.5,1.8,1,0.8,1.7,1.1,0.6,0.2,0.5,0.5,0.4,0.8,0.1,0.4,0.9,-,0.5,-,-,0.5,-,-,-,-,13.2,0.4,0.2,10.8,1.8,0.8,0.1,0.8,-,-,-,-,-,-,-
304,Unai López,Rayo Vallecano,Laliga,29 years old (30-10-1995),"1,70m",Spain,"Midfielder (Centre, Right)",Central Midfield,right,19(8),1437.0,3,1,8,1,86.5,0.4,-,6.46,"Jun 30, 2026",€2.80m,0.7,0.1,-,0.1,-,0.7,0.4,-,0.3,0.4,0.1,0.3,0.9,0.6,0.9,0.4,0.5,0.9,0.5,1.4,0.7,0.6,0.6,-,0.6,0.1,-,0.4,-,-,-,-,37.1,1.7,2.3,30.3,2.7,0.6,0.1,0.4,-,-,-,-,-,-,-
305,Álvaro Tejero,RCD Espanyol Barcelona,Laliga,28 years old (20-07-1996),"1,74m",Spain,Defender (Right),Right-Back,both,13(12),1157.0,1,4,2,-,78.8,0.4,1,6.46,"Jun 30, 2025",€2.00m,0.7,-,-,-,-,0.7,0.6,-,0.1,0.6,0.4,0.1,0.7,0.2,0.8,0.4,0.4,0.5,0.6,1,0.4,0.8,0.5,-,1,-,0.2,0.3,-,-,-,-,16.2,0.7,1.4,12,2.1,1.2,0.3,0.9,0.2,0.1,-,-,-,-,0.1
306,Juanpe,Girona FC,Laliga,33 years old (30-04-1991),"1,90m",Spain,Defender (Centre),Centre-Back,right,7(3),609.0,-,-,2,-,87.3,2,-,6.46,"Jun 30, 2025",€900k,0.1,-,-,-,-,0.1,0.1,-,-,-,-,-,0.3,0.1,2.9,2,0.9,0.8,0.2,1,0.8,0.2,0.3,-,4.6,0.9,-,0.5,-,-,-,-,49.8,3.9,3.3,39.6,3,0.2,0.1,0.1,-,-,-,-,-,-,-
307,Jorge Herrando,CA Osasuna,Laliga,24 years old (28-02-2001),"1,92m",Spain,Defender (Centre),Centre-Back,left,14(3),1274.0,1,-,3,-,86.3,1.5,1,6.46,"Jun 30, 2027",€4.00m,0.7,0.1,0.1,-,-,0.7,-,0.1,0.6,0.1,-,0.1,0.1,0.1,2.1,1.5,0.6,0.7,0.3,1,0.7,0.1,1.3,-,3.5,0.8,0.2,0.3,-,-,-,-,39.1,1.4,2.8,32.4,2.5,-,-,-,-,-,-,-,-,-,-
308,Adama Boiro,Athletic Bilbao,Laliga,22 years old (22-06-2002),"1,83m",Spain,Defender (Left),Left-Back,left,12(3),1000.0,-,-,2,-,83.9,1.1,-,6.45,"Jun 30, 2029",€2.50m,0.2,-,-,-,-,0.2,-,-,0.2,1.3,0.8,0.5,1.3,0.9,1.5,1.1,0.4,1.3,0.3,1.6,0.8,0.5,0.7,-,1.5,0.2,0.3,0.3,-,-,-,-,23.1,0.3,1.1,19.1,2.6,0.3,0.1,0.2,-,-,-,-,-,-,-
309,Donny van de Beek,Girona FC,Laliga,28 years old (18-04-1997),"1,84m",Netherlands,Midfielder (Centre),Central Midfield,right,16(10),1426.0,2,2,5,-,83.7,0.4,-,6.45,"Jun 30, 2028",€7.50m,0.7,0.1,-,-,-,0.7,0.2,0.1,0.5,0.5,0.3,0.2,0.5,0.6,0.7,0.4,0.3,1.1,0.5,1.6,0.4,0.3,0.8,0.1,0.5,0.1,-,0.6,-,-,-,-,16.8,0.4,0.2,13.6,2.5,0.7,-,0.7,0.1,-,-,-,-,-,0.1
310,Pedro Díaz,Rayo Vallecano,Laliga,26 years old (05-06-1998),"1,80m",Spain,Midfielder (Centre),Central Midfield,right,11(10),1010.0,3,-,2,-,84.5,0.2,-,6.45,"Jun 30, 2028",€2.50m,1.1,0.1,-,-,0.1,1.1,0.9,-,0.3,1.1,0.4,0.7,0.8,0.3,0.5,0.2,0.3,1,1.1,2.1,0.3,0.3,0.3,-,0.2,-,-,0.6,-,-,-,-,20.9,0.8,0.8,16.8,2.5,0.9,0.3,0.6,-,-,-,-,-,-,-
311,Pepelu,Valencia CF,Laliga,26 years old (11-08-1998),"1,86m",Spain,Defensive Midfielder (C),Defensive Midfield,right,15(15),1469.0,1,2,7,1,83.8,0.7,-,6.45,"Jun 30, 2028",€12.00m,0.4,-,-,-,-,0.4,0.3,-,0.1,0.3,0.1,0.2,0.4,0.3,1.3,0.7,0.6,1.2,0.4,1.6,0.5,0.5,0.8,-,0.9,0.2,-,0.4,-,-,-,-,32.4,2.6,1.8,24.6,3.5,1,0.5,0.5,0.1,-,-,-,-,-,0.1
312,Duk,CD Leganés,Laliga,25 years old (16-02-2000),"1,82m",,"Attacking Midfielder (Left), Forward",Left Winger,right,0(6),74.0,-,-,1,-,69.2,0.2,-,6.44,"Jun 30, 2025",€1.20m,0.2,-,-,-,-,0.2,0.2,-,-,2.5,1,1.5,0.8,0.5,0.3,0.2,0.2,0.7,0.2,0.8,-,1.3,0.3,-,-,-,-,0.3,-,-,-,-,4.3,-,0.2,3,1.2,0.7,-,0.7,-,-,-,-,-,-,-
313,Karl Hein,Real Valladolid CF,Laliga,23 years old (13-04-2002),"1,93m",Estonia,Goalkeeper,Goalkeeper,right,28,2520.0,-,-,-,-,70.1,0.3,1,6.44,"Jun 30, 2025",€3.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.3,0.3,-,-,0.1,0.1,-,0.1,-,-,0.8,-,-,-,3.1,0.2,1.8,1.1,33.6,6.1,9.9,17.4,0.1,-,-,-,-,-,-,-,-,-,-
314,Andy Pelmard,UD Las Palmas,Laliga,25 years old (12-03-2000),"1,80m",France,"Defender (Centre, Right)",Right-Back,right,2(2),205.0,-,-,1,-,88.8,0.3,-,6.44,"Jun 30, 2025",€2.50m,0.3,-,-,-,-,0.3,0.3,-,-,0.5,0.3,0.3,0.8,-,0.5,0.3,0.3,1.3,0.3,1.5,0.5,0.8,0.5,-,4.3,0.3,0.8,0.5,-,-,-,-,24.5,1.3,1.5,20.5,1.3,0.3,-,0.3,-,-,-,-,-,-,-
315,Juan Herzog,UD Las Palmas,Laliga,20 years old (13-05-2004),"1,86m",Spain,Defender (Centre),Centre-Back,right,11(4),966.0,-,-,1,-,86.7,1.9,-,6.44,"Jun 30, 2025",€1.50m,0.5,-,-,-,-,0.5,-,0.1,0.4,0.1,0.1,-,0.1,-,2.9,1.9,1,0.7,0.3,1.1,0.9,0.5,0.2,-,3.6,0.5,-,0.3,-,-,-,-,30,1.5,1.7,24.5,2.3,-,-,-,-,-,-,-,-,-,-
316,Gavi,FC Barcelona,Laliga,20 years old (05-08-2004),"1,73m",Spain,"Midfielder (Centre, Left)",Central Midfield,right,11(10),817.0,1,1,4,-,89.9,0.9,-,6.43,"Jun 30, 2030",€70.00m,0.4,-,-,-,-,0.4,0.1,-,0.2,0.7,0.4,0.3,0.7,0.4,1.9,0.9,1,0.8,0.4,1.2,0.4,0.9,1.5,-,0.2,-,-,0.6,-,-,-,-,25.4,0.8,0.2,22,2.3,0.6,-,0.6,-,-,-,-,-,-,-
317,Pol Lozano,RCD Espanyol Barcelona,Laliga,25 years old (06-10-1999),"1,76m",Spain,Defensive Midfielder (C),Central Midfield,right,23(3),1753.0,-,-,12,-,84.9,0.3,-,6.43,"Jun 30, 2027",€4.00m,0.3,-,-,-,-,0.3,0.3,-,-,0.7,0.5,0.2,0.6,0.5,0.9,0.3,0.6,1.9,1,3,0.8,0.5,1.9,-,1,0.2,0.2,0.8,-,-,-,-,27.8,1.8,0.7,21.8,3.5,0.6,0.2,0.4,-,-,-,-,-,-,-
318,Pablo Marín,Real Sociedad,Laliga,21 years old (03-07-2003),"1,78m",Spain,Midfielder (Centre),Attacking Midfield,right,9(9),857.0,-,2,2,-,79.4,0.7,1,6.43,"Jun 30, 2028",€3.00m,0.7,-,-,-,-,0.7,0.4,-,0.3,1.4,0.6,0.9,1.7,0.7,1.9,0.7,1.2,1.1,0.4,1.5,0.2,0.7,0.8,-,0.7,0.2,-,0.4,-,-,-,-,16.7,0.6,0.6,12.7,2.9,0.6,0.1,0.5,0.1,0.1,-,-,-,-,0.1
319,Selim Amallah,Real Valladolid CF,Laliga,28 years old (15-11-1996),"1,85m",Morocco,"Attacking Midfielder (Centre, Left), Forward",Attacking Midfield,right,15(6),1196.0,3,1,6,-,83.5,0.2,-,6.43,"Jun 30, 2027",€1.80m,0.9,0.1,-,0.1,-,0.9,0.5,-,0.4,2.7,1.4,1.3,1.6,1.1,0.9,0.2,0.7,1.1,0.3,1.4,0.5,1,1.4,-,0.1,-,-,0.9,-,-,-,-,15.3,0.8,0.7,12,1.8,0.5,0.1,0.4,-,-,-,-,-,-,-
320,Antonio Sivera,Deportivo Alavés,Laliga,28 years old (11-08-1996),"1,85m",Spain,Goalkeeper,Goalkeeper,right,27,2362.0,-,-,6,1,53.7,0.2,-,6.43,"Jun 30, 2027",€6.00m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,-,0.1,-,0.1,-,0.1,0.1,-,1.1,-,-,-,2.3,-,1.4,0.9,27.9,9.6,12.9,5.3,-,-,-,-,-,-,-,-,-,-,-
321,Enric Franquesa,CD Leganés,Laliga,28 years old (26-02-1997),"1,75m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,7(5),615.0,1,-,1,-,73,0.4,-,6.43,"Jun 30, 2026",€1.50m,0.3,0.1,-,0.1,-,0.3,0.1,-,0.2,1.8,1,0.8,1.8,0.2,0.8,0.4,0.4,1.4,0.3,1.7,0.4,0.5,0.7,-,0.8,0.1,0.2,0.5,-,-,-,-,13.6,0.6,0.9,9.3,2.8,0.2,-,0.2,-,-,-,-,-,-,-
322,Raúl Albiol,Villarreal CF,Laliga,39 years old (04-09-1985),"1,90m",Spain,Defender (Centre),Centre-Back,right,14(1),1189.0,-,-,4,-,89.6,2,-,6.42,"Jun 30, 2025",€1.30m,0.1,-,-,-,-,0.1,-,0.1,0.1,-,-,-,0.2,0.1,3,2,1,0.7,0.3,0.9,0.4,0.4,0.7,-,4.5,0.6,0.1,0.1,-,-,-,-,54.1,2.9,3.4,45.5,2.2,-,-,-,-,-,-,-,-,-,-
323,Aihen Muñoz,Real Sociedad,Laliga,27 years old (16-08-1997),"1,75m",Spain,Defender (Left),Left-Back,left,10(8),843.0,-,-,4,-,77.9,1,-,6.42,"Jun 30, 2027",€5.00m,0.3,-,-,-,-,0.3,0.3,-,-,0.5,0.3,0.2,0.3,0.2,1.9,1,0.9,1.2,0.7,1.8,0.6,0.6,0.6,-,2.1,0.3,0.3,0.2,-,-,-,-,19.1,0.4,2.1,14.5,2.1,0.1,-,0.1,-,-,-,-,-,-,-
324,Isaac Romero,Sevilla FC,Laliga,24 years old (18-05-2000),"1,83m",Spain,Forward,Centre-Forward,left,26(2),2087.0,3,2,8,-,73.3,1,-,6.42,"Jun 30, 2028",€10.00m,1.8,0.1,-,-,-,1.8,0.5,0.1,1.2,2,1.3,0.7,2.7,2.1,2.9,1,1.8,0.4,0.5,0.9,0.3,1.2,1.3,0.4,0.8,-,0.1,0.5,-,-,-,-,13.9,0.6,0.3,9.6,3.4,0.7,-,0.6,0.1,-,-,-,-,-,0.1
325,Iván Sánchez,Real Valladolid CF,Laliga,32 years old (23-09-1992),"1,69m",Spain,"Attacking Midfielder (Centre, Right)",Right Winger,left,10(18),1178.0,1,1,4,-,83.7,0.5,-,6.42,"Jun 30, 2025",€600k,0.4,-,-,-,-,0.4,0.2,-,0.3,1.4,0.7,0.8,0.8,0.6,0.9,0.5,0.4,1.1,0.5,1.6,0.5,1.4,0.5,0.1,0.3,0.1,0.1,0.5,-,-,-,-,13.6,1,0.5,10.4,1.8,0.6,0.2,0.4,-,-,-,-,-,-,-
326,José Campaña,UD Las Palmas,Laliga,31 years old (31-05-1993),"1,79m",Spain,"Midfielder (Centre, Left, Right)",Central Midfield,right,14(8),1095.0,-,2,3,-,87.3,0.8,-,6.42,"Jun 30, 2025",€1.00m,0.2,-,-,-,-,0.2,0.2,-,-,0.7,0.4,0.3,0.7,0.5,1,0.8,0.2,0.8,0.3,1.1,0.8,0.9,0.3,-,0.9,-,-,0.4,-,-,-,-,31.9,1.9,0.8,26,3.2,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
327,Jon Guridi,Deportivo Alavés,Laliga,30 years old (28-02-1995),"1,79m",Spain,Midfielder (Centre),Central Midfield,left,22(6),1746.0,3,1,6,-,76.9,1.4,-,6.42,"Jun 30, 2026",€3.00m,0.7,0.1,-,0.1,-,0.7,0.1,0.1,0.5,0.7,0.5,0.2,1.1,0.5,3.2,1.4,1.8,1.1,0.8,2,0.4,0.4,1,0.2,0.4,-,-,0.6,-,-,-,-,21.6,0.7,0.3,15.9,4.7,0.6,-,0.5,-,-,-,-,-,-,-
328,Aridane Hernández,Rayo Vallecano,Laliga,36 years old (23-03-1989),"1,88m",Spain,Defender (Centre),Centre-Back,right,7(3),664.0,-,-,1,-,87,2.3,-,6.42,"Jun 30, 2025",€400k,0.5,-,-,-,-,0.5,-,0.3,0.2,0.3,0.2,0.1,0.4,0.1,3.2,2.3,0.9,0.8,0.2,1,0.3,0.6,0.4,-,5.8,0.4,0.1,0.2,-,-,-,-,34.6,2.3,2,27.8,2.5,0.1,-,0.1,-,-,-,-,-,-,-
329,Carlos Domínguez,Celta de Vigo,Laliga,24 years old (11-02-2001),"1,87m",Spain,Defender (Centre),Centre-Back,left,10(5),906.0,-,-,1,-,87.3,1.7,-,6.42,"Jun 30, 2026",€2.50m,0.2,-,-,-,-,0.2,-,-,0.2,0.2,0.1,0.1,0.3,-,2.3,1.7,0.6,1.3,0.3,1.7,0.5,0.5,0.5,-,3.1,0.4,0.3,0.2,-,-,-,-,51.3,1.6,3.2,43.2,3.3,0.1,-,0.1,-,-,-,-,-,-,-
330,Justin Smith,RCD Espanyol Barcelona,Laliga,22 years old (04-02-2003),"1,89m",France,Midfielder,Central Midfield,right,3(2),210.0,-,-,-,-,67.8,0.6,-,6.42,"Jun 30, 2026",€300k,-,-,-,-,-,-,-,-,-,0.6,0.4,0.2,0.8,0.2,0.8,0.6,0.2,1.8,0.4,2.2,0.8,0.4,1,-,0.2,0.2,0.4,0.8,-,-,-,-,11.8,-,1,8,2.8,0.2,-,0.2,-,-,-,-,-,-,-
331,Anuar Tuhami,Real Valladolid CF,Laliga,30 years old (15-01-1995),"1,73m",Spain,"Attacking Midfielder (Centre, Left, Right)",Right Winger,right,17(4),1441.0,2,-,6,-,83.5,1,1,6.42,"Jun 30, 2025",€900k,0.4,0.1,-,0.1,-,0.4,0.1,-,0.3,1,0.7,0.3,1.1,0.5,2.2,1,1.2,1.5,0.6,2,0.7,1.7,1.3,0.4,0.6,0.3,0.1,0.7,-,-,-,-,17.6,0.2,0.3,14.5,2.6,0.3,-,0.3,-,-,-,-,-,-,-
332,Arthur,Girona FC,Laliga,28 years old (12-08-1996),"1,72m",Brazil,Defensive Midfielder (C),Defensive Midfield,right,6(4),569.0,-,-,2,-,95.1,-,-,6.41,"Jun 30, 2025",€5.00m,0.4,-,-,-,-,0.4,0.4,-,-,0.9,0.3,0.6,0.5,0.4,0.3,-,0.3,2,0.9,2.9,0.5,1.6,0.8,-,0.6,0.1,-,0.2,-,-,-,-,44.9,2.1,0.5,40.6,1.7,0.2,-,0.2,-,-,-,-,-,-,-
333,Óscar Valentín,Rayo Vallecano,Laliga,30 years old (20-08-1994),"1,77m",Spain,Defensive Midfielder (C),Central Midfield,right,17(14),1637.0,-,-,3,-,83.1,0.9,-,6.41,"Jun 30, 2027",€3.50m,0.1,-,-,-,-,0.1,-,-,0.1,0.3,0.2,0.2,0.6,0.2,2,0.9,1.1,1.7,1.2,2.9,0.7,0.9,1.6,-,1.4,0.2,0.1,0.9,-,-,-,-,23.7,0.9,1.1,18.7,2.9,0.3,0.1,0.3,-,-,-,-,-,-,-
334,Bertug Yildirim,Getafe CF,Laliga,22 years old (12-07-2002),191cm,Turkey,Forward,,,13(5),979.0,1,-,7,-,55.3,3.6,-,6.41,,,1,0.1,0.1,-,-,1,0.1,0.1,0.8,0.7,0.4,0.3,1.9,0.7,6.7,3.6,3.1,0.4,0.3,0.7,0.1,0.8,1.6,0.7,0.8,0.1,-,0.5,-,-,-,-,8.4,0.2,0.2,4.5,3.6,0.3,-,0.3,-,-,-,-,-,-,-
335,Javi Hernández,CD Leganés,Laliga,26 years old (02-05-1998),"1,80m",Spain,"Defender (Centre, Left)",Left-Back,left,23(4),2031.0,-,1,4,-,76.1,0.7,1,6.41,"Jun 30, 2027",€2.00m,0.4,-,-,-,-,0.4,0.3,-,0.1,0.9,0.4,0.5,0.6,0.9,1.5,0.7,0.8,0.9,0.9,1.8,0.8,0.5,1.4,0.1,2.9,0.1,0.1,0.7,-,-,-,-,24.8,1.1,2.1,17.8,3.8,0.6,-,0.5,-,-,-,-,-,-,-
336,Cenk Özkacar,Real Valladolid CF,Laliga,24 years old (06-10-2000),"1,90m",Turkey,"Defender (Centre, Left)",Centre-Back,left,4(2),351.0,-,-,-,-,83.3,1,-,6.41,"Jun 30, 2025",€1.50m,0.2,-,-,-,-,0.2,-,-,0.2,-,-,-,0.5,-,2.7,1,1.7,0.7,0.7,1.3,1.8,-,0.2,-,4.8,0.5,0.2,0.3,-,-,-,-,34,1.8,3.7,26.5,2,-,-,-,-,-,-,-,-,-,-
