,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
90,30.2,2.4,1.6,20.8,5.5,1.4,0.5,0.9,0.1,-,-,-,-,-,-
91,48.1,1.3,1,39.1,6.6,1.6,0.1,1.4,0.1,-,-,-,-,-,0.1
92,22.4,4,7,11.2,0.2,-,-,-,-,-,-,-,-,-,-
93,27.8,0.5,0.5,22.4,4.4,1.1,0.2,0.9,0.1,0.1,-,-,-,-,-
94,19.5,0.6,0.9,13,4.9,1,0.1,0.9,0.1,-,-,-,-,-,0.1
95,68.1,1.9,0.8,61.6,3.8,1.2,0.3,0.9,0.2,-,-,0.1,0.1,-,-
96,39.1,1.5,3,29.3,5.4,1.4,0.4,1,0.2,0.2,-,-,-,-,-
97,38.2,1.7,2.4,31.1,3,0.3,-,0.3,-,-,-,-,-,-,-
98,34.8,5.5,8.1,20.7,0.5,-,-,-,-,-,-,-,-,-,-
99,10.3,1,-,6,3.3,0.3,-,0.3,-,-,-,-,-,-,-
100,26.1,0.8,0.4,22.2,2.6,1,0.1,0.9,0.1,-,-,0.1,-,-,0.1
101,95.8,2.7,1.9,87.5,3.7,0.3,-,0.3,-,-,-,-,-,-,-
102,25.1,1.4,2.7,17.4,3.6,1.7,0.9,0.9,0.1,0.1,0.1,-,-,-,-
103,10.3,0.1,-,8.3,2,0.7,-,0.7,0.1,-,-,-,-,-,0.1
104,51.5,1.7,2.9,42.3,4.6,0.2,0.1,0.1,-,-,-,-,-,-,-
105,32,0.6,0.7,27.9,2.9,0.3,-,0.3,0.1,-,-,-,-,-,0.1
106,85.9,2.9,1.4,78.5,3.1,0.3,0.1,0.2,-,-,-,-,-,-,-
107,16.8,0.3,0.1,12.5,3.9,0.6,-,0.6,0.1,-,-,-,-,-,0.1
108,37,0.7,1.3,30.4,4.6,1.2,0.5,0.7,-,-,-,-,-,-,-
109,37.8,1,0.8,32.3,3.7,0.8,0.2,0.6,-,-,-,-,-,-,-
110,50.4,4.4,3.6,39.5,2.9,0.3,0.1,0.2,0.1,-,-,-,-,-,0.1
111,18,0.6,0.1,13.9,3.3,0.6,-,0.6,0.1,-,-,-,-,-,0.1
112,48.4,4.4,2.3,37.1,4.7,0.8,0.3,0.5,0.1,-,-,-,-,-,0.1
113,46.6,3.9,3,33.9,5.7,1.3,0.4,0.9,0.1,0.1,-,-,-,-,-
114,31.2,3.8,4,23.1,0.3,0.1,-,-,-,-,-,-,-,-,-
115,54.3,1.8,2.9,47,2.6,0.4,-,0.3,0.1,0.1,-,-,-,-,-
116,50.7,1.7,1.2,41.3,6.4,1.2,0.1,1,-,-,-,-,-,-,-
117,50.9,4.9,4.8,37.5,3.8,0.2,0.1,0.1,-,-,-,-,-,-,-
118,74.6,2.8,0.8,69.2,1.8,0.2,-,0.2,-,-,-,-,-,-,-
119,21.1,0.8,0.8,15.6,3.9,0.6,-,0.6,0.1,-,-,-,-,-,-
120,53.7,2.7,2.1,44.9,4,0.5,0.1,0.4,-,-,-,-,-,-,-
121,45.2,2.2,3.2,34.2,5.5,1.1,0.3,0.8,-,-,-,-,-,-,-
122,24.5,0.5,0.3,20.2,3.5,1.2,0.4,0.8,0.1,0.1,0.1,-,-,-,0.1
123,17.2,0.2,0.3,14,2.8,0.7,-,0.6,0.2,-,-,-,-,-,0.1
124,32,0.7,0.9,25.4,5,0.9,-,0.9,0.1,0.1,-,-,-,-,0.1
125,30,7.3,6.1,16.3,0.3,-,-,-,-,-,-,-,-,-,-
126,44,4,5.5,31.8,2.7,0.3,0.2,0.1,-,-,-,-,-,-,-
127,35.7,2.6,1.5,27,4.6,0.2,-,0.2,-,-,-,-,-,-,-
128,47.7,2.5,3.4,39.4,2.4,0.2,-,0.2,-,-,-,-,-,-,-
129,35.5,2.9,2.8,26.8,2.9,0.3,-,0.3,-,-,-,-,-,-,-
130,71.2,2.4,2,63.9,2.9,0.1,-,0.1,-,-,-,-,-,-,-
131,39.6,1.6,1.7,31.4,4.9,0.4,-,0.4,-,-,-,-,-,-,-
132,27.8,4.7,6.3,16.5,0.2,0.1,0.1,-,-,-,-,-,-,-,-
133,52.9,2.3,2.1,46.1,2.4,0.1,-,0.1,-,-,-,-,-,-,-
134,44.7,6.5,3.4,27.8,7,2.5,1,1.5,0.2,0.1,0.1,-,-,-,-
135,52.1,2.9,3.3,41.5,4.4,0.5,-,0.4,-,-,-,-,-,-,-
136,39.3,2.9,2.2,30.7,3.4,0.1,-,0.1,-,-,-,-,-,-,-
137,38.8,1.5,2.2,29.2,6,1.8,1,0.8,0.2,0.1,-,-,0.1,-,-
138,18.6,0.3,0.3,14.3,3.6,1.1,-,1.1,0.2,0.1,-,0.1,-,-,0.1
139,31.7,1.8,1.2,24.5,4.2,1.1,0.2,1,-,-,-,-,-,-,-
140,45.6,2.1,2,38.9,2.6,0.3,0.1,0.2,-,-,-,-,-,-,-
141,58,1,0.9,51.3,4.8,0.9,0.1,0.7,0.1,-,-,-,-,-,0.1
142,31.7,2.1,1.2,25.7,2.7,0.6,0.1,0.4,0.1,-,-,-,-,-,0.1
143,17.9,0.1,0.4,13.4,3.9,0.9,0.1,0.9,0.1,-,-,-,-,-,0.1
144,56.4,1.1,0.7,51.3,3.2,0.5,0.1,0.5,-,-,-,-,-,-,-
145,42.2,1.5,1.1,33.6,6,0.6,-,0.6,0.1,-,-,-,-,-,0.1
146,54.9,3.6,2.6,44.7,4,0.3,0.1,0.1,0.1,-,-,0.1,-,-,-
147,17,0.5,0.3,10.7,5.5,0.9,-,0.9,0.1,-,-,-,-,-,0.1
148,38.2,2.3,2.7,29.9,3.4,0.2,0.1,0.2,0.1,-,-,-,-,-,0.1
149,55.6,0.7,0.6,49.7,4.6,0.4,-,0.4,-,-,-,-,-,-,-
150,21.2,0.8,0.7,15.4,4.3,1.3,0.7,0.6,0.1,-,-,-,-,-,-
151,63.3,2.1,1.8,57.2,2.2,0.2,0.1,0.1,-,-,-,-,-,-,-
152,31.1,0.9,0.8,26,3.3,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
153,71.3,1.5,1.7,64.5,3.7,0.2,-,0.2,-,-,-,-,-,-,-
154,48.1,1.1,1,44.3,1.8,-,-,-,-,-,-,-,-,-,-
155,11.7,0.1,0.2,8.6,2.8,0.6,-,0.6,0.1,-,-,-,-,-,0.1
156,12.2,0.2,0.2,8.6,3.2,0.8,0.2,0.6,0.3,0.1,-,-,-,-,0.2
157,44,3.1,5,33.7,2.2,0.2,-,0.2,-,-,-,-,-,-,-
158,14.3,0.3,0.5,9.5,4,0.7,-,0.7,0.1,-,-,-,-,-,0.1
159,39.4,2.2,2.2,29.9,5.1,0.8,0.2,0.5,0.1,0.1,-,-,-,-,-
