,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
184,50.8,1.3,1.6,43.4,4.5,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
185,63.4,3.9,2.3,54.6,2.6,0.2,0.1,0.1,-,-,-,-,-,-,-
186,29.7,1.8,1.9,21.7,4.3,0.8,0.2,0.6,0.2,-,-,-,-,-,0.1
187,23.8,1.3,0.7,17.9,3.9,0.6,-,0.5,0.1,-,-,-,-,-,-
188,35.2,1.7,1.4,28.5,3.6,0.6,-,0.5,-,-,-,-,-,-,-
189,56,2.1,1.6,46.6,5.8,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
190,31.2,1.1,0.8,25.3,4.1,0.9,-,0.9,-,-,-,-,-,-,-
191,30.4,0.8,1.7,24.1,3.8,0.4,-,0.4,-,-,-,-,-,-,-
192,18.9,0.5,0.6,14.6,3.2,0.6,-,0.6,-,-,-,-,-,-,-
193,74.1,4.5,2.7,62.7,4.3,0.6,0.1,0.4,0.1,-,-,-,-,-,-
194,20.2,0.5,0.2,16.3,3.2,0.9,-,0.9,0.1,-,-,-,-,-,0.1
195,20.9,0.2,0.2,18.3,2.2,0.7,-,0.7,0.1,-,-,-,-,-,0.1
196,23,0.9,1.2,18.5,2.5,0.4,0.1,0.4,0.1,-,-,-,-,-,0.1
197,18.1,0.6,0.6,13.6,3.3,0.7,-,0.7,0.1,-,-,0.1,-,-,-
198,34,0.7,1,26.2,6.1,0.7,-,0.7,0.1,-,-,-,-,-,0.1
199,31.7,5.5,11.6,14.6,0.1,-,-,-,-,-,-,-,-,-,-
200,63.3,1,2.7,57,2.7,-,-,-,-,-,-,-,-,-,-
201,52.3,1,1.5,46.5,3.3,-,-,-,-,-,-,-,-,-,-
202,20.8,0.7,1.2,14,4.9,1.4,-,1.4,0.2,-,-,-,-,-,0.2
203,31.9,6.4,9.1,16.1,0.3,-,-,-,-,-,-,-,-,-,-
204,21.9,0.6,0.2,16,5.1,1,-,0.9,0.2,-,-,-,-,-,0.1
205,36.6,1.6,1.4,29.4,4.1,0.5,-,0.5,-,-,-,-,-,-,-
206,36.9,1.5,1,30.6,3.8,0.4,-,0.4,-,-,-,-,-,-,-
207,52.2,2.4,4,42.4,3.4,0.2,-,0.1,-,-,-,-,-,-,-
208,9.7,-,0.3,5,4.5,0.2,-,0.2,-,-,-,-,-,-,-
209,23.6,5.1,12.4,6,-,-,-,-,-,-,-,-,-,-,-
210,23.3,1,1.3,17.8,3.3,0.3,-,0.3,-,-,-,-,-,-,-
211,32.9,2.1,2.7,24.6,3.4,0.2,0.1,0.1,-,-,-,-,-,-,-
212,74.4,2.5,3.1,64.8,4,0.2,-,0.2,-,-,-,-,-,-,-
213,27.1,0.5,0.5,21.9,4.2,1,0.1,0.9,0.1,0.1,-,-,-,-,-
214,11.8,1,1.5,8.3,1,0.1,-,0.1,-,-,-,-,-,-,-
215,23.7,1,0.6,18.8,3.3,1.1,0.3,0.8,0.1,0.1,0.1,-,-,-,-
216,34.5,1,1.4,27.4,4.7,0.5,0.1,0.4,0.1,0.1,-,-,-,-,-
217,37.9,1.7,2,31.8,2.4,0.2,0.1,0.1,-,-,-,-,-,-,-
218,33.5,0.5,7,24,2,-,-,-,-,-,-,-,-,-,-
219,13.8,0.3,0.5,9.3,3.8,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
220,33.1,2,3.5,25.4,2.2,0.1,-,0.1,-,-,-,-,-,-,-
221,39.1,1.7,0.9,30.5,6,1.5,0.4,1.2,-,-,-,-,-,-,-
222,33.1,0.6,1.5,27.2,3.9,0.3,0.1,0.3,-,-,-,-,-,-,-
223,20.9,1.1,0.6,15.6,3.5,0.9,0.3,0.6,-,-,-,-,-,-,-
224,30.1,3.8,7.1,19,0.2,0.1,0.1,-,-,-,-,-,-,-,-
225,13.2,0.9,0.5,9.8,1.9,0.8,0.3,0.5,0.1,-,-,0.1,-,-,-
226,20.4,0.9,0.3,16.7,2.5,0.8,0.1,0.7,0.2,-,-,-,-,-,0.2
227,30.3,2.4,3.6,19.7,4.5,0.5,0.2,0.4,-,-,-,-,-,-,-
228,28.3,1.7,2.7,20.6,3.4,0.2,-,0.1,-,-,-,-,-,-,-
229,29.7,7.3,10.1,12.2,-,-,-,-,-,-,-,-,-,-,-
230,14.1,0.2,0.3,9.9,3.8,0.5,-,0.5,0.1,-,-,-,-,-,0.1
231,32,1.8,1.9,23.9,4.5,0.9,0.3,0.7,0.1,-,-,-,-,-,-
232,28.5,1.7,1.8,21.2,3.8,1,0.4,0.6,-,-,-,-,-,-,-
233,23,1.1,1.2,16.1,4.7,0.4,0.1,0.3,-,-,-,-,-,-,-
234,31.1,1.1,0.8,26.9,2.3,0.5,-,0.5,-,-,-,-,-,-,-
235,34.4,1.5,1.1,28.5,3.3,0.3,-,0.3,0.1,-,-,-,-,-,0.1
236,35.4,1.3,2,28.2,3.9,0.7,-,0.6,-,-,-,-,-,-,-
237,41.4,3.3,3.9,31.8,2.5,0.1,-,0.1,-,-,-,-,-,-,-
238,34.3,2.7,4.4,27.1,0.1,-,-,-,-,-,-,-,-,-,-
239,12.6,0.1,0.1,8.3,4.1,0.8,-,0.8,0.2,-,-,-,-,-,0.2
240,24.7,0.9,0.4,21.2,2.2,1.2,0.3,0.9,0.1,-,-,-,-,-,0.1
241,25.5,1.3,5,18.8,0.5,-,-,-,-,-,-,-,-,-,-
242,29.4,2,2.3,22.5,2.6,-,-,-,-,-,-,-,-,-,-
243,27.8,0.9,2.5,20.4,4,0.2,0.1,0.1,-,-,-,-,-,-,-
244,44.2,1.8,2.3,36.2,3.9,0.4,-,0.3,0.1,-,-,-,-,-,0.1
245,28.7,3.5,2.5,22.3,0.3,-,-,-,-,-,-,-,-,-,-
246,13,-,-,10.5,2.5,1,-,1,0.5,-,-,-,-,-,0.5
247,46.7,1.9,2,39,3.9,0.4,-,0.4,-,-,-,-,-,-,-
248,23.8,4,5.2,14.1,0.4,0.1,0.1,-,-,-,-,-,-,-,-
249,40.7,2.3,4,30.3,4,0.5,0.1,0.4,-,-,-,-,-,-,-
250,17.2,0.3,0.5,12.5,4,0.9,0.1,0.8,0.1,0.1,-,-,-,-,-
251,18,0.9,1,13,3.1,0.7,0.2,0.5,0.2,-,-,-,-,-,0.1
252,31.9,2.9,5.2,21.7,2.2,0.3,0.1,0.2,-,-,-,-,-,-,-
253,24.3,2.4,2.3,16.5,3.1,0.1,-,0.1,-,-,-,-,-,-,-
254,22.7,1,2,16.2,3.5,0.5,0.1,0.4,-,-,-,-,-,-,-
255,13.1,0.1,0.4,10.2,2.4,1,-,0.9,0.1,-,-,-,-,-,0.1
256,28.3,1.1,1.3,21.6,4.4,0.8,0.1,0.6,0.1,-,-,-,-,-,0.1
257,22.2,2.8,4.6,14.8,0.1,-,-,-,-,-,-,-,-,-,-
258,70.2,2.8,3,61.7,2.7,0.1,-,0.1,-,-,-,-,-,-,-
259,36.7,2.2,2.4,29.3,2.9,0.2,0.1,0.1,-,-,-,-,-,-,-
260,30.7,1.2,3.1,21.4,5.1,0.5,0.2,0.3,-,-,-,-,-,-,-
261,13.1,0.5,0.2,9.1,3.3,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
262,47.1,3.1,3.1,38.1,2.9,0.1,-,0.1,-,-,-,-,-,-,-
263,32.7,1.5,1.7,24.7,4.8,0.7,0.2,0.5,0.1,-,-,-,-,-,0.1
264,36.5,0.5,1.1,31.6,3.4,0.5,-,0.5,0.1,-,-,-,-,-,0.1
265,31.2,1,1.3,24.9,3.9,0.5,-,0.5,-,-,-,-,-,-,-
266,31.9,1.3,1.4,25.9,3.3,0.3,-,0.3,-,-,-,-,-,-,-
267,8.2,-,0.2,5,3,0.4,-,0.4,-,-,-,-,-,-,-
268,39.9,1,0.4,36.9,1.6,0.9,-,0.9,0.1,-,-,-,-,-,0.1
269,30.6,1,1.8,23.4,4.4,0.6,-,0.6,-,-,-,-,-,-,-
270,28.2,1,0.8,22.3,4.1,0.9,0.1,0.8,-,-,-,-,-,-,-
271,37,1.3,0.8,31.6,3.3,0.7,-,0.6,-,-,-,-,-,-,-
272,10.8,0.3,0.2,7.6,2.7,0.4,-,0.4,0.1,-,-,-,-,-,0.1
273,39.4,2.1,2.6,31.4,3.1,0.1,-,0.1,-,-,-,-,-,-,-
