,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
60,33.1,3.3,5.5,19.6,4.7,0.6,0.5,0.1,-,-,-,-,-,-,-
61,45.9,3,4.1,34.5,4.3,1.8,0.6,1.2,0.2,0.2,-,-,-,-,-
62,28.8,7.6,8.6,12.3,0.2,0.1,0.1,-,-,-,-,-,-,-,-
63,28.2,1,0.9,22,4.3,1.6,0.5,1.1,0.1,-,-,-,-,-,0.1
64,67.4,4.9,2.3,55.1,5.1,0.7,0.1,0.7,0.1,-,-,-,-,-,0.1
65,12.9,0.2,-,9.3,3.5,1.2,-,1.2,0.1,-,-,-,-,-,0.1
66,28.8,4.9,8.3,15.1,0.4,-,-,-,-,-,-,-,-,-,-
67,39.9,2.7,2.7,31.7,2.9,0.3,0.1,0.2,0.1,-,-,-,-,-,0.1
68,24.9,0.7,0.5,19,4.8,1.1,0.1,1,0.2,-,-,-,-,-,0.1
69,33.3,6,15.8,11.1,0.4,-,-,-,-,-,-,-,-,-,-
70,28,6,9,12.9,0.1,-,-,-,-,-,-,-,-,-,-
71,55,3,2,47,3,-,-,-,-,-,-,-,-,-,-
72,33.3,4.2,7.7,21.3,0.1,-,-,-,-,-,-,-,-,-,-
73,37.4,1.4,2.3,29.7,4,0.7,-,0.7,0.3,0.1,-,-,-,-,0.1
74,21.5,0.8,0.6,16.2,4,0.9,-,0.8,0.1,-,-,-,-,-,0.1
75,26.7,1,1,20.4,4.3,1.5,0.5,0.9,0.1,0.1,-,-,-,-,-
76,28.9,0.8,0.4,22.2,5.5,0.5,-,0.5,0.1,-,-,-,-,-,0.1
77,14.2,0.2,0.2,9.9,3.9,1,-,1,0.3,-,-,0.1,-,-,0.2
78,46.2,2.8,2.5,37.5,3.4,0.2,0.1,0.1,-,-,-,-,-,-,-
79,18.3,0.5,0.1,10.4,7.3,1,-,1,-,-,-,-,-,-,-
80,20.3,0.4,0.3,16.6,3,0.7,-,0.7,-,-,-,-,-,-,-
81,26.7,4.8,7.9,14,0.1,-,-,-,-,-,-,-,-,-,-
82,30.4,3.2,7.2,19.8,0.2,-,-,-,-,-,-,-,-,-,-
83,23,0.6,1.6,14.9,5.9,1.4,0.4,1,-,-,-,-,-,-,-
84,27.9,0.8,1,22.8,3.3,1,0.3,0.7,0.3,0.1,-,-,-,-,0.2
85,42.9,2.5,2.9,32.6,5,1.3,0.5,0.8,-,-,-,-,-,-,-
86,33.1,2.1,2.7,24.8,3.6,1.8,0.8,1,0.1,0.1,0.1,-,0.1,-,-
87,33.6,9,12,12.5,0.1,-,-,-,-,-,-,-,-,-,-
88,34.3,1.6,2.5,26.5,3.7,0.1,-,0.1,-,-,-,-,-,-,-
89,39.2,1.2,0.7,34.1,3.3,0.8,0.1,0.7,0.2,-,-,0.1,-,-,0.1
90,19,-,-,17,2,3,-,3,-,-,-,-,-,-,-
91,49.5,2.5,3.7,39.8,3.6,0.2,0.1,0.2,-,-,-,-,-,-,-
92,22.5,0.6,0.5,16.7,4.8,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
