,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
297,0.6,0.1,0.7,1.1,0.4,0.5,-,2.9,0.6,0.1,0.6,-,-,-,-
298,1.3,0.3,1.5,1.1,0.1,0.4,-,2.3,0.4,-,0.4,-,-,-,-
299,0.6,0.1,0.7,0.1,0.4,0.8,0.3,0.5,-,-,0.5,-,-,-,-
300,0.5,0.1,0.6,0.1,0.3,0.3,0.4,0.1,-,-,0.1,-,-,-,-
301,1.8,0.9,2.7,0.7,0.6,0.8,-,1.8,0.2,0.2,0.7,-,-,-,-
302,1.3,1.1,2.4,0.3,1,0.5,-,0.8,0.1,-,0.4,-,-,-,-
303,1.3,0.3,1.7,0.5,1.2,1.2,-,0.4,0.1,0.1,0.3,-,-,-,-
304,0.9,0.4,1.3,0.4,0.7,0.6,-,1.1,0.1,0.3,0.5,-,-,-,-
305,1.2,0.5,1.7,0.4,0.5,0.9,0.1,0.5,0.1,0.2,0.7,-,-,-,-
306,1.3,0.7,2,0.4,0.4,1.5,0.3,0.8,0.2,0.1,0.6,-,-,-,-
307,1.4,0.6,2,0.4,1,0.8,-,0.2,-,0.1,0.9,-,-,-,-
308,0.5,0.3,0.8,0.3,0.7,0.3,-,0.4,0.2,0.1,0.2,-,-,-,-
309,0.4,0.1,0.5,0.1,0.6,1,0.2,0.2,0.1,-,0.1,-,-,-,-
310,1.1,0.3,1.4,0.7,0.6,0.8,0.2,1.7,0.3,0.2,0.6,-,-,-,-
311,1.4,0.4,1.9,1.1,0.6,0.4,-,1.1,-,-,0.1,-,-,-,-
312,1.5,0.9,2.4,0.3,1.7,1.2,-,0.5,0.1,0.3,0.6,-,-,-,-
313,0.6,0.3,0.9,0.2,1.1,0.4,0.1,0.4,0.1,-,0.3,-,-,-,-
314,-,0.1,0.1,-,0.2,-,-,0.8,-,-,-,1.9,0.1,1.3,0.5
315,0.8,0.5,1.2,0.5,0.8,0.8,0.1,0.9,0.2,0.2,0.4,-,-,-,-
316,-,-,-,-,0.1,-,-,0.9,-,-,-,2.7,0.2,1.8,0.7
317,0.5,0.2,0.7,0.2,2.1,1.5,0.3,0.1,-,0.1,0.5,-,-,-,-
318,1.4,0.2,1.7,1.2,1.2,1,-,1.4,0.5,0.1,0.4,-,-,-,-
319,-,-,-,-,-,-,-,3,-,-,-,3,1,2,-
320,0.8,0.8,1.6,0.3,0.1,1.1,-,0.6,0.2,0.1,0.3,-,-,-,-
321,0.9,0.4,1.2,0.3,0.5,0.5,-,0.6,-,0.1,0.2,-,-,-,-
322,1,0.8,1.7,0.5,1,0.8,0.3,0.8,-,-,0.5,-,-,-,-
323,0.7,0.3,1,0.3,0.6,0.7,-,0.6,0.1,0.1,0.6,-,-,-,-
324,1.5,0.4,1.9,1.2,0.3,0.7,-,3.5,0.5,0.1,0.4,-,-,-,-
325,0.9,-,0.9,0.2,0.3,1,-,0.4,-,0.1,0.5,-,-,-,-
326,0.8,0.4,1.2,0.1,1.1,1.2,0.2,0.4,0.1,-,0.9,-,-,-,-
327,0.4,0.1,0.6,0.3,1.1,0.9,0.2,0.8,-,0.1,0.6,-,-,-,-
328,1.5,0.3,1.9,0.2,0.6,1.3,0.4,1.9,0.2,0.3,0.5,-,-,-,-
329,1.1,0.4,1.5,0.7,0.5,0.6,-,2.2,0.6,0.2,0.5,-,-,-,-
330,0.3,0.4,0.7,-,0.5,1.3,0.2,0.3,-,-,0.3,-,-,-,-
331,0.8,0.5,1.3,0.7,0.8,0.6,-,1,-,-,0.2,-,-,-,-
332,-,0.2,0.2,-,0.2,-,-,1,-,-,-,2.2,0.2,1.4,0.6
333,-,-,-,-,0.4,-,-,1.2,-,-,-,0.9,-,0.5,0.5
334,1.6,0.5,2.1,0.4,1.4,1.2,0.1,1.3,0.1,0.1,0.4,-,-,-,-
335,0.4,0.6,1,-,1.6,0.8,0.2,0.7,-,-,0.1,-,-,-,-
336,1,0.7,1.7,0.7,0.2,0.6,-,1,0.2,-,0.6,-,-,-,-
337,0.3,0.1,0.3,0.2,1.8,0.4,0.1,0.2,-,-,0.1,-,-,-,-
338,0.5,0.3,0.8,1,0.3,1.4,-,3.1,0.5,-,0.3,-,-,-,-
339,1.4,0.5,1.8,1.1,1.2,0.5,-,0.6,-,-,0.5,-,-,-,-
340,0.5,0.6,1.1,0.5,0.9,0.5,-,1.3,-,0.1,0.3,-,-,-,-
