,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
51,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1
52,1.4,0.3,1.7,1.3,0.5,1,-,4.1,0.3,0.1,0.5,-,-,-,-
53,2.2,0.9,3,1.4,1.2,2.4,-,1.8,0.3,-,0.8,-,-,-,-
54,0.9,0.1,1,0.9,0.3,1.4,0.1,6,1,-,0.3,-,-,-,-
55,1.2,0.4,1.6,1.4,0.8,0.7,-,5.1,0.7,0.1,0.3,-,-,-,-
56,0.5,0.4,0.9,0.2,1.8,1.6,0.8,1.1,-,-,0.5,-,-,-,-
57,1.8,1.1,2.9,0.7,1.4,1.2,-,0.9,-,-,0.8,-,-,-,-
58,2.1,0.5,2.6,1.2,0.6,1.2,-,2.3,0.5,-,0.7,-,-,-,-
59,0.7,0.3,1,-,0.3,0.3,1,-,-,-,0.3,-,-,-,-
60,2.9,1,3.9,1.2,1.4,1.1,0.1,3.4,0.2,0.3,0.7,-,-,-,-
61,1.5,0.5,2,-,3.5,1.5,-,-,-,-,1,-,-,-,-
62,-,-,-,-,-,-,-,1,-,-,-,3,-,3,-
63,0.9,0.3,1.2,0.3,0.8,0.8,0.1,0.4,0.1,0.1,0.5,-,-,-,-
64,3.3,0.9,4.3,1.4,0.8,1.5,0.1,3.9,0.4,0.5,1.1,-,-,-,-
65,0.5,0.6,1.1,0.1,0.6,0.7,0.1,0.4,-,0.1,-,-,-,-,-
66,1.4,0.8,2.2,0.4,0.9,1,0.3,0.8,0.1,0.2,0.9,-,-,-,-
67,1.2,0.4,1.6,1,0.2,0.7,-,6.1,0.8,0.1,0.3,-,-,-,-
68,2.2,1,3.2,1.1,2.4,2.4,0.2,1.6,0.1,-,0.6,-,-,-,-
69,2,0.8,2.8,0.5,0.4,0.9,0.3,0.6,0.1,0.2,1.2,-,-,-,-
70,-,-,-,-,-,-,-,0.8,-,-,-,2.4,0.2,1.4,0.9
71,2.8,0.8,3.5,0.6,0.8,0.9,-,2.2,0.7,0.3,1,-,-,-,-
72,1.5,0.4,2,1,0.5,0.9,-,5.1,1.2,0.1,0.5,-,-,-,-
73,1.3,0.9,2.2,0.4,1.6,0.9,0.3,0.7,0.1,0.3,0.8,-,-,-,-
74,0.3,0.1,0.3,-,0.4,0.7,0.2,0.7,-,-,0.1,-,-,-,-
75,0.9,0.5,1.5,0.8,0.5,0.6,0.1,0.4,0.2,0.1,0.3,-,-,-,-
76,1.5,0.3,1.8,1,0.3,0.8,-,5,0.4,0.1,0.3,-,-,-,-
77,1.5,0.5,2,1,0.9,1,-,6.4,1,0.1,0.4,-,-,-,-
78,2.3,0.8,3.1,1.7,0.6,1.4,0.3,4.2,0.5,0.6,0.8,-,-,-,-
79,1.4,0.5,1.9,1,0.4,1,-,6.2,0.7,-,0.5,-,-,-,-
80,2,1,3,0.4,1.4,1.5,0.2,1.7,0.1,0.2,0.4,-,-,-,-
81,0.3,0.1,0.4,0.3,1.5,1,0.8,1.4,-,-,0.2,-,-,-,-
82,2.6,1.2,3.7,1,1.7,1.2,0.1,2.7,0.1,0.4,1.2,-,-,-,-
83,3,1,4,0.9,1.3,1.5,0.1,2.9,0.3,0.2,0.9,-,-,-,-
84,0.3,0.2,0.5,-,1.3,1.4,0.5,0.5,0.1,-,0.4,-,-,-,-
85,2.6,1.2,3.8,0.9,1.2,1.3,-,0.8,0.1,0.1,0.6,-,-,-,-
86,0.9,0.2,1.1,0.6,0.9,0.4,0.1,3.7,0.2,0.2,0.1,-,-,-,-
87,1.4,0.8,2.2,1.2,0.9,1,-,1,0.1,0.1,0.3,-,-,-,-
88,0.6,0.2,0.8,0.2,1.3,0.5,-,0.7,0.1,0.2,0.7,-,-,-,-
89,2.7,1.4,4.1,1.1,2,1.7,0.1,2.6,0.4,0.1,1,-,-,-,-
90,1.1,0.6,1.8,1.1,0.9,1,0.1,4,0.3,0.3,0.5,-,-,-,-
91,0.3,0.1,0.4,0.2,1.6,1.8,0.4,1.5,0.1,-,0.3,-,-,-,-
92,1,0.2,1.1,1,0.9,1.3,0.1,4.3,0.9,0.1,0.3,-,-,-,-
93,1.1,0.5,1.6,0.3,1.9,0.8,0.1,0.8,-,0.4,0.7,-,-,-,-
94,2,0.5,2.5,1,1.4,0.8,-,1.7,0.3,0.1,0.7,-,-,-,-
95,1.4,0.3,1.8,1.1,0.4,0.8,-,4.6,0.8,-,0.3,-,-,-,-
96,0.6,0.6,1.2,0.4,0.5,0.1,0.4,0.5,-,-,0.2,-,-,-,-
97,1.9,0.6,2.4,0.7,1.3,0.7,-,0.5,0.2,-,0.7,-,-,-,-
98,1.6,0.9,2.5,0.8,-,0.8,-,2,0.4,0.6,0.1,-,-,-,-
99,0.9,0.3,1.2,0.4,0.3,0.6,-,2.4,0.3,-,0.1,-,-,-,-
100,0.9,0.6,1.5,0.4,1.9,0.5,0.2,0.3,-,0.1,1,-,-,-,-
101,0.6,0.6,1.2,-,1.3,0.6,0.3,0.4,-,-,0.4,-,-,-,-
102,1.9,0.9,2.8,1,1.6,1.1,-,0.7,0.2,0.3,0.7,-,-,-,-
103,0.6,0.5,1.1,0.3,0.8,1,0.3,0.9,-,-,0.8,-,-,-,-
104,0.1,0.1,0.2,-,0.1,-,-,1.1,-,-,-,3.5,0.4,2,1.1
