,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
161,1.9,0.3,2.2,0.8,0.4,0.8,0.2,4.8,0.6,0.1,0.4,-,-,-,-
162,0.5,0.6,1.1,0.3,0.5,0.8,-,0.3,-,-,0.4,-,-,-,-
163,1.3,0.6,1.9,0.8,0.7,0.8,-,4.1,0.7,0.1,0.4,-,-,-,-
164,1.2,0.2,1.4,1.6,0.3,0.7,-,3.1,0.5,-,0.1,-,-,-,-
165,0.6,0.3,1,0.3,0.9,0.6,0.1,-,-,0.1,0.3,-,-,-,-
166,1.3,0.6,1.9,2,0.4,1.2,-,6.1,1.2,-,0.4,-,-,-,-
167,2.2,1.1,3.3,0.9,2.2,1.4,-,3.3,0.4,0.2,0.8,-,-,-,-
168,0.8,-,0.8,-,-,-,-,2.8,-,-,-,2.8,-,2,0.8
169,2.2,0.8,3,0.5,0.2,0.5,0.1,4.6,0.7,0.4,0.9,-,-,-,-
170,1.9,0.8,2.7,0.8,0.9,1.5,0.1,2.8,0.4,0.6,0.6,-,-,-,-
171,0.4,0.3,0.7,0.1,0.4,0.2,0.2,0.2,-,-,0.3,-,-,-,-
172,2.1,0.9,3,1,0.3,0.7,-,3.4,0.3,0.4,0.4,-,-,-,-
173,2.4,0.6,3,0.4,0.7,0.6,0.1,2.3,0.3,0.4,1.5,-,-,-,-
174,1.2,0.3,1.6,1,0.6,1.3,0.1,3.2,0.8,0.1,0.3,-,-,-,-
175,0.7,0.2,0.9,0.5,0.3,0.4,0.1,3.2,0.4,0.1,0.1,-,-,-,-
176,2.5,1,3.6,0.6,1.5,1.3,0.1,0.8,0.1,0.1,1,-,-,-,-
177,1,0.3,1.3,0.8,0.3,0.3,0.3,3,0.2,-,0.5,-,-,-,-
178,2.2,1,3.2,2,1.4,1.2,0.2,2.8,2,-,0.6,-,-,-,-
179,1.4,0.4,1.7,0.7,0.2,0.7,-,4.2,1.2,0.1,0.6,-,-,-,-
180,2.1,0.5,2.6,1,0.6,1,-,2,0.3,0.3,0.5,-,-,-,-
181,1.4,0.3,1.7,0.8,0.4,0.7,0.1,3.2,0.6,0.2,0.4,-,-,-,-
182,0.5,0.3,0.8,0.3,0.8,0.5,-,0.3,0.1,-,0.6,-,-,-,-
183,-,0.1,0.1,-,0.1,0.2,-,1,-,-,-,3.6,0.5,2.2,0.9
184,1.6,0.7,2.3,0.6,1,0.2,0.1,2.6,0.3,0.4,0.7,-,-,-,-
185,1.7,-,1.7,0.7,0.3,1,-,0.7,0.7,-,0.7,-,-,-,-
186,1.2,0.9,2.1,0.6,0.2,0.9,-,1,0.3,0.3,0.3,-,-,-,-
187,-,0.1,0.1,0.1,0.1,-,-,0.8,-,-,-,4.3,0.5,2.2,1.6
188,1.8,0.5,2.3,0.7,0.7,0.3,-,2.3,1,0.3,0.3,-,-,-,-
189,0.7,0.1,0.9,0.8,0.3,0.2,0.1,6.7,0.9,0.1,0.3,-,-,-,-
190,2.4,1.2,3.6,0.9,1,2.2,-,1.1,0.2,0.1,0.4,-,-,-,-
191,1.5,0.6,2,0.5,0.4,0.6,0.1,1.5,-,0.3,0.2,-,-,-,-
192,1.9,1,2.9,0.9,0.8,1,-,1.9,0.2,0.2,0.7,-,-,-,-
193,1.3,0.7,2,0.8,1.6,1.7,0.2,2,0.3,-,0.9,-,-,-,-
194,1.3,0.5,1.8,0.5,1,1,-,5.3,1,0.3,-,-,-,-,-
