,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
143,1.1,0.6,1.7,1.4,0.4,1.1,0.1,3.7,0.8,0.1,0.4,-,-,-,-
144,0.7,0.5,1.2,0.2,1.4,0.4,0.3,1,0.2,0.1,0.5,-,-,-,-
145,0.3,0.6,0.9,0.1,0.6,1.4,0.5,0.8,0.1,-,0.4,-,-,-,-
146,1.3,0.3,1.5,0.2,0.2,0.7,0.2,4.5,0.2,0.3,0.7,-,-,-,-
147,0.9,0.1,1,1.1,0.4,0.4,-,5.3,1.1,-,0.5,-,-,-,-
148,1.4,0.4,1.8,1.1,0.7,0.5,0.1,6.1,1.6,0.2,0.4,-,-,-,-
149,1.2,0.6,1.8,0.3,0.7,1,0.1,0.7,0.1,-,0.3,-,-,-,-
150,1.6,0.8,2.4,1.5,0.5,1.2,-,1.4,0.4,-,0.7,-,-,-,-
151,0.3,0.4,0.7,0.1,1.5,2,0.4,0.8,-,-,0.3,-,-,-,-
152,-,-,0.1,-,0.2,0.1,-,1.2,-,-,-,3.3,0.1,2,1.2
153,1.7,1.5,3.2,1.3,0.5,0.8,0.2,2.8,0.3,-,-,-,-,-,-
154,0.9,0.6,1.5,1,1.1,1.7,-,3.7,0.6,0.2,0.4,-,-,-,-
155,3.1,0.6,3.7,0.8,1.6,1.3,0.1,1.1,0.2,0.3,1.4,-,-,-,-
156,1.3,0.5,1.8,0.5,0.8,0.4,0.1,1.9,0.3,0.3,0.5,-,-,-,-
157,1.5,0.4,1.9,1.1,0.2,0.6,-,4.8,0.6,0.1,0.4,-,-,-,-
158,1.1,0.3,1.4,1.2,0.4,0.6,0.1,3.1,0.8,0.2,0.3,-,-,-,-
159,0.5,0.4,0.9,0.3,0.5,0.5,0.5,0.5,-,-,0.5,-,-,-,-
160,1.5,0.6,2.2,0.5,0.4,0.9,0.2,1.4,0.4,0.1,0.4,-,-,-,-
