,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
153,2,0.6,2.6,1.3,2.5,1.6,0.1,1.1,0.3,0.1,0.9,-,-,-,-
154,1.4,0.4,1.8,0.8,1,0.8,-,1.1,0.2,0.1,0.6,-,-,-,-
155,2.3,0.9,3.3,2.1,0.8,1.1,-,2.1,0.4,0.2,1.4,-,-,-,-
156,0.2,0.4,0.5,0.3,0.5,0.9,0.6,0.4,0.2,-,0.3,-,-,-,-
157,1.1,0.3,1.4,1.2,0.8,1.4,-,1,0.3,-,0.3,-,-,-,-
158,1.3,-,1.3,0.6,0.8,0.1,-,2.6,0.3,-,0.5,-,-,-,-
159,1.1,0.4,1.5,1,0.5,0.4,-,4.9,0.8,0.2,0.6,-,-,-,-
160,1.7,0.9,2.6,0.3,0.6,0.6,-,0.3,-,-,0.6,-,-,-,-
161,0.8,0.3,1.1,1.1,0.4,1,-,3.5,0.5,-,0.5,-,-,-,-
162,1.4,0.8,2.3,0.7,0.6,0.6,-,1.7,0.3,0.4,1,-,-,-,-
163,2.2,0.4,2.6,1.4,0.6,1.4,-,1.8,0.4,0.1,0.7,-,-,-,-
164,0.8,0.7,1.5,0.5,0.9,0.7,-,0.4,-,-,0.7,-,-,-,-
165,1.3,0.7,2,0.9,0.2,1.2,-,3,0.5,0.1,0.2,-,-,-,-
166,0.8,0.6,1.4,0.4,0.7,0.6,0.1,1.3,0.2,0.2,0.7,-,-,-,-
167,0.9,0.2,1.1,0.5,0.5,0.7,-,5,0.4,0.2,0.5,-,-,-,-
168,1.3,0.4,1.7,1.1,0.9,0.4,0.1,2.2,-,0.3,0.7,-,-,-,-
169,0.6,-,0.6,0.1,0.6,0.4,0.1,0.1,-,-,0.6,-,-,-,-
170,0.8,0.7,1.5,0.9,-,1.1,-,6.3,1.1,0.1,0.2,-,-,-,-
171,1,0.7,1.7,0.5,0.7,0.9,0.1,0.5,0.1,0.1,0.5,-,-,-,-
172,0.3,0.3,0.6,0.2,0.8,0.5,0.3,0.5,0.1,0.1,0.3,-,-,-,-
173,0.3,0.2,0.5,0.1,0.9,0.7,0.5,0.2,0.1,0.1,0.4,-,-,-,-
174,1,0.5,1.5,0.8,1.1,0.8,-,1.3,0.2,0.1,0.4,-,-,-,-
175,1.1,0.7,1.7,0.3,1.6,1,0.2,0.5,0.1,0.1,0.4,-,-,-,-
