,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
180,1,0.3,1.4,0.5,0.4,0.8,0.2,0.5,-,0.2,0.4,-,-,-,-
181,0.5,0.7,1.2,0.3,0.7,0.3,-,0.2,-,-,0.5,-,-,-,-
182,2.2,0.6,2.9,0.8,0.7,0.8,0.1,2.1,0.1,-,0.2,-,-,-,-
183,1.5,0.3,1.7,0.8,0.5,1,-,4.4,0.5,0.3,0.3,-,-,-,-
184,0.6,0.3,0.9,-,1.2,0.6,0.2,0.3,-,-,0.6,-,-,-,-
185,0.4,0.2,0.6,0.3,0.4,0.3,-,0.3,-,-,0.4,-,-,-,-
186,1,-,1,-,0.5,0.5,-,0.5,-,-,-,-,-,-,-
187,1.5,0.5,2,1.2,0.7,1.1,-,2,0.4,0.1,0.8,-,-,-,-
188,1.4,0.7,2.1,0.3,0.6,1.3,-,0.2,0.2,-,0.8,-,-,-,-
189,2.7,0.6,3.3,1.6,0.8,1.8,-,1.2,0.3,0.1,0.9,-,-,-,-
190,2.7,0.7,3.3,0.8,0.6,1.9,-,1.6,0.2,0.2,0.7,-,-,-,-
191,-,0.1,0.1,-,0.4,-,-,1.2,-,-,-,4,0.3,2.4,1.3
192,1.1,0.5,1.6,0.6,0.7,0.8,-,3,0.3,0.4,0.6,-,-,-,-
193,2.1,0.5,2.6,0.8,2.1,0.8,-,1.5,0.1,0.1,0.5,-,-,-,-
194,2.5,1,3.5,1.2,0.5,0.8,-,6.4,0.7,0.3,1.2,-,-,-,-
195,0.7,0.4,1.1,0.1,1.4,0.9,0.4,0.3,-,-,0.3,-,-,-,-
196,0.8,0.3,1.1,0.4,0.7,0.5,0.2,0.8,0.1,0.1,0.3,-,-,-,-
197,1.7,0.9,2.6,0.7,0.4,0.7,-,2.2,0.1,0.2,1.1,-,-,-,-
198,1.5,0.4,1.9,1.5,1,1.5,0.1,3.8,0.4,-,0.4,-,-,-,-
199,3,-,3,2,-,1,-,1,-,-,1,-,-,-,-
200,1.7,0.4,2.1,0.8,0.4,1.1,-,4.2,0.5,0.1,0.4,-,-,-,-
201,0.2,0.2,0.4,0.1,0.7,0.2,0.1,0.2,-,-,0.4,-,-,-,-
202,2,0.9,2.9,1.3,0.4,0.9,-,1.9,0.3,0.2,0.9,-,-,-,-
203,1.3,0.3,1.5,0.9,0.6,0.9,-,3.5,0.4,0.1,0.6,-,-,-,-
204,0.9,0.5,1.4,0.6,0.8,1,0.2,1.2,0.1,0.1,0.9,-,-,-,-
205,1.3,0.3,1.6,0.2,1.7,1,0.3,1.1,-,0.3,0.6,-,-,-,-
206,2.3,0.9,3.2,1.2,0.8,1.3,-,0.9,0.2,0.1,0.6,-,-,-,-
207,1.4,0.6,2,1.4,0.6,0.8,-,2.9,0.5,0.1,0.6,-,-,-,-
208,0.3,-,0.3,0.3,1,1,0.3,0.8,0.3,-,-,-,-,-,-
209,-,0.1,0.1,-,0.1,-,-,0.8,-,-,-,2.4,0.2,1.2,1.1
210,0.5,0.3,0.8,0.1,1,0.7,-,0.2,-,0.1,0.4,-,-,-,-
211,2.1,0.5,2.6,1.3,0.8,0.7,-,3,0.9,0.4,0.8,-,-,-,-
212,0.9,0.5,1.4,0.2,1.7,0.5,0.2,0.2,-,-,0.1,-,-,-,-
213,0.8,0.3,1,0.5,0.7,0.4,-,0.5,0.2,0.1,0.6,-,-,-,-
214,1.6,0.6,2.2,0.3,0.2,0.9,-,1.9,0.1,0.3,0.7,-,-,-,-
215,0.7,0.3,0.9,0.2,1.2,0.3,0.1,0.2,-,-,0.4,-,-,-,-
216,1.3,0.6,1.9,0.5,0.3,0.5,0.2,0.5,-,0.2,0.3,-,-,-,-
217,0.1,-,0.1,-,-,-,-,1.2,-,-,0.2,2.7,-,1.5,1.2
218,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-
219,1.3,0.6,1.9,0.9,0.6,0.6,-,0.4,-,0.1,0.5,-,-,-,-
220,0.7,0.4,1.1,0.4,0.5,0.6,0.1,0.5,0.1,-,0.4,-,-,-,-
