,BlkSh,BlkCr,BlkPs
355,0.5,0.1,0.2
356,0.2,0.4,0.2
357,0.3,-,0.6
358,0.4,0.1,0.5
359,0.1,-,0.2
360,0.1,-,0.1
361,0.3,0.3,0.3
362,0.2,0.1,0.5
363,0.1,-,0.1
364,-,-,-
365,0.1,0.1,0.3
366,0.1,0.1,0.4
367,0.3,0.2,0.5
368,0.2,-,0.3
369,-,-,0.3
370,0.5,0.1,0.2
371,-,-,0.2
372,0.1,-,0.4
373,-,-,0.3
374,0.2,0.2,0.2
375,-,-,0.4
376,0.1,0.3,0.5
377,0.1,0.1,0.4
378,0.3,0.1,0.3
379,0.2,-,0.5
380,0.5,-,1.3
381,0.2,0.2,0.6
382,0.6,0.1,0.3
383,-,0.1,0.1
384,0.2,0.2,0.5
385,0.2,-,0.5
386,0.1,0.1,0.6
387,-,-,0.2
388,0.2,-,0.3
389,0.5,0.1,0.8
390,0.5,0.1,0.6
391,0.3,0.2,0.8
392,0.3,0.3,0.4
393,0.2,0.1,0.1
394,0.1,0.2,0.4
395,0.3,0.1,0.9
396,-,-,0.3
397,1,0.3,0.3
398,-,-,0.4
399,0.4,0.1,0.4
400,0.2,0.1,0.6
401,0.3,0.1,0.1
402,0.1,0.1,0.2
403,-,0.1,0.2
404,-,-,0.5
405,-,-,0.1
406,0.1,0.1,0.5
407,-,-,-
408,0.4,0.7,0.4
409,0.2,-,0.3
410,0.3,-,-
411,0.2,-,0.4
412,0.1,-,0.1
413,-,-,-
414,-,-,0.1
415,0.5,-,0.4
416,-,-,0.4
417,-,-,0.1
418,-,-,0.1
419,0.3,-,-
420,-,0.1,0.1
421,-,-,-
422,-,-,-
423,0.3,0.1,0.5
424,0.3,-,1
425,-,-,0.3
426,-,-,0.3
427,0.1,-,0.4
428,0.1,-,0.6
429,-,0.1,0.1
430,-,-,-
431,0.4,0.1,1.3
432,-,0.2,0.9
433,0.2,-,0.4
434,-,-,-
435,-,-,-
436,0.3,-,-
437,-,-,-
438,0.2,-,0.1
439,0.5,0.3,0.8
440,-,-,0.3
441,-,-,0.4
442,0.2,-,0.4
443,0.1,0.1,0.7
444,0.2,0.1,0.1
445,-,-,-
446,0.1,-,0.6
447,-,-,0.5
448,0.1,0.4,0.6
449,-,-,0.3
450,0.1,0.1,0.4
451,-,-,0.2
452,-,0.1,0.5
453,0.2,0.1,0.6
454,0.1,0.4,1.2
455,-,-,0.3
456,-,-,-
457,0.3,-,0.3
458,0.1,-,0.2
459,0.2,0.2,0.4
460,1.5,-,-
461,-,-,0.2
462,-,-,0.4
463,-,0.1,0.4
464,-,-,0.1
465,-,-,1
466,-,-,0.3
467,-,-,0.2
468,0.2,-,0.3
469,0.1,-,0.3
470,0.1,0.3,-
471,-,0.1,0.2
472,-,-,0.8
473,0.4,0.1,0.2
474,-,0.1,0.6
475,0.2,0.1,0.6
476,-,-,0.3
477,0.2,0.2,0.4
478,-,-,0.3
479,0.3,-,-
480,-,0.1,0.4
481,-,-,-
482,-,-,0.2
483,-,0.3,0.3
484,0.2,-,0.2
485,-,-,0.1
486,-,-,0.2
487,0.3,-,0.2
488,-,0.2,0.4
489,0.1,0.1,0.1
490,0.3,0.1,0.4
