,TotGs,,SYBGs,PAGs,OOBGs
114,-,-,-,-
115,0.1,-,0.1,-
116,-,-,-,-
117,-,-,-,-
118,-,-,-,-
119,-,-,-,-
120,0.1,-,0.1,-
121,0.1,0.1,-,-
122,0.1,-,0.1,-
123,-,-,-,-
124,0.1,-,0.1,-
125,-,-,-,-
126,0.1,-,0.1,-
127,0.2,-,0.1,0.1
128,-,-,-,-
129,0.3,0.1,0.2,-
130,-,-,-,-
131,0.2,-,0.1,-
132,0.4,-,0.4,-
133,0.1,-,-,0.1
134,-,-,-,-
135,-,-,-,-
136,-,-,-,-
137,-,-,-,-
138,-,-,-,-
139,0.3,-,0.3,-
140,-,-,-,-
141,0.3,0.1,0.2,-
142,-,-,-,-
143,-,-,-,-
144,0.1,-,0.1,-
145,0.3,0.2,0.1,-
146,0.1,-,0.1,-
147,0.2,-,0.1,-
148,0.1,-,-,-
149,0.1,-,-,-
150,-,-,-,-
151,-,-,-,-
152,0.1,-,-,0.1
153,0.4,0.2,0.2,-
154,0.1,-,0.1,-
155,-,-,-,-
156,-,-,-,-
157,-,-,-,-
158,0.3,-,0.3,-
159,-,-,-,-
160,0.3,0.1,0.1,0.1
161,-,-,-,-
162,-,-,-,-
163,-,-,-,-
164,0.1,-,0.1,-
165,-,-,-,-
166,0.3,0.1,0.2,-
167,-,-,-,-
168,0.2,0.1,0.1,-
169,0.1,-,-,0.1
170,-,-,-,-
171,-,-,-,-
172,0.1,-,-,-
173,0.1,-,-,-
174,0.1,-,-,0.1
175,-,-,-,-
176,0.1,-,0.1,-
177,0.3,0.1,0.3,-
178,-,-,-,-
179,-,-,-,-
180,0.2,0.2,-,-
181,-,-,-,-
182,-,-,-,-
183,0.1,-,-,0.1
184,-,-,-,-
185,-,-,-,-
186,-,-,-,-
187,0.1,-,0.1,-
188,0.1,0.1,-,-
189,0.3,-,0.3,-
190,0.1,-,0.1,-
191,-,-,-,-
192,-,-,-,-
193,-,-,-,-
194,0.3,-,0.2,0.1
195,-,-,-,-
196,-,-,-,-
197,-,-,-,-
198,0.1,-,0.1,-
199,0.3,0.1,0.2,0.1
200,-,-,-,-
201,-,-,-,-
202,-,-,-,-
203,0.1,-,0.1,-
204,-,-,-,-
205,-,-,-,-
206,0.2,-,0.2,-
207,-,-,-,-
208,-,-,-,-
209,-,-,-,-
210,0.1,-,0.1,-
211,0.1,-,-,0.1
212,0.2,-,0.2,-
213,-,-,-,-
214,0.1,-,-,-
215,-,-,-,-
216,-,-,-,-
217,0.1,-,0.1,-
218,0.1,-,0.1,-
219,-,-,-,-
220,-,-,-,-
221,-,-,-,-
222,-,-,-,-
223,0.1,-,0.1,-
224,0.1,-,0.1,-
225,0.3,0.1,0.2,-
226,0.1,0.1,-,-
227,0.1,-,0.1,-
228,-,-,-,-
229,-,-,-,-
230,0.2,-,0.1,-
231,-,-,-,-
232,-,-,-,-
233,-,-,-,-
234,0.1,-,0.1,-
235,0.1,-,0.1,-
236,0.2,-,0.2,-
237,0.1,-,0.1,-
238,0.2,0.1,0.1,-
239,0.1,-,0.1,-
240,-,-,-,-
241,-,-,-,-
242,0.2,-,0.2,-
243,-,-,-,-
244,0.1,-,0.1,-
245,-,-,-,-
246,0.1,-,0.1,-
247,0.1,-,0.1,-
248,0.3,0.1,0.2,-
249,0.1,0.1,-,-
250,0.1,-,-,-
251,0.2,0.1,-,0.1
252,0.3,0.1,0.2,-
253,-,-,-,-
254,0.1,-,0.1,-
255,0.1,-,0.1,-
256,-,-,-,-
257,0.1,-,-,-
258,0.2,-,0.1,0.1
259,0.1,-,0.1,-
260,0.1,-,0.1,-
261,-,-,-,-
262,-,-,-,-
263,0.1,-,0.1,-
264,-,-,-,-
265,0.1,-,0.1,-
266,-,-,-,-
267,0.1,-,0.1,-
268,-,-,-,-
269,-,-,-,-
270,-,-,-,-
271,-,-,-,-
272,0.1,-,0.1,-
273,-,-,-,-
274,-,-,-,-
275,-,-,-,-
276,-,-,-,-
277,0.1,-,0.1,-
278,0.1,0.1,-,-
279,-,-,-,-
280,-,-,-,-
281,0.2,-,0.2,-
282,-,-,-,-
283,-,-,-,-
284,-,-,-,-
285,-,-,-,-
286,-,-,-,-
287,-,-,-,-
288,0.1,-,0.1,-
289,-,-,-,-
290,-,-,-,-
291,-,-,-,-
292,0.1,-,0.1,-
293,0.1,-,0.1,-
294,0.3,-,0.3,-
295,-,-,-,-
296,-,-,-,-
297,0.1,-,0.1,-
298,0.1,0.1,-,-
299,0.1,-,0.1,-
300,0.3,0.1,0.1,-
301,-,-,-,-
302,-,-,-,-
303,-,-,-,-
304,-,-,-,-
305,0.1,-,-,-
306,0.1,-,0.1,-
307,-,-,-,-
308,0.1,-,0.1,-
309,0.1,-,0.1,-
310,0.1,-,-,-
311,-,-,-,-
312,-,-,-,-
313,0.2,-,0.1,-
314,-,-,-,-
315,0.1,-,0.1,-
316,-,-,-,-
317,0.1,-,-,-
318,-,-,-,-
319,-,-,-,-
320,0.1,-,0.1,-
321,-,-,-,-
322,-,-,-,-
323,0.1,-,0.1,-
324,-,-,-,-
325,0.1,-,0.1,-
326,0.1,-,0.1,-
