,TotClr
248,0.1
249,3.2
250,1.5
251,1.1
252,1
253,0.8
254,0.6
255,1
256,3.2
257,0.1
258,0.5
259,0.3
260,0.3
261,1.8
262,4
263,1.6
264,2
265,0.4
266,1.4
267,0.4
268,1.6
269,2.1
270,3.5
271,3.9
272,0.9
273,0.7
274,1.4
275,1.5
276,1
277,0.3
278,1.7
279,0.7
280,0.9
281,0.1
282,3.1
283,-
284,1.7
285,0.8
286,1.4
287,1
288,0.2
289,1.4
290,0.3
291,1
292,1.8
293,0.8
294,1.2
295,0.4
296,4
297,2.9
298,2.3
299,0.5
300,0.1
301,1.8
302,0.8
303,0.4
304,1.1
305,0.5
306,0.8
307,0.2
308,0.4
309,0.2
310,1.7
311,1.1
312,0.5
313,0.4
314,0.8
315,0.9
316,0.9
317,0.1
318,1.4
319,3
320,0.6
321,0.6
322,0.8
323,0.6
324,3.5
325,0.4
326,0.4
327,0.8
328,1.9
329,2.2
330,0.3
331,1
332,1
333,1.2
334,1.3
335,0.7
336,1
337,0.2
338,3.1
339,0.6
340,1.3
341,3.6
342,2.7
343,0.8
344,-
345,0.5
346,1.1
347,1.1
348,0.7
349,1.2
350,0.6
351,0.8
352,0.2
353,0.9
354,0.9
355,3.3
356,0.4
357,0.8
358,0.9
359,0.3
360,0.2
361,1.7
362,0.8
363,0.6
364,0.8
365,0.4
366,0.2
367,1.9
368,0.9
369,0.2
370,3.6
371,0.6
372,0.5
373,0.3
374,0.9
375,0.3
376,0.4
377,0.5
378,2.9
379,1.9
380,2
381,1.2
382,1.6
383,0.3
384,1.6
385,2.9
386,1.4
387,0.3
388,1.1
389,1.4
390,2.9
391,1
392,1.9
393,0.5
394,1.3
395,1
396,0.3
397,7
398,1.1
399,1.2
400,1.1
401,1.7
402,1.2
403,0.1
404,0.2
405,0.3
406,1.1
407,-
408,3
409,0.9
410,1
411,1.2
412,0.3
413,-
414,0.2
415,4.3
416,0.3
417,0.1
418,0.3
419,0.7
420,0.8
421,0.5
422,0.7
423,0.3
424,2.3
425,-
426,0.3
427,0.3
428,0.3
429,0.1
430,0.3
431,0.9
432,1.1
433,2.6
434,1.2
435,-
436,0.3
437,0.4
438,0.2
439,1.2
440,-
441,0.1
442,1.4
443,0.7
444,1.9
445,0.9
446,0.4
447,0.2
448,1.6
449,0.4
450,1.5
451,0.4
452,0.2
453,0.7
454,1.4
455,0.4
456,1.2
457,1.5
458,0.3
459,0.5
460,0.5
461,0.3
462,-
463,0.3
464,0.1
465,1
466,0.1
467,0.5
468,0.9
469,0.1
470,1.1
471,-
472,0.6
473,1.8
474,0.6
475,0.6
476,0.4
477,1.9
478,0.6
479,2.1
480,1
481,-
482,0.3
483,1.3
484,0.3
485,0.1
486,-
487,0.8
488,0.2
489,0.5
490,1.2
491,0.8
492,1
493,0.8
494,0.1
495,1.4
496,0.2
497,0.2
498,1.4
499,-
500,0.8
501,0.3
502,0.2
503,0.3
504,0.5
505,0.1
506,0.2
507,0.1
508,0.1
509,-
510,-
511,0.2
512,0.4
513,-
514,-
515,0.9
516,0.2
517,-
518,-
519,-
520,-
521,0.2
522,0.5
523,1
524,1
525,0.3
526,0.1
527,0.6
528,0.7
529,2
530,2.1
531,0.1
532,0.5
533,0.5
534,0.6
535,0.3
536,-
537,1.2
538,0.3
539,4.3
540,0.1
541,1
542,1.4
543,0.2
544,0.1
545,0.4
546,-
547,0.6
548,0.5
549,0.3
550,0.1
551,-
552,-
553,0.7
554,0.5
555,0.2
556,-
557,0.1
558,0.5
559,0.1
560,0.2
561,0.1
562,-
563,2
564,0.3
565,-
566,-
567,-
568,1
569,1.3
570,0.5
571,1
572,-
573,0.7
574,-
575,1
576,-
577,-
578,0.4
579,-
580,1
581,-
582,-
583,-
584,0.3
585,0.5
586,-
587,0.5
588,0.2
589,0.3
590,0.5
591,0.4
592,0.3
593,-
594,0.1
595,-
596,-
597,-
598,-
599,-
600,-
601,-
602,-
603,-
604,-
605,-
606,-
607,0.3
608,-
609,1.6
610,-
611,-
612,-
613,-
614,-
615,-
616,-
617,0.2
618,-
619,-
620,-
621,0.5
622,-
623,0.5
624,-
