,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
347,Martin Erlic,4(3),303,-,-,-,-,0.9,91.1,1.4,-,6.42
348,Gabriel Charpentier,0(10),266,1,2,1,-,0.9,60.8,1,-,6.42
349,Lorenzo Montipò,33,2970,-,-,-,-,-,44.7,0.3,1,6.41
350,Michel Adopo,23(8),2079,-,1,2,1,0.6,84.3,0.8,1,6.41
351,Odilon Kossounou,8(6),810,-,-,1,-,0.4,88,1.2,-,6.41
352,Mattia Felici,9(9),875,-,3,1,-,0.6,74.2,0.4,-,6.41
353,Samuele Birindelli,14(3),1114,2,-,2,-,0.7,80.6,0.3,-,6.41
354,Junior Messias,5(9),636,1,1,1,-,1.1,70.4,0.9,-,6.41
355,Luca Caldirola,8(3),745,-,-,4,-,0.3,89.4,1.3,-,6.41
356,Manuel Lazzari,16(8),1385,-,1,3,-,0.3,86.8,0.3,-,6.41
357,Ylber Ramadani,21(7),1698,-,1,4,-,0.6,83.8,0.5,-,6.41
358,Reda Belahyane,17(5),1657,-,2,4,1,0.3,84.2,0.2,-,6.40
359,Douglas Luiz,3(13),485,-,-,2,-,0.4,90.8,0.3,-,6.40
360,Luka Jovic,3(8),347,2,-,1,-,0.8,86.4,0.5,1,6.40
361,Jackson Tchatchoua,32,2809,2,2,5,1,0.4,79.9,0.9,1,6.40
362,Suat Serdar,13(5),1071,1,1,2,1,1.4,77.3,0.8,-,6.40
363,Christian Kouamé,5(13),614,-,1,1,-,0.6,70.5,1.6,-,6.40
364,Pepe Reina,10,900,-,-,-,-,-,72.5,0.1,-,6.40
365,Alfred Duncan,12(4),959,-,-,2,-,0.9,83,0.6,-,6.40
366,Fisayo Dele-Bashiru,11(8),894,3,1,-,-,0.8,89.3,0.2,-,6.40
367,Sebastian Walukiewicz,19(8),1602,-,-,6,-,0.2,83.5,0.8,-,6.39
368,Mandela Keita,20(6),1555,-,2,4,1,0.2,90.8,0.5,-,6.39
369,Tasos Douvikas,3(6),369,2,-,1,-,1,77.3,0.7,-,6.39
370,Gaby Jean,16(3),1389,-,-,-,-,0.1,84.5,2.2,-,6.39
371,Razvan Marin,12(17),1267,3,2,4,-,0.7,81.4,0.3,-,6.39
372,Amin Sarr,21(7),1628,4,1,1,-,0.7,70.9,1.9,-,6.38
373,Gianluca Gaetano,8(17),934,2,4,-,-,1.2,74.2,0.4,1,6.38
374,Yannik Engelhardt,11(12),1080,1,1,4,-,0.3,88.4,0.4,1,6.38
375,Medon Berisha,6(8),605,-,1,5,-,1.6,82.4,0.4,-,6.38
376,Fabiano Parisi,9(14),931,1,-,2,-,0.3,79.9,0.5,-,6.38
377,Niccolò Pisilli,11(14),1160,2,1,6,-,1,85.3,0.1,-,6.38
378,Edoardo Goldaniga,25(4),2261,1,-,9,1,0.4,87.2,1.6,-,6.38
