,TotPs,AccLB,InAccLB,AccSP,InAccSP
248,17.1,0.7,0.2,14.1,2
249,28.8,1.2,2.2,22.5,3
250,26.3,1.1,0.9,19.6,4.8
251,19.1,0.4,1,13.5,4.2
252,7.4,-,0.1,6,1.3
253,31.6,5.9,7.3,18.3,0.1
254,11.2,0.4,0.6,8.8,1.4
255,11.1,0.3,0.5,7.6,2.7
256,36.5,2,2.2,29.4,2.8
257,20.1,1.5,0.4,15.5,2.8
258,17.1,0.8,0.4,11.9,4
259,19.7,0.8,1.1,15,2.8
260,23.3,0.5,0.4,18.5,3.9
261,15.6,0.7,1,11.3,2.7
262,41.8,1.7,2.1,34,4
263,15.1,0.4,0.8,10.6,3.3
264,21.9,1.3,3.3,14.7,2.6
265,23.6,1.6,1,17.1,4
266,20.7,0.9,1.1,15.4,3.3
267,18.5,0.7,0.7,15.2,1.9
268,48.6,1.9,1,42.4,3.4
269,42.5,2.2,2.8,33.4,4.2
270,30,4,2,20.5,3.5
271,37.7,2.3,1.8,31.2,2.4
272,23.5,0.7,0.6,19.1,3.2
273,18.9,0.5,0.1,16.4,1.9
274,31.9,3.6,9.4,18.5,0.4
275,27.9,1.1,1.6,22.1,3.1
276,17.7,0.2,0.3,11.8,5.4
277,13.7,0.6,0.3,10.8,2
278,30.1,0.6,1.1,25.7,2.6
279,19.7,0.4,0.9,16.6,1.8
280,26.6,0.8,0.7,21.3,3.8
281,11.6,0.4,0.1,8.8,2.3
282,36.2,1.9,2.3,27.5,4.5
283,24.3,-,0.8,21.5,2
284,21,0.7,1,15.8,3.5
285,29.7,5.2,8,16.3,0.2
286,37.8,1.7,1,32.2,2.9
287,27.3,0.8,1,21.3,4.1
288,14.2,0.7,0.8,9.3,3.5
289,29.4,2.6,2.1,20.4,4.3
290,15.2,1,0.5,9.9,3.8
291,64.5,4.5,3,51,6
292,23.2,1.5,1.2,16.8,3.7
293,20.6,0.7,1.2,16.3,2.4
294,11.6,0.4,0.4,7.8,3
295,15.5,1.3,0.8,10.8,2.7
296,55.2,1.6,4,44.8,4.8
297,36.7,0.8,1.6,31.9,2.4
298,30.9,1.9,2.1,24.9,2.1
299,7.8,0.1,0.1,5.4,2.2
300,8.3,0.1,0.1,6.1,2.1
301,26.9,1.7,3.5,17.4,4.4
302,30.5,2.2,1.7,23.6,2.9
303,28.7,1.8,0.7,23.8,2.4
304,13.1,0.3,0.8,9.2,2.9
305,20.1,0.5,0.4,15.9,3.3
306,11.3,0.2,0.3,7.9,2.8
307,18.6,0.7,0.4,14.2,3.3
308,25.2,0.8,0.3,22.4,1.7
309,11.4,0.3,0.1,8.4,2.6
310,22.7,1.3,1.9,15.8,3.8
311,27.6,0.4,0.3,24.9,2
312,15.9,0.6,0.7,11.5,3.2
313,11.8,0.2,0.2,9.7,1.6
314,36.3,6,8.6,21.4,0.3
