,TotSh,OOBSh,SYBSh,PASh
305,0.7,0.3,0.1,0.3
306,1,0.1,-,0.8
307,1.5,0.8,-,0.7
308,0.7,0.3,-,0.3
309,1.1,0.2,0.2,0.7
310,0.8,0.3,0.1,0.5
311,0.3,-,-,0.3
312,0.5,0.2,-,0.3
313,1,0.1,0.2,0.7
314,-,-,-,-
315,0.9,0.6,-,0.3
316,-,-,-,-
317,1.2,0.6,0.1,0.6
318,0.4,-,-,0.4
319,-,-,-,-
320,0.8,0.2,0.1,0.5
321,0.3,0.3,-,-
322,1.3,0.6,0.1,0.6
323,0.6,0.1,-,0.4
324,0.3,0.1,0.1,0.1
325,1.5,0.4,-,1.1
326,1.6,0.5,0.1,0.9
327,1.4,0.2,0.1,1.1
328,0.6,-,0.2,0.4
329,0.3,0.1,0.1,0.2
330,1.7,0.3,0.4,1.1
331,0.9,0.3,0.1,0.5
332,-,-,-,-
333,-,-,-,-
334,1,0.3,0.1,0.6
335,1.7,0.7,-,1
336,0.3,0.2,-,0.1
337,1.2,0.4,-,0.8
338,0.2,-,0.1,0.1
339,0.3,0.3,-,-
340,0.6,0.5,-,0.1
341,0.1,-,-,0.1
342,0.2,0.1,-,0.1
343,-,-,-,-
344,1.1,0.1,0.3,0.7
345,0.6,0.4,0.1,0.2
346,0.5,0.3,-,0.2
347,0.9,0.1,-,0.7
348,0.9,0.3,0.1,0.5
349,-,-,-,-
350,0.6,0.2,0.1,0.3
351,0.4,0.1,0.1,0.2
352,0.6,0.1,0.1,0.4
353,0.7,0.1,-,0.6
354,1.1,0.5,-,0.6
355,0.3,0.1,-,0.2
356,0.3,0.2,-,-
357,0.6,0.4,-,0.1
358,0.3,0.2,-,-
359,0.4,0.2,-,0.3
360,0.8,0.1,0.1,0.6
361,0.4,0.1,-,0.3
362,1.4,0.8,0.1,0.6
363,0.6,0.1,0.1,0.4
364,-,-,-,-
365,0.9,0.8,-,0.2
366,0.8,0.4,-,0.4
367,0.2,0.1,-,0.1
368,0.2,0.2,-,-
369,1,0.1,0.2,0.7
370,0.1,-,-,0.1
371,0.7,0.5,-,0.2
372,0.7,0.2,0.1,0.5
373,1.2,0.4,0.1,0.6
374,0.3,0.1,0.1,0.2
375,1.6,1.4,-,0.2
376,0.3,0.1,-,0.2
377,1,0.4,-,0.6
378,0.4,-,0.2,0.2
379,0.3,0.2,-,0.1
380,0.4,0.1,-,0.3
381,0.3,0.2,0.1,0.1
382,0.4,0.1,0.2,0.2
383,0.1,-,-,0.1
384,0.2,0.1,-,0.1
385,0.3,0.1,-,0.2
386,0.7,0.3,-,0.4
387,0.7,0.3,-,0.5
388,0.6,0.4,-,0.2
389,0.8,0.6,-,0.2
390,0.2,0.1,-,0.1
391,0.1,0.1,-,-
392,0.4,0.1,-,0.3
393,1,0.4,-,0.5
394,0.6,0.4,-,0.2
395,0.8,0.6,-,0.1
396,0.8,0.4,-,0.4
397,-,-,-,-
398,0.3,0.1,-,0.1
399,0.6,0.3,0.1,0.2
400,0.6,0.3,0.1,0.2
401,0.1,-,-,0.1
402,0.2,-,-,0.2
403,0.8,0.2,-,0.6
404,0.7,0.1,0.2,0.4
405,-,-,-,-
406,0.2,0.1,-,0.1
407,2,1,-,1
408,0.3,-,0.1,0.1
409,0.6,0.2,-,0.5
410,0.5,0.3,0.3,-
411,0.5,0.5,-,-
412,0.5,0.1,-,0.3
413,0.8,0.2,0.1,0.5
414,0.5,0.1,0.1,0.3
415,0.6,0.1,0.3,0.3
416,0.9,0.3,-,0.6
417,1.2,0.2,-,1
418,0.7,0.3,-,0.4
419,-,-,-,-
420,0.3,0.1,-,0.2
421,-,-,-,-
422,0.7,-,0.3,0.3
423,0.7,0.6,-,0.1
424,-,-,-,-
425,-,-,-,-
426,0.5,0.3,-,0.3
427,0.4,0.3,-,0.1
428,0.9,0.6,0.1,0.2
429,0.6,0.1,-,0.4
430,0.3,0.3,-,-
431,-,-,-,-
432,0.3,-,-,0.3
433,0.2,-,-,0.1
434,0.7,0.3,-,0.3
435,-,-,-,-
436,0.5,0.3,-,0.3
437,0.6,0.4,-,0.3
438,0.7,0.6,-,0.1
439,0.3,-,0.3,0.1
440,1,0.5,-,0.5
441,0.8,0.3,-,0.5
442,0.2,-,-,0.2
443,0.2,0.2,-,-
444,0.2,-,0.1,0.1
445,-,-,-,-
446,0.1,0.1,-,-
447,0.7,-,-,0.7
448,0.6,0.2,-,0.4
449,1,-,0.1,0.9
450,0.3,0.1,-,0.2
451,1.1,0.2,0.2,0.6
452,0.6,0.1,0.1,0.4
453,0.7,0.2,-,0.4
454,0.2,0.1,-,0.1
455,0.5,-,0.1,0.4
456,-,-,-,-
457,0.2,0.2,-,-
458,1.1,0.3,0.2,0.7
459,0.4,0.3,-,0.2
460,-,-,-,-
461,0.7,0.4,-,0.3
462,1.3,0.4,-,0.9
463,1.1,0.5,0.1,0.5
464,0.7,0.1,0.2,0.4
465,1,-,1,-
466,0.8,0.3,-,0.5
467,0.8,0.2,0.1,0.5
468,0.3,0.3,-,-
469,0.6,0.3,0.1,0.3
470,0.1,0.1,-,-
471,0.6,0.1,-,0.6
472,0.4,-,-,0.4
473,0.5,0.1,0.1,0.3
474,0.3,0.1,0.1,0.1
475,0.7,0.3,0.1,0.4
476,-,-,-,-
477,0.3,0.1,0.1,0.1
478,0.1,-,-,0.1
479,0.3,-,-,0.3
480,0.1,0.1,-,-
481,0.3,0.3,-,-
482,0.8,0.4,-,0.4
483,-,-,-,-
484,0.2,0.2,-,-
485,0.8,0.3,0.1,0.4
486,0.5,0.2,-,0.3
487,-,-,-,-
488,-,-,-,-
489,0.1,0.1,-,-
490,0.1,-,0.1,-
491,0.3,-,-,0.3
492,0.2,-,-,0.2
493,0.5,-,-,0.5
494,1,0.6,-,0.4
495,0.4,0.1,-,0.2
496,-,-,-,-
497,0.5,0.1,-,0.4
498,-,-,-,-
499,1,1,-,-
500,0.2,-,-,0.2
501,-,-,-,-
502,0.5,0.3,-,0.2
503,0.7,0.3,0.1,0.3
504,-,-,-,-
505,0.5,0.2,-,0.3
506,0.4,0.1,0.1,0.2
507,0.7,-,0.1,0.6
508,1.3,0.2,0.1,1
509,-,-,-,-
510,-,-,-,-
511,0.9,0.5,0.1,0.3
512,0.2,-,-,0.2
513,-,-,-,-
514,-,-,-,-
515,0.3,0.1,-,0.2
516,0.5,0.1,-,0.3
517,1,-,-,1
518,-,-,-,-
519,-,-,-,-
520,0.4,-,0.2,0.2
521,-,-,-,-
522,-,-,-,-
523,0.6,0.4,-,0.3
524,-,-,-,-
525,0.9,0.4,-,0.4
526,0.3,0.3,-,-
527,0.2,0.1,-,0.1
528,0.3,0.3,-,-
529,0.7,0.7,-,-
530,0.1,0.1,-,-
531,0.3,0.1,-,0.1
532,0.3,0.3,-,-
533,0.2,-,-,0.2
534,0.2,0.2,-,-
535,0.6,0.1,-,0.4
536,0.3,-,-,0.3
537,0.2,0.2,-,-
538,-,-,-,-
539,-,-,-,-
540,0.2,0.2,-,-
541,0.8,0.2,-,0.7
542,0.9,0.1,-,0.7
543,0.9,0.2,-,0.6
544,0.4,0.1,0.1,0.1
545,-,-,-,-
546,0.5,0.2,-,0.3
547,0.2,-,-,0.2
548,1,0.3,-,0.6
549,0.5,0.1,0.1,0.3
550,0.2,0.1,-,0.1
551,1,1,-,-
552,0.4,0.4,-,-
553,0.3,0.3,-,-
554,-,-,-,-
555,0.5,0.1,-,0.4
556,0.5,-,-,0.5
557,0.3,0.2,-,0.1
558,0.1,-,-,0.1
559,0.3,0.1,-,0.1
560,0.5,-,0.1,0.4
561,0.1,-,-,0.1
562,-,-,-,-
563,0.3,0.3,-,-
564,0.3,0.3,-,-
565,-,-,-,-
566,0.2,0.1,-,0.1
567,0.5,0.3,-,0.2
568,0.4,0.1,-,0.3
569,0.3,0.3,-,-
570,0.5,0.3,-,0.3
571,-,-,-,-
572,0.5,0.3,-,0.2
573,0.6,-,0.1,0.4
574,-,-,-,-
575,-,-,-,-
576,-,-,-,-
577,-,-,-,-
578,0.4,-,-,0.4
579,-,-,-,-
580,-,-,-,-
581,-,-,-,-
582,-,-,-,-
583,-,-,-,-
584,0.2,-,-,0.2
585,0.8,0.1,0.1,0.5
586,0.5,0.5,-,-
587,0.1,-,-,0.1
588,0.3,0.3,-,-
589,-,-,-,-
590,-,-,-,-
591,-,-,-,-
592,0.3,0.3,-,-
593,0.2,-,-,0.2
594,0.4,0.1,-,0.3
595,-,-,-,-
596,-,-,-,-
597,-,-,-,-
598,0.8,0.4,-,0.4
599,-,-,-,-
600,-,-,-,-
601,-,-,-,-
602,-,-,-,-
603,-,-,-,-
604,0.1,-,0.1,-
605,-,-,-,-
606,-,-,-,-
607,0.3,0.2,-,0.2
608,-,-,-,-
609,0.1,-,-,0.1
610,-,-,-,-
611,-,-,-,-
612,-,-,-,-
613,-,-,-,-
614,-,-,-,-
615,-,-,-,-
616,2,2,-,-
617,0.8,-,0.2,0.6
618,-,-,-,-
619,0.5,-,-,0.5
620,0.3,-,-,0.3
621,1,-,-,1
622,-,-,-,-
623,0.3,0.1,-,0.1
624,-,-,-,-
