,Name,Club,Age,Height,National,Positions
539,Arvid Brorsson,Monza,25 years old (08-05-1999),188cm,Sweden,Defender (Centre)
540,Simone Verdi,Sassuolo,32 years old (12-07-1992),171cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward"
541,Kevin Zeroli,Monza,20 years old (11-01-2005),176cm,Italy,Midfielder
542,Mirko Maric,Venezia,29 years old (16-05-1995),188cm,Croatia,Forward
543,Yann Karamoh,Torino,26 years old (08-07-1998),185cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
544,Alessandro Gabrielloni,Como,30 years old (10-07-1994),178cm,Italy,Forward
545,Bjarki Bjarkason,Venezia,24 years old (11-05-2000),180cm,Iceland,Midfielder
546,Alexis Sánchez,Udinese,36 years old (19-12-1988),169cm,Chile,"Midfielder (Centre, Left, Right), Forward"
547,Mathias Løvik,Parma Calcio 1913,21 years old (06-12-2003),183cm,,Defender
548,Loum Tchaouna,Lazio,21 years old (08-09-2003),180cm,France,"Attacking Midfielder (Centre, Right), Forward"
549,Christian Gytkjær,Venezia,34 years old (06-05-1990),185cm,Denmark,Forward
550,Gaetano Castrovilli,Monza,28 years old (17-02-1997),176cm,Italy,"Midfielder (Centre, Left)"
551,Alberto Manzoni,Atalanta,19 years old (25-06-2005),178cm,Italy,Midfielder
552,Omari Forson,Monza,20 years old (20-07-2004),179cm,England,Forward
553,Faride Alidou,Kaiserslautern,23 years old (18-07-2001),186cm,Germany,"Attacking Midfielder (Left, Right)"
554,Roberto Gagliardini,Monza,31 years old (07-04-1994),190cm,Italy,Defensive Midfielder (C)
555,Giovanni Simeone,Napoli,29 years old (05-07-1995),180cm,Argentina,"Attacking Midfielder (Right), Forward"
556,Wylan Cyprien,Parma Calcio 1913,30 years old (28-01-1995),180cm,France,Midfielder (Centre)
557,Emmanuel Ekong,Malmoe FF,22 years old (25-06-2002),176cm,Sweden,Forward
558,Domen Crnigoj,Venezia,29 years old (18-11-1995),188cm,Slovenia,"Attacking Midfielder (Centre, Right)"
559,Simone Pafundi,Udinese,19 years old (14-03-2006),166cm,Italy,Midfielder
560,Dailon Livramento,Verona,23 years old (04-05-2001),185cm,,Forward
561,Mirko Maric,Venezia,29 years old (16-05-1995),188cm,Croatia,Forward
562,Tomás Palacios,Monza,22 years old (28-04-2003),196cm,Argentina,Defender (Centre)
563,Yordan Osorio,Parma Calcio 1913,30 years old (10-05-1994),189cm,Venezuela,Defender (Centre)
564,Ben Kone,Frosinone,25 years old (14-03-2000),172cm,Ivory Coast,Midfielder
565,Sergiu Perciun,Torino,19 years old (23-04-2006),175cm,Moldova,Midfielder
566,Ismael Konaté,Empoli,19 years old (29-03-2006),183cm,Italy,Forward
567,Nicola Sansone,Lecce,33 years old (10-09-1991),175cm,Italy,"Attacking Midfielder (Left, Right), Forward"
568,Adrian Benedyczak,Parma Calcio 1913,24 years old (24-11-2000),191cm,Poland,Forward
569,Richie Sagrado,Venezia,21 years old (30-01-2004),182cm,,"Defender (Right), Midfielder (Right)"
570,Lorenzo Venturino,Genoa,18 years old (22-06-2006),169cm,,Forward
571,Oliver Provstgaard,Lazio,21 years old (04-06-2003),194cm,Denmark,Defender
572,Viktor Kovalenko,Empoli,29 years old (14-02-1996),182cm,Ukraine,Midfielder (Centre)
573,Silvere Ganvoula,Monza,28 years old (29-06-1996),191cm,Congo,Forward
574,Ali Jasim,Almere City FC,21 years old (20-01-2004),178cm,,Midfielder
575,Alessandro Marcandalli,Venezia,22 years old (25-10-2002),195cm,,Defender (Centre)
576,Samuel Dahl,Benfica,22 years old (04-03-2003),174cm,Sweden,Defender
577,Alessandro Bianco,Monza,22 years old (01-10-2002),173cm,Italy,Midfielder (Centre)
578,Szymon Zurkowski,Empoli,27 years old (25-09-1997),185cm,Poland,Attacking Midfielder (Centre)
579,Francesco Caputo,Empoli,37 years old (06-08-1987),181cm,Italy,Forward
580,Marco Sala,Lecce,25 years old (04-06-1999),182cm,Italy,Defender
581,Ben Godfrey,Ipswich,27 years old (15-01-1998),184cm,England,"Defender (Centre, Left, Right)"
582,Filip Marchwinski,Lecce,23 years old (10-01-2002),187cm,Poland,Midfielder
583,Oliver Abildgaard,Pisa,28 years old (10-06-1996),192cm,Denmark,Defensive Midfielder (C)
584,Samuele Vignato,Monza,21 years old (24-02-2004),172cm,Italy,Attacking Midfielder (Centre)
585,Daniel Fila,Venezia,22 years old (21-08-2002),,Czech Republic,Forward
586,Nicholas Pierini,Sassuolo,26 years old (06-08-1998),176cm,Italy,Forward
587,Ali Dembélé,Torino,21 years old (05-01-2004),185cm,France,Defender
588,Mario Balotelli,Genoa,34 years old (12-08-1990),189cm,Italy,Forward
589,David Ankeye,Genoa,22 years old (22-05-2002),191cm,,Forward
590,Emil Audero,Palermo,28 years old (18-01-1997),190cm,Italy,Goalkeeper
591,Mattia Valoti,Cremonese,31 years old (06-09-1993),187cm,Italy,"Attacking Midfielder (Centre, Left)"
592,Davide Bartesaghi,AC Milan,19 years old (29-12-2005),193cm,Italy,Defender
593,Michael Folorunsho,Fiorentina,27 years old (07-02-1998),190cm,Italy,"Midfielder (Centre, Right)"
594,Andrea Petagna,Monza,29 years old (30-06-1995),190cm,Italy,Forward
595,Junior Ajayi,Verona,20 years old (11-10-2004),183cm,Ivory Coast,Forward
596,Aaron Ciammaglichella,Torino,20 years old (26-01-2005),180cm,Italy,Midfielder
597,Alessio Zerbin,Venezia,26 years old (03-03-1999),182cm,Italy,"Midfielder (Left, Right)"
598,Kingstone Mutandwa,Cagliari,22 years old (05-01-2003),180cm,Zambia,Forward
599,Lorenzo Tosto,Empoli,19 years old (29-01-2006),188cm,,Defender
600,Nikita Contini,Napoli,28 years old (21-05-1996),190cm,Italy,Goalkeeper
601,Nunzio Lella,Bari,24 years old (28-07-2000),186cm,Italy,Midfielder
602,Tammy Abraham,AC Milan,27 years old (02-10-1997),190cm,England,Forward
603,Yllan Okou,Verona,22 years old (23-12-2002),189cm,France,Defender
604,Antonio Raimondo,Salernitana,21 years old (18-03-2004),185cm,Italy,Forward
605,Bob Omoregbe,AC Milan,21 years old (05-11-2003),185cm,,Forward
606,Petar Stojanovic,Salernitana,29 years old (07-10-1995),178cm,Slovenia,"Defender (Right), Midfielder (Right)"
607,Stefan Lekovic,Monza,21 years old (09-01-2004),192cm,Serbia,Defender
608,Walid Cheddira,Espanyol,27 years old (22-01-1998),187cm,Morocco,Forward
609,Mario Hermoso,Bayer Leverkusen,29 years old (18-06-1995),184cm,Spain,"Defender (Centre, Left)"
610,Diego Pugno,Juventus,18 years old (07-07-2006),174cm,,Forward
611,Damián Pizarro,Udinese,20 years old (28-03-2005),187cm,Chile,Forward
612,Saad El Haddad,Venezia,19 years old (24-07-2005),175cm,Morocco,Midfielder
613,Federico Accornero,Genoa,21 years old (05-02-2004),175cm,,Midfielder
614,Sebastian Otoa,Genoa,20 years old (13-05-2004),188cm,,Defender
615,Maat Caprini,Fiorentina,19 years old (11-02-2006),180cm,,Forward
616,Arijon Ibrahimovic,Lazio,19 years old (11-12-2005),176cm,Germany,Attacking Midfielder (Left)
617,Alberto Cerri,Salernitana,29 years old (16-04-1996),194cm,Italy,Forward
618,Saba Sazonov,Torino,23 years old (01-02-2002),192cm,Russia,Defender (Centre)
619,Thomas Campaniello,Empoli,17 years old (29-02-2008),180cm,Italy,Forward
620,Rares Burnete,Lecce,21 years old (31-01-2004),185cm,Romania,Forward
621,Valentin Gendrey,Hoffenheim,24 years old (21-06-2000),179cm,France,"Defender (Right), Midfielder (Right)"
622,Jacopo Seghetti,Empoli,20 years old (17-02-2005),189cm,Italy,Goalkeeper
623,Matthias Braunöder,Como,23 years old (27-03-2002),173cm,Austria,Midfielder
624,Dele Alli,Como,29 years old (11-04-1996),188cm,England,"Midfielder (Centre, Left), Forward"
