,Name,Club,Age,Height,National,Positions
169,Andrea Cambiaso,Juventus,25 years old (20-02-2000),182cm,Italy,"Defender (Left, Right), Midfielder (Left, Right)"
170,Michele Di Gregorio,Juventus,27 years old (27-07-1997),187cm,Italy,Goalkeeper
171,Cristiano Biraghi,Torino,32 years old (01-09-1992),185cm,Italy,"Defender (Centre, Left), Midfielder (Left)"
172,Emanuele Valeri,Parma Calcio 1913,26 years old (07-12-1998),180cm,Italy,"Defender (Left), Midfielder (Left)"
173,Weston McKennie,Juventus,26 years old (28-08-1998),183cm,USA,"Defender (Centre, Right), Midfielder (Centre, Left, Right)"
174,Danilo Cataldi,Fiorentina,30 years old (06-08-1994),180cm,Italy,Midfielder (Centre)
175,Malick Thiaw,AC Milan,23 years old (08-08-2001),191cm,Germany,Defender (Centre)
176,Georgios Kyriakopoulos,Monza,29 years old (05-02-1996),178cm,Greece,"Defender (Left), Midfielder (Left)"
177,Lorenzo Lucca,Udinese,24 years old (10-09-2000),201cm,Italy,Forward
178,Youssouf Fofana,AC Milan,26 years old (10-01-1999),185cm,France,Defensive Midfielder (C)
179,Juan Cuadrado,Atalanta,36 years old (26-05-1988),179cm,Colombia,"Defender (Right), Midfielder (Centre, Left, Right), Forward"
180,Samuel Gigot,Lazio,31 years old (12-10-1993),187cm,France,Defender (Centre)
181,Nikola Moro,Bologna,27 years old (12-03-1998),183cm,Croatia,Midfielder (Centre)
182,Giorgio Altare,Sampdoria,26 years old (09-08-1998),190cm,Italy,Defender (Centre)
183,Tino Anjorin,Empoli,23 years old (23-11-2001),185cm,England,Attacking Midfielder (Centre)
184,Pierre Kalulu,Juventus,24 years old (05-06-2000),179cm,France,"Defender (Centre, Right)"
185,Álex Valle,Como,21 years old (25-04-2004),178cm,Spain,Defender (Left)
186,Razvan Sava,Udinese,22 years old (21-06-2002),195cm,Romania,Goalkeeper
187,Yann Bisseck,Inter,24 years old (29-11-2000),196cm,Germany,Defender (Centre)
188,Lautaro Valenti,Parma Calcio 1913,26 years old (14-01-1999),188cm,Argentina,Defender (Centre)
189,Joel Pohjanpalo,Palermo,30 years old (13-09-1994),186cm,Finland,Forward
190,Benjamín Domínguez,Bologna,21 years old (19-09-2003),172cm,Argentina,Attacking Midfielder (Left)
191,Victor Nelsson,Roma,26 years old (14-10-1998),185cm,Denmark,Defender (Centre)
192,Juan Jesus,Napoli,33 years old (10-06-1991),185cm,Brazil,"Defender (Centre, Left)"
193,Stefano Turati,Monza,23 years old (05-09-2001),188cm,Italy,Goalkeeper
194,Albert Gudmundsson,Fiorentina,27 years old (15-06-1997),177cm,Iceland,"Attacking Midfielder (Centre, Left, Right), Forward"
195,Enzo Le Fée,Sunderland,25 years old (03-02-2000),170cm,France,"Midfielder (Centre, Left, Right)"
196,Davide Calabria,Bologna,28 years old (06-12-1996),177cm,Italy,"Defender (Left, Right), Midfielder (Right)"
197,Fikayo Tomori,AC Milan,27 years old (19-12-1997),185cm,England,"Defender (Centre, Right)"
198,Christian Kabasele,Udinese,34 years old (24-02-1991),187cm,Belgium,Defender (Centre)
199,Ché Adams,Torino,28 years old (13-07-1996),175cm,Scotland,"Attacking Midfielder (Centre, Left), Forward"
200,Ruslan Malinovskyi,Genoa,31 years old (04-05-1993),181cm,Ukraine,"Midfielder (Centre, Left, Right), Forward"
201,Jhon Lucumí,Bologna,26 years old (26-06-1998),187cm,Colombia,Defender (Centre)
202,Alexis Saelemaekers,Roma,25 years old (27-06-1999),180cm,Belgium,"Midfielder (Left, Right)"
203,Nicolò Cambiaghi,Bologna,24 years old (28-12-2000),173cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward"
204,Ismaël Bennacer,Marseille,27 years old (01-12-1997),175cm,Algeria,Midfielder (Centre)
205,Mattia Bani,Genoa,31 years old (10-12-1993),188cm,Italy,Defender (Centre)
206,Ange-Yoan Bonny,Parma Calcio 1913,21 years old (25-10-2003),189cm,France,Forward
207,Daniele Ghilardi,Verona,22 years old (06-01-2003),189cm,Italy,Defender (Centre)
208,Armando Izzo,Monza,33 years old (02-03-1992),183cm,Italy,Defender (Centre)
209,Ivan Smolcic,Como,24 years old (17-08-2000),181cm,Croatia,Defender (Right)
210,Federico Baschirotto,Lecce,28 years old (20-09-1996),184cm,Italy,Defender (Centre)
211,Hans Nicolussi Caviglia,Venezia,24 years old (18-06-2000),180cm,Italy,Midfielder (Centre)
212,Andrea Pinamonti,Genoa,25 years old (19-05-1999),188cm,Italy,Forward
213,Zeki Çelik,Roma,28 years old (17-02-1997),180cm,Turkey,"Defender (Centre, Right), Midfielder (Right)"
214,Manu Koné,Roma,23 years old (17-05-2001),185cm,France,Defensive Midfielder (C)
215,Giuseppe Pezzella,Empoli,27 years old (29-11-1997),185cm,Italy,"Defender (Left), Midfielder (Left)"
216,Alberto Dossena,Como,26 years old (13-10-1998),195cm,Italy,Defender (Centre)
217,Lewis Ferguson,Bologna,25 years old (24-08-1999),181cm,Scotland,Midfielder (Centre)
218,Stephan El Shaarawy,Roma,32 years old (27-10-1992),178cm,Italy,"Midfielder (Centre, Left, Right), Forward"
219,Patrizio Masini,Genoa,24 years old (27-01-2001),182cm,Italy,Defensive Midfielder (C)
220,Hassane Kamara,Udinese,31 years old (05-03-1994),168cm,Ivory Coast,"Defender (Left), Midfielder (Left, Right)"
221,Jay Idzes,Venezia,24 years old (02-06-2000),184cm,Netherlands,"Defender (Centre), Defensive Midfielder (C)"
222,Milan Badelj,Genoa,36 years old (25-02-1989),186cm,Croatia,Midfielder (Centre)
223,Tete Morente,Lecce,28 years old (04-12-1996),180cm,Spain,"Midfielder (Centre, Left, Right)"
224,Mario Pasalic,Atalanta,30 years old (09-02-1995),188cm,Croatia,"Midfielder (Centre, Left, Right), Forward"
225,Roberto Piccoli,Cagliari,24 years old (27-01-2001),187cm,Italy,Forward
226,Lucas Martínez Quarta,River Plate,28 years old (10-05-1996),183cm,Argentina,Defender (Centre)
227,Patrick Dorgu,Manchester United,20 years old (26-10-2004),185cm,Denmark,"Defender (Left), Midfielder (Left, Right)"
228,Álex Jiménez,AC Milan,19 years old (08-05-2005),177cm,Spain,Defender
229,Estanis Pedrola,Bologna,21 years old (24-08-2003),185cm,Spain,Forward
230,Lucas Beltrán,Fiorentina,24 years old (29-03-2001),174cm,Argentina,"Attacking Midfielder (Centre), Forward"
231,Sebastiano Luperto,Cagliari,28 years old (06-09-1996),191cm,Italy,"Defender (Centre, Left)"
232,Juan Cabal,Juventus,24 years old (08-01-2001),186cm,Colombia,Defender (Left)
233,Martín Payero,Udinese,26 years old (11-09-1998),183cm,Argentina,Attacking Midfielder (Centre)
234,Adam Obert,Cagliari,22 years old (23-08-2002),188cm,Slovakia,"Defender (Centre, Left)"
235,Tommaso Pobega,Bologna,25 years old (15-07-1999),188cm,Italy,Midfielder (Centre)
236,Giacomo Raspadori,Napoli,25 years old (18-02-2000),172cm,Italy,"Attacking Midfielder (Centre, Left), Forward"
237,Nicolò Savona,Juventus,22 years old (19-03-2003),192cm,Italy,Defender (Right)
238,Patrick Cutrone,Como,27 years old (03-01-1998),183cm,Italy,Forward
239,Michael Svoboda,Venezia,26 years old (15-10-1998),195cm,Austria,Defender (Centre)
240,Maxence Caqueret,Como,25 years old (15-02-2000),174cm,France,Midfielder (Centre)
241,Kyle Walker,AC Milan,34 years old (28-05-1990),183cm,England,"Defender (Centre, Right), Midfielder (Right)"
242,Philip Billing,Napoli,28 years old (11-06-1996),193cm,Denmark,"Midfielder (Centre), Forward"
243,Leonardo Spinazzola,Napoli,32 years old (25-03-1993),186cm,Italy,"Defender (Left, Right), Midfielder (Left)"
244,Matteo Darmian,Inter,35 years old (02-12-1989),182cm,Italy,"Defender (Centre, Left, Right), Midfielder (Left, Right)"
245,Botond Balogh,Parma Calcio 1913,22 years old (06-06-2002),189cm,Hungary,Defender (Centre)
246,Samuel Mbangula,Juventus,21 years old (16-01-2004),171cm,,Attacking Midfielder (Left)
247,Sandi Lovric,Udinese,27 years old (28-03-1998),180cm,Slovenia,Midfielder (Centre)
248,Pedro,Lazio,37 years old (28-07-1987),169cm,Spain,"Midfielder (Centre, Left, Right), Forward"
249,Lautaro Giannetti,Udinese,31 years old (13-11-1993),184cm,Argentina,Defender (Centre)
250,Gianluca Busio,Venezia,22 years old (28-05-2002),172cm,USA,Midfielder (Centre)
251,Nadir Zortea,Cagliari,25 years old (19-06-1999),175cm,Italy,"Defender (Right), Midfielder (Left, Right)"
252,Santiago Giménez,AC Milan,24 years old (18-04-2001),182cm,Mexico,Forward
253,Maduka Okoye,Udinese,25 years old (28-08-1999),197cm,Nigeria,Goalkeeper
254,Brenner,Udinese,25 years old (16-01-2000),175cm,Brazil,"Attacking Midfielder (Centre), Forward"
255,Matteo Cancellieri,Parma Calcio 1913,23 years old (12-02-2002),180cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward"
256,Pietro Comuzzo,Fiorentina,20 years old (20-02-2005),185cm,Italy,Defender (Centre)
