,TotKPs,LKPs,SKPs
455,0.5,-,0.5
456,-,-,-
457,-,-,-
458,0.4,-,0.4
459,0.8,0.3,0.6
460,0.5,-,0.5
461,0.2,0.1,0.2
462,0.3,-,0.3
463,0.7,0.1,0.6
464,0.4,-,0.4
465,-,-,-
466,0.2,-,0.2
467,0.4,-,0.4
468,0.5,0.1,0.5
469,0.3,-,0.3
470,0.3,-,0.3
471,0.1,-,0.1
472,0.2,-,0.2
473,0.3,-,0.3
474,0.7,0.2,0.4
475,0.2,-,0.2
476,0.3,-,0.3
477,0.2,0.1,0.1
478,0.3,-,0.3
479,-,-,-
480,0.3,-,0.3
481,-,-,-
482,0.2,0.1,0.1
483,-,-,-
484,0.3,-,0.3
485,0.6,0.1,0.5
486,-,-,-
487,-,-,-
488,-,-,-
489,0.2,-,0.2
490,0.2,-,0.2
491,0.1,-,0.1
492,0.2,-,0.2
493,0.3,-,0.3
494,0.4,-,0.4
495,0.6,0.1,0.6
496,0.2,-,0.2
497,0.5,-,0.5
498,0.2,-,0.2
499,-,-,-
500,0.2,-,0.2
501,0.2,-,0.2
502,0.3,0.1,0.1
503,0.3,0.1,0.1
504,-,-,-
505,0.2,-,0.2
506,0.3,-,0.3
507,0.3,-,0.3
508,0.3,-,0.3
509,-,-,-
510,-,-,-
511,0.5,0.1,0.4
512,0.4,-,0.4
513,0.5,-,0.5
514,-,-,-
515,0.3,0.1,0.1
516,0.7,0.1,0.5
517,-,-,-
518,-,-,-
519,1,-,1
520,0.4,-,0.4
521,-,-,-
522,-,-,-
523,0.5,-,0.5
524,-,-,-
525,0.3,-,0.3
526,0.5,0.2,0.4
527,0.1,-,0.1
528,0.3,-,0.3
529,1,-,1
530,0.3,0.1,0.2
531,0.1,-,0.1
532,0.3,-,0.3
533,-,-,-
534,0.3,0.1,0.2
535,0.2,-,0.2
536,0.7,-,0.7
537,-,-,-
538,-,-,-
539,-,-,-
540,0.7,0.3,0.3
541,0.2,-,0.2
542,0.1,-,0.1
543,0.3,-,0.3
544,0.3,-,0.3
545,0.1,-,0.1
546,0.2,0.1,0.1
547,0.2,-,0.2
548,0.4,-,0.4
549,0.2,-,0.2
550,0.2,-,0.2
551,-,-,-
552,0.6,-,0.6
553,0.3,-,0.3
554,0.1,-,0.1
555,0.3,-,0.3
556,-,-,-
557,0.1,-,0.1
558,-,-,-
559,0.1,-,0.1
560,0.3,-,0.3
561,0.1,-,0.1
562,-,-,-
563,0.3,-,0.3
564,-,-,-
565,-,-,-
566,-,-,-
567,0.2,-,0.2
568,0.1,-,0.1
569,-,-,-
570,0.5,-,0.5
571,-,-,-
572,-,-,-
573,0.1,-,0.1
574,-,-,-
575,-,-,-
576,-,-,-
577,-,-,-
578,-,-,-
579,-,-,-
580,0.1,-,0.1
581,-,-,-
582,-,-,-
583,-,-,-
584,0.1,0.1,-
585,0.8,-,0.8
586,1,0.5,0.5
587,0.1,-,0.1
588,-,-,-
589,-,-,-
590,-,-,-
591,-,-,-
592,0.3,-,0.3
593,-,-,-
594,0.1,-,0.1
595,-,-,-
596,-,-,-
597,-,-,-
598,-,-,-
599,-,-,-
600,-,-,-
601,-,-,-
602,-,-,-
603,-,-,-
604,0.1,-,0.1
605,-,-,-
606,-,-,-
607,-,-,-
608,1,-,1
609,-,-,-
610,1,-,1
611,-,-,-
612,0.3,-,0.3
613,-,-,-
614,-,-,-
615,-,-,-
616,-,-,-
617,-,-,-
618,-,-,-
619,-,-,-
620,-,-,-
621,1,-,1
622,-,-,-
623,-,-,-
624,-,-,-
