,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
261,-,-,-,-,-,-,-
262,-,-,-,-,-,-,-
263,-,-,-,-,-,0.1,0.1
264,-,-,-,-,-,-,-
265,-,-,-,-,-,-,0.1
266,0.1,-,-,-,-,-,0.1
267,-,-,-,-,-,-,-
268,-,-,-,-,-,-,0.1
269,-,-,-,-,-,0.1,0.1
270,-,-,-,-,-,-,-
271,-,-,-,-,-,-,-
272,-,-,-,-,-,-,-
273,-,-,-,-,-,-,-
274,-,-,-,-,-,-,-
275,-,-,-,-,-,-,-
276,-,-,-,-,-,-,-
277,-,-,-,-,-,-,-
278,-,-,-,-,-,-,-
279,-,-,-,-,-,0.1,0.1
280,-,-,-,-,-,-,-
281,-,-,-,-,-,-,-
282,-,-,-,-,-,-,-
283,-,-,-,-,-,0.3,0.3
284,-,-,-,-,-,-,-
285,-,-,-,-,-,-,-
286,-,-,-,-,-,-,-
287,0.1,0.1,-,-,-,0.1,0.2
288,-,-,-,-,-,-,-
289,-,-,-,-,-,-,-
290,0.2,0.1,-,0.1,-,0.1,0.2
291,-,-,-,-,-,-,-
292,-,-,-,-,-,-,-
293,0.1,-,-,0.1,-,-,0.1
294,-,-,-,-,-,-,-
295,-,-,-,-,-,-,-
296,-,-,-,-,-,-,-
297,-,-,-,-,-,-,-
298,-,-,-,-,-,-,-
299,-,-,0.1,-,-,0.1,0.1
300,-,-,0.1,-,-,0.1,0.1
301,-,-,-,-,-,-,-
302,-,-,-,-,-,0.2,0.2
303,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-
305,-,-,-,-,-,-,0.1
306,-,-,-,-,-,0.1,0.1
307,0.1,-,-,-,-,-,0.1
308,-,-,-,-,-,0.1,0.1
309,-,-,-,-,-,0.1,0.1
310,-,-,-,-,-,0.1,0.1
311,-,-,-,-,-,-,-
312,-,-,-,-,-,-,-
313,-,-,-,-,-,-,-
314,-,-,-,-,-,-,-
315,-,-,-,-,-,-,-
316,-,-,-,-,-,-,-
317,-,-,-,-,-,0.1,0.1
318,-,-,-,-,-,-,-
319,-,-,-,-,-,-,-
320,-,-,-,-,-,0.1,0.1
321,-,-,-,-,-,-,-
322,-,-,-,-,-,-,0.1
323,-,-,-,-,-,-,-
324,-,-,-,-,-,-,-
325,0.1,-,-,-,-,0.1,0.2
326,-,-,-,-,-,0.1,0.1
327,-,-,-,-,-,-,0.1
328,-,-,-,-,-,-,-
329,-,-,-,-,-,-,-
330,-,-,-,-,-,-,-
331,-,-,-,-,-,-,-
332,-,-,-,-,-,-,-
333,-,-,-,-,-,-,-
334,-,-,-,-,-,-,-
335,-,-,-,-,-,-,-
336,-,-,-,-,-,-,-
337,0.1,-,-,-,-,-,0.1
338,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-
340,-,-,-,-,-,-,-
341,-,-,-,-,-,-,-
342,-,-,-,-,-,-,-
343,-,-,-,-,-,-,-
344,-,-,-,-,-,0.1,0.1
345,0.1,0.1,-,-,-,0.1,0.1
346,-,-,-,-,-,0.1,0.1
347,-,-,-,-,-,-,-
348,-,-,-,-,-,0.2,0.2
349,-,-,-,-,-,-,-
350,-,-,-,-,-,-,-
351,-,-,-,-,-,-,-
352,-,-,-,-,-,0.2,0.2
353,-,-,-,-,-,-,-
354,-,-,-,-,-,0.1,0.1
355,-,-,-,-,-,-,-
356,-,-,-,-,-,-,-
357,-,-,-,-,-,-,-
358,-,-,-,-,-,0.1,0.1
359,-,-,-,-,-,-,-
360,-,-,-,-,-,-,-
361,-,-,-,-,-,0.1,0.1
362,-,-,-,-,-,0.1,0.1
363,-,-,-,-,-,0.1,0.1
364,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-
366,-,-,-,-,-,0.1,0.1
367,-,-,-,-,-,-,-
368,-,-,-,-,-,0.1,0.1
369,-,-,-,-,-,-,-
370,-,-,-,-,-,-,-
371,-,-,-,-,-,-,0.1
372,-,-,-,-,-,-,-
373,-,-,0.1,-,-,0.1,0.2
374,-,-,-,-,-,-,-
375,-,-,-,-,-,0.1,0.1
376,-,-,-,-,-,-,-
377,-,-,-,-,-,-,-
378,-,-,-,-,-,-,-
379,-,-,-,-,-,-,-
380,-,-,-,-,-,-,-
381,-,-,-,-,-,-,-
382,-,-,-,-,-,-,-
383,-,-,-,-,-,0.1,0.1
384,-,-,-,-,-,-,-
385,-,-,-,-,-,-,-
386,-,-,-,-,-,-,0.1
387,-,-,-,-,-,-,-
388,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-
391,-,-,-,-,-,-,-
392,0.1,-,-,-,-,-,0.1
393,-,-,-,-,-,-,-
394,-,-,-,-,-,-,-
395,-,-,-,-,-,-,-
396,-,-,-,-,-,-,0.1
397,-,-,-,-,-,-,-
398,-,-,-,-,-,-,-
399,-,-,-,-,-,-,-
400,-,-,-,-,-,0.1,0.1
401,-,-,-,-,-,0.1,0.1
402,-,-,-,-,-,-,-
403,0.1,-,-,-,-,-,0.1
404,-,-,-,-,-,-,0.1
405,-,-,-,-,-,-,-
406,-,-,-,-,-,-,-
407,-,-,-,-,-,-,-
408,-,-,-,-,-,-,-
409,-,-,-,-,-,0.1,0.1
410,-,-,-,-,-,-,-
411,0.1,-,-,-,-,-,0.1
412,0.1,-,-,-,-,0.1,0.1
413,-,-,-,-,-,0.1,0.1
414,-,-,0.1,-,-,0.1,0.1
415,-,-,-,-,-,-,-
416,-,-,-,-,-,-,-
417,-,-,-,-,-,-,-
418,-,-,-,-,-,-,-
419,-,-,-,-,-,-,-
420,-,-,-,-,-,-,-
421,-,-,-,-,-,-,-
422,0.3,-,-,-,-,-,0.3
423,-,-,-,-,-,-,-
424,-,-,-,-,-,-,-
425,-,-,-,-,-,-,-
426,-,-,-,-,-,-,-
427,-,-,-,-,-,-,-
428,-,-,-,-,-,-,-
429,-,-,-,-,-,-,-
430,-,-,-,-,-,-,-
431,-,-,-,-,-,-,-
432,-,-,-,-,-,-,0.1
433,-,-,-,-,-,-,-
434,-,-,-,-,-,-,-
435,-,-,-,-,-,-,-
436,-,-,-,-,-,-,-
437,-,-,-,-,-,-,-
438,-,-,-,-,-,-,-
439,-,-,-,-,-,-,-
440,-,-,-,-,-,-,-
441,-,-,-,-,-,-,-
442,-,-,-,-,-,-,-
443,-,-,-,-,-,-,-
444,-,-,-,-,-,-,-
445,-,-,-,-,-,-,-
446,-,-,-,-,-,-,-
447,-,-,-,-,-,-,-
448,-,-,-,-,-,-,-
449,-,-,-,-,-,-,-
450,-,-,-,-,-,-,-
451,-,-,-,-,-,-,-
452,-,-,-,-,-,0.1,0.1
453,-,-,-,-,-,-,-
454,-,-,-,-,-,0.1,0.1
455,-,-,-,-,-,-,-
456,-,-,-,-,-,-,-
457,-,-,-,-,-,-,-
458,0.1,-,-,-,-,0.1,0.2
459,-,-,-,-,-,-,-
460,-,-,-,-,-,-,-
461,-,-,-,-,-,-,-
462,-,-,-,-,-,-,-
463,0.1,-,-,-,-,-,0.1
464,-,-,-,-,-,-,-
465,-,-,-,-,-,-,-
466,-,-,-,-,-,-,-
467,-,-,-,-,-,-,-
468,-,-,-,-,-,-,-
469,-,-,-,-,-,-,-
470,-,-,-,-,-,-,-
471,-,-,-,-,-,-,-
472,-,-,-,-,-,-,-
473,-,-,-,-,-,0.1,0.1
474,-,-,-,-,-,-,-
475,-,-,-,-,-,-,-
476,-,-,-,-,-,-,-
477,-,-,-,-,-,-,-
478,-,-,-,-,-,-,-
479,-,-,-,-,-,-,-
480,-,-,-,-,-,-,-
481,-,-,-,-,-,-,-
482,-,-,-,-,-,-,-
483,-,-,-,-,-,-,-
484,-,-,-,-,-,-,-
485,-,-,-,-,-,-,-
486,-,-,-,-,-,-,-
487,-,-,-,-,-,-,-
488,-,-,-,-,-,-,-
489,-,-,-,-,-,-,-
490,-,-,-,-,-,-,-
491,-,-,-,-,-,-,-
492,-,-,-,-,-,-,-
493,-,-,-,-,-,-,-
494,-,-,-,-,-,-,-
495,-,-,-,-,-,0.1,0.1
496,0.1,-,-,-,-,-,0.1
497,-,-,-,-,-,-,-
498,-,-,-,-,-,-,-
499,-,-,-,-,-,-,-
500,-,-,-,-,-,-,-
501,-,-,-,-,-,-,-
502,-,-,-,-,-,-,-
503,-,-,-,-,-,-,-
504,-,-,-,-,-,-,-
505,-,-,-,-,-,-,-
506,-,-,-,-,-,-,-
507,-,-,-,-,-,-,-
508,-,-,-,-,-,-,-
509,-,-,-,-,-,-,-
510,-,-,-,-,-,-,-
511,-,-,-,-,-,-,-
512,-,-,-,-,-,-,-
513,-,-,-,-,-,-,-
514,-,-,-,-,-,-,-
515,-,-,-,-,-,-,-
516,-,-,-,-,-,-,-
517,-,-,-,-,-,-,-
518,-,-,-,-,-,-,-
519,-,-,-,-,-,-,-
520,-,-,-,-,-,-,-
521,-,-,-,-,-,-,-
522,-,-,-,-,-,-,-
523,-,-,-,-,-,-,-
524,-,-,-,-,-,-,-
525,-,-,-,-,-,-,-
526,-,-,-,-,-,-,-
527,-,-,-,-,-,-,-
528,-,-,0.3,-,-,-,0.3
529,-,-,-,-,-,-,-
530,-,-,-,-,-,-,-
531,-,-,-,-,-,-,-
532,-,-,-,-,-,-,-
533,-,-,-,-,-,-,-
534,-,-,-,-,-,-,-
535,-,-,-,-,-,-,-
536,-,-,-,-,-,-,-
537,-,-,-,-,-,-,-
538,-,-,-,-,-,-,-
539,-,-,-,-,-,-,-
540,-,-,-,-,-,-,-
541,-,-,-,-,-,-,-
542,-,-,-,-,-,-,-
543,-,-,-,-,-,-,-
544,-,-,-,-,-,0.1,0.1
545,-,-,-,-,-,-,-
546,-,-,-,-,-,-,-
547,-,-,-,-,-,-,-
548,-,-,-,-,-,-,-
549,-,-,-,-,-,-,-
550,-,-,-,-,-,-,-
551,-,-,-,-,-,-,-
552,-,-,-,-,-,-,-
553,-,-,-,-,-,-,-
554,-,-,-,-,-,-,-
555,-,-,-,-,-,-,-
556,-,-,-,-,-,-,-
557,-,-,-,-,-,-,-
558,-,-,-,-,-,-,-
559,-,-,-,-,-,-,-
560,-,-,-,-,-,-,-
561,-,-,-,-,-,-,-
562,-,-,-,-,-,-,-
563,-,-,-,-,-,-,-
564,-,-,-,-,-,-,-
565,-,-,-,-,-,-,-
566,-,-,-,-,-,-,-
567,-,-,-,-,-,-,-
568,-,-,-,-,-,-,-
569,-,-,-,-,-,-,-
570,-,-,-,-,-,-,-
571,-,-,-,-,-,-,-
572,-,-,-,-,-,-,-
573,-,-,-,-,-,-,-
574,-,-,-,-,-,-,-
575,-,-,-,-,-,-,-
576,-,-,-,-,-,-,-
577,-,-,-,-,-,-,-
578,-,-,-,-,-,-,-
579,-,-,-,-,-,-,-
580,-,-,-,-,-,-,-
581,-,-,-,-,-,-,-
582,-,-,-,-,-,-,-
583,-,-,-,-,-,-,-
584,-,-,-,-,-,-,-
585,-,-,-,-,-,-,-
586,-,-,-,-,-,-,-
587,-,-,-,-,-,-,-
588,-,-,-,-,-,-,-
589,-,-,-,-,-,-,-
590,-,-,-,-,-,-,-
591,-,-,-,-,-,-,-
592,-,-,-,-,-,-,-
593,-,-,-,-,-,-,-
594,-,-,-,-,-,-,-
595,-,-,-,-,-,-,-
596,-,-,-,-,-,-,-
597,-,-,-,-,-,-,-
598,-,-,-,-,-,-,-
599,-,-,-,-,-,-,-
600,-,-,-,-,-,-,-
601,-,-,-,-,-,-,-
602,-,-,-,-,-,-,-
603,-,-,-,-,-,-,-
604,-,-,-,-,-,-,-
605,-,-,-,-,-,-,-
606,-,-,-,-,-,-,-
607,-,-,-,-,-,-,-
608,-,-,-,-,-,-,-
609,-,-,-,-,-,-,-
610,-,-,-,-,-,-,-
611,-,-,-,-,-,-,-
612,-,-,-,-,-,-,-
613,-,-,-,-,-,-,-
614,-,-,-,-,-,-,-
615,-,-,-,-,-,-,-
616,-,-,-,-,-,-,-
617,-,-,-,-,-,-,-
618,-,-,-,-,-,-,-
619,-,-,-,-,-,-,-
620,-,-,-,-,-,-,-
621,-,-,-,-,-,-,-
622,-,-,-,-,-,-,-
623,-,-,-,-,-,-,-
624,-,-,-,-,-,-,-
