,TotTkl,DribPast,TotAttTkl
341,0.5,0.2,0.7
342,1.1,0.1,1.3
343,-,-,-
344,0.5,0.1,0.6
345,0.5,0.6,1.2
346,1.1,0.2,1.2
347,0.3,0.1,0.4
348,0.4,0.1,0.5
349,-,0.1,0.1
350,1.5,0.3,1.8
351,0.9,0.2,1.1
352,0.9,0.3,1.2
353,1,0.3,1.3
354,0.7,0.4,1.1
355,0.8,0.3,1.1
356,1.1,0.4,1.5
357,1.8,0.6,2.4
358,1.6,0.2,1.8
359,0.8,0.2,0.9
360,-,-,-
361,1.4,0.4,1.8
362,1.4,0.7,2.2
363,0.7,0.2,0.9
364,-,0.1,0.1
365,1.1,0.6,1.6
366,0.5,0.2,0.7
367,1.4,0.3,1.7
368,1.3,0.5,1.8
369,0.3,0.2,0.6
370,0.7,0.3,1
371,0.7,0.4,1.1
372,0.8,0.1,0.9
373,0.4,0.4,0.8
374,1.2,0.5,1.7
375,0.9,0.3,1.1
376,0.9,0.3,1.2
377,0.9,0.4,1.3
378,1.1,0.1,1.2
379,1.1,0.7,1.8
380,1.6,0.8,2.4
381,1.1,0.4,1.5
382,1.3,0.2,1.4
383,0.4,0.3,0.7
384,1.3,0.4,1.7
385,0.8,0.8,1.7
386,0.8,0.7,1.4
387,0.6,0.2,0.8
388,1.4,0.8,2.2
389,1.5,0.4,1.9
390,2.1,0.8,2.9
391,1.3,1,2.3
392,1.5,0.6,2.1
393,0.8,0.2,1
394,1.1,0.5,1.7
395,2,0.8,2.8
396,1,0.2,1.2
397,1,-,1
398,1,0.4,1.5
399,1,0.7,1.8
400,1.2,0.4,1.6
401,0.8,0.4,1.3
402,0.8,0.4,1.2
403,0.3,0.5,0.9
404,0.6,0.1,0.7
405,-,-,-
406,1.7,0.6,2.3
407,2,-,2
408,1,0.4,1.4
409,0.8,0.2,1
410,0.3,0.3,0.5
411,1.2,0.9,2.1
412,0.2,0.1,0.3
413,-,0.1,0.1
414,0.5,0.5,1
415,1.2,-,1.2
416,0.6,0.3,0.9
417,0.2,0.1,0.3
418,0.4,0.2,0.7
419,1.3,0.3,1.6
420,0.8,0.4,1.2
421,-,-,-
422,0.3,-,0.3
423,1.8,0.3,2.1
424,2,-,2
425,0.7,-,0.7
426,0.6,-,0.6
427,1.4,0.6,2
428,0.9,0.5,1.4
429,0.4,0.1,0.6
430,0.8,-,0.8
431,1.7,0.8,2.5
432,1.4,0.6,2
433,1.8,0.4,2.1
434,1.3,0.7,2
435,-,-,-
436,1.8,1,2.8
437,0.2,0.3,0.4
438,0.9,0.1,1
439,0.6,0.1,0.7
440,0.3,0.1,0.4
441,0.6,0.2,0.8
442,0.2,-,0.2
443,1.3,0.2,1.4
444,0.8,0.4,1.2
445,-,0.1,0.1
446,0.9,0.4,1.3
447,-,0.3,0.3
448,1,0.3,1.4
449,0.4,-,0.4
450,1.4,0.6,2
451,0.4,0.2,0.6
452,0.2,0.2,0.4
453,1.3,0.7,2
454,0.9,0.4,1.4
455,0.1,0.1,0.2
456,-,0.4,0.4
457,1.2,0.7,1.8
458,0.2,-,0.2
459,0.7,0.4,1.1
460,-,1,1
461,0.8,0.2,1
462,0.1,0.1,0.3
463,0.6,0.6,1.1
464,-,-,-
465,-,-,-
466,0.5,0.4,0.9
467,0.1,0.1,0.3
468,0.9,0.7,1.6
469,0.3,0.2,0.5
470,0.6,0.4,1
471,0.4,0.1,0.5
472,1.2,0.2,1.4
473,1.4,0.5,1.9
474,0.8,0.6,1.3
475,0.7,0.4,1
476,0.7,-,0.7
477,1.1,0.2,1.2
478,0.7,0.1,0.8
479,0.3,0.4,0.7
480,1.3,0.4,1.7
481,0.7,0.3,1
482,0.5,0.1,0.7
483,2,-,2
484,0.8,0.6,1.3
485,0.1,0.3,0.4
486,0.2,-,0.2
487,1.3,-,1.3
488,0.8,0.2,1
489,1.1,0.4,1.5
490,1.1,0.7,1.8
491,1,0.1,1.1
492,0.2,-,0.2
493,1,0.5,1.5
494,0.3,0.3,0.5
495,2.2,0.6,2.8
496,0.6,0.3,0.9
497,0.3,0.2,0.5
498,1.7,0.5,2.2
499,-,-,-
500,0.6,1,1.6
501,0.5,0.2,0.7
502,0.9,-,0.9
503,0.6,0.4,1
504,-,-,-
505,0.3,0.2,0.5
506,0.3,0.5,0.7
507,0.4,0.2,0.6
508,0.2,0.1,0.3
509,-,-,-
510,1,-,1
511,0.3,0.5,0.7
512,0.3,0.2,0.5
513,0.5,0.5,1
514,-,-,-
515,0.4,0.2,0.7
