,TotInt
258,0.2
259,0.3
260,0.3
261,0.6
262,1
263,0.4
264,1
265,0.8
266,0.7
267,0.4
268,0.7
269,1
270,0.5
271,0.7
272,0.2
273,0.1
274,-
275,0.7
276,0.2
277,0.1
278,0.5
279,0.5
280,0.2
281,-
282,0.7
283,0.5
284,0.7
285,-
286,0.8
287,0.3
288,0.1
289,0.4
290,0.3
291,-
292,0.5
293,0.4
294,0.1
295,0.6
296,0.1
297,1.1
298,1.1
299,0.1
300,0.1
301,0.7
302,0.3
303,0.5
304,0.4
305,0.4
306,0.4
307,0.4
308,0.3
309,0.1
310,0.7
311,1.1
312,0.3
313,0.2
314,-
315,0.5
316,-
317,0.2
318,1.2
319,-
320,0.3
321,0.3
322,0.5
323,0.3
324,1.2
325,0.2
326,0.1
327,0.3
328,0.2
329,0.7
330,-
331,0.7
332,-
333,-
334,0.4
335,-
336,0.7
337,0.2
338,1
339,1.1
340,0.5
341,0.3
342,1.1
343,-
344,-
345,0.4
346,0.7
347,0.3
348,-
349,-
350,0.7
351,0.6
352,0.4
353,0.5
354,0.4
355,0.9
356,0.4
357,0.9
358,0.5
359,0.1
360,0.1
361,0.4
362,0.4
363,0.1
364,-
365,0.5
366,0.2
367,0.7
368,0.7
369,0.1
370,0.5
371,0.1
372,0.1
373,0.2
374,0.4
375,0.7
376,0.6
377,0.4
378,0.9
379,0.2
380,2
381,0.4
382,0.8
383,-
384,0.5
385,1.1
386,0.4
387,-
388,0.4
389,0.6
390,1.1
391,0.5
392,0.5
393,0.3
394,0.6
395,0.7
396,0.3
397,0.5
398,0.2
399,0.5
400,0.4
401,0.8
402,0.3
403,0.1
404,0.1
405,-
406,0.7
407,-
408,0.3
409,0.3
410,0.3
411,0.5
412,0.3
413,0.1
414,-
415,1
416,0.7
417,0.2
418,0.2
419,0.6
420,0.5
421,-
422,0.3
423,0.3
424,0.3
425,0.7
426,0.1
427,0.5
428,0.3
429,0.3
430,-
431,0.9
432,0.3
433,0.8
434,0.7
435,2
436,-
437,0.3
438,0.3
439,0.8
440,0.1
441,0.2
442,0.4
443,0.5
444,0.3
445,-
446,0.6
447,-
448,0.3
449,-
450,0.4
451,0.1
452,-
453,0.2
454,0.6
455,-
456,-
457,0.8
458,0.1
459,0.3
460,0.5
461,0.1
462,0.1
463,0.1
464,-
465,-
466,0.1
467,-
468,0.6
469,-
470,-
471,0.1
472,0.2
473,0.8
474,0.4
475,0.4
476,-
477,0.5
478,0.4
479,0.6
480,0.3
481,-
482,0.1
483,-
484,0.1
485,0.1
486,-
487,0.2
488,0.6
489,0.4
490,0.2
491,0.3
492,1.4
493,-
494,-
495,0.6
496,0.1
497,0.1
498,0.9
499,-
500,0.4
501,-
502,0.1
503,0.3
504,0.5
505,-
506,0.5
507,0.1
508,-
509,-
510,-
511,-
512,0.1
513,-
514,-
515,0.5
516,0.1
517,-
518,-
519,-
520,-
521,-
522,-
523,0.3
524,0.7
525,-
526,0.2
527,0.3
528,-
529,0.3
530,0.3
531,-
532,-
533,0.2
534,0.5
535,-
536,-
537,0.2
538,0.3
539,-
540,-
541,0.3
542,0.1
543,0.1
544,-
545,0.2
546,0.3
547,0.4
548,0.2
549,-
550,0.3
551,-
552,-
553,0.3
554,0.3
555,-
556,0.5
557,0.1
558,0.5
559,-
560,0.1
561,0.1
562,0.5
563,1.3
564,0.3
565,-
566,-
567,-
568,-
569,1
570,-
571,-
572,-
573,0.1
574,-
575,-
576,-
577,-
578,0.2
579,-
580,0.1
581,-
582,-
583,-
584,-
585,-
586,-
587,-
588,-
589,-
590,-
591,-
592,0.7
593,0.2
594,0.1
595,-
596,-
597,-
598,-
599,-
600,-
601,-
602,-
603,-
604,-
605,-
606,-
607,1
608,-
609,0.5
610,-
611,-
612,-
613,-
614,-
615,-
616,-
617,-
618,-
619,-
620,-
621,1
622,-
623,0.3
624,-
