,Name,Club,Age,Height,National,Positions
564,Arnau Solà,Villarreal,22 years old (04-04-2003),179cm,,Defender
565,Javier Martón,Albacete,25 years old (06-05-1999),183cm,Spain,Forward
566,Marc Cardona,Las Palmas,29 years old (08-07-1995),183cm,Spain,Forward
567,Adrián Niño,Atletico Madrid,20 years old (19-06-2004),184cm,Spain,Forward
568,Alberto Marí,Real Zaragoza,23 years old (11-07-2001),183cm,Spain,Forward
569,Luca de la Torre,San Diego FC,26 years old (23-05-1998),178cm,USA,"Midfielder (Centre, Left, Right)"
570,Roger Hinojo,Espanyol,20 years old (21-02-2005),180cm,,Defender
571,Joseph Aidoo,Real Valladolid,29 years old (29-09-1995),184cm,Ghana,Defender (Centre)
572,Aboubacar Bassinga,Las Palmas,19 years old (13-07-2005),178cm,Ivory Coast,Midfielder
573,Darío Benavides,Sevilla,22 years old (12-01-2003),178cm,,Defender
574,David Otorbi,Valencia,17 years old (16-10-2007),180cm,,Forward
575,Javi Martínez,Eibar,25 years old (22-12-1999),180cm,Spain,"Midfielder (Centre, Right)"
576,Kenedy,Real Valladolid,29 years old (08-02-1996),182cm,Brazil,"Defender (Left), Midfielder (Left, Right)"
577,Stole Dimitrievski,Valencia,31 years old (25-12-1993),188cm,Macedonia,Goalkeeper
578,Jesús Vallejo,Real Madrid,28 years old (05-01-1997),184cm,Spain,"Defender (Centre, Right)"
579,Thiago Ojeda,Villarreal,22 years old (12-01-2003),188cm,,Midfielder
580,Unai García,Osasuna,33 years old (03-02-1992),186cm,Spain,Defender (Centre)
581,Urko González,Espanyol,24 years old (20-03-2001),189cm,Spain,Defensive Midfielder (C)
582,Fran González,Real Madrid,19 years old (24-06-2005),199cm,,Goalkeeper
583,Adu Ares,Athletic Club,23 years old (12-10-2001),183cm,,Forward
584,André Ferreira,Real Valladolid,28 years old (29-05-1996),193cm,Portugal,Goalkeeper
585,Arnau Rafús,Real Valladolid,22 years old (27-04-2003),190cm,,Goalkeeper
586,Valentín Pezzolesi,Las Palmas,18 years old (16-04-2007),180cm,Argentina,Defender
