,Name,Club,Age,Height,National,Positions
125,Bryan Gil,Girona,24 years old (11-02-2001),175cm,Spain,"Midfielder (Centre, Left, Right)"
126,Sandro Ramírez,Las Palmas,29 years old (09-07-1995),175cm,Spain,"Attacking Midfielder (Left, Right), Forward"
127,Wojciech Szczesny,Barcelona,35 years old (18-04-1990),195cm,Poland,Goalkeeper
128,Axel Witsel,Atletico Madrid,36 years old (12-01-1989),186cm,Belgium,"Defender (Centre), Midfielder (Centre)"
129,Aimar Oroz,Osasuna,23 years old (27-11-2001),177cm,Spain,"Attacking Midfielder (Centre), Forward"
130,Iago Aspas,Celta Vigo,37 years old (01-08-1987),176cm,Spain,"Attacking Midfielder (Centre, Right), Forward"
131,Lucas Vázquez,Real Madrid,33 years old (01-07-1991),173cm,Spain,"Defender (Right), Midfielder (Right)"
132,Edu Expósito,Espanyol,28 years old (01-08-1996),178cm,Spain,Midfielder (Centre)
133,Arsen Zakharyan,Real Sociedad,21 years old (26-05-2003),182cm,Russia,"Midfielder (Centre, Left, Right)"
134,Eric García,Barcelona,24 years old (09-01-2001),182cm,Spain,"Defender (Centre, Right), Defensive Midfielder (C)"
135,Mario Maroto,Real Valladolid,21 years old (28-11-2003),176cm,Spain,Midfielder
136,Mauro Arambarri,Getafe,29 years old (30-09-1995),175cm,Uruguay,Midfielder (Centre)
137,Jesús Rodriguez,Real Betis,19 years old (21-11-2005),185cm,Spain,Attacking Midfielder (Left)
138,Andoni Gorosabel,Athletic Club,28 years old (04-08-1996),174cm,Spain,"Defender (Right), Midfielder (Right)"
139,Giuliano Simeone,Atletico Madrid,22 years old (18-12-2002),173cm,Argentina,"Attacking Midfielder (Left, Right)"
140,Juan Cruz,Leganes,25 years old (25-04-2000),177cm,Spain,"Midfielder (Left, Right)"
141,Marc Roca,Real Betis,28 years old (26-11-1996),184cm,Spain,"Defender (Centre), Defensive Midfielder (C)"
142,Marc Bernal,Barcelona,17 years old (26-05-2007),191cm,Spain,Midfielder
143,Dani Rodríguez,Mallorca,36 years old (06-06-1988),178cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
144,Íñigo Ruíz de Galarreta,Athletic Club,31 years old (06-08-1993),175cm,Spain,Defensive Midfielder (C)
145,Adrià Pedrosa,Sevilla,26 years old (13-05-1998),176cm,Spain,"Defender (Left), Midfielder (Left)"
146,Ferran Torres,Barcelona,25 years old (29-02-2000),184cm,Spain,"Attacking Midfielder (Left, Right), Forward"
147,Dani Parejo,Villarreal,36 years old (16-04-1989),182cm,Spain,Midfielder (Centre)
148,Andrii Lunin,Real Madrid,26 years old (11-02-1999),191cm,Ukraine,Goalkeeper
149,Nemanja Gudelj,Sevilla,33 years old (16-11-1991),187cm,Serbia,"Defender (Centre), Midfielder (Centre)"
150,Unai Simón,Athletic Club,27 years old (11-06-1997),190cm,Spain,Goalkeeper
151,Julen Agirrezabala,Athletic Club,24 years old (26-12-2000),187cm,Spain,Goalkeeper
152,Conor Gallagher,Atletico Madrid,25 years old (06-02-2000),182cm,England,"Midfielder (Centre, Left)"
153,Óscar Mingueza,Celta Vigo,25 years old (13-05-1999),184cm,Spain,"Defender (Centre, Right), Midfielder (Left, Right)"
154,Kiko Femenía,Villarreal,34 years old (02-02-1991),176cm,Spain,"Defender (Left, Right), Midfielder (Right)"
155,Juma Bah,Lens,19 years old (11-04-2006),195cm,,Defender (Centre)
156,Pau López,Toluca,30 years old (13-12-1994),189cm,Spain,Goalkeeper
157,Yeremy Pino,Villarreal,22 years old (20-10-2002),172cm,Spain,"Attacking Midfielder (Left, Right)"
158,Carles Aleñá,Deportivo Alaves,27 years old (05-01-1998),180cm,Spain,"Attacking Midfielder (Centre, Left, Right)"
159,José María Giménez,Atletico Madrid,30 years old (20-01-1995),185cm,Uruguay,"Defender (Centre, Right)"
160,Pablo Torre,Barcelona,22 years old (03-04-2003),173cm,Spain,Attacking Midfielder (Centre)
161,Robin Le Normand,Atletico Madrid,28 years old (11-11-1996),187cm,Spain,Defender (Centre)
162,Pape Gueye,Villarreal,26 years old (24-01-1999),189cm,Senegal,Midfielder (Centre)
163,Martin Valjent,Mallorca,29 years old (11-12-1995),187cm,Slovakia,Defender (Centre)
164,Rodrigo De Paul,Atletico Madrid,30 years old (24-05-1994),180cm,Argentina,"Attacking Midfielder (Centre, Left, Right), Forward"
165,Jan Oblak,Atletico Madrid,32 years old (07-01-1993),188cm,Slovenia,Goalkeeper
166,Luiz Júnior,Villarreal,24 years old (14-01-2001),194cm,Brazil,Goalkeeper
167,César Azpilicueta,Atletico Madrid,35 years old (28-08-1989),178cm,Spain,"Defender (Centre, Left, Right), Midfielder (Right)"
