,TotClr
219,0.4
220,6.2
221,0.5
222,2.3
223,0.1
224,0.5
225,0.1
226,0.1
227,2.1
228,2.2
229,0.7
230,0.3
231,0.9
232,0.6
233,1.3
234,0.8
235,2
236,2.7
237,5.2
238,1.7
239,0.7
240,0.4
241,1.3
242,4.8
243,1.8
244,2.4
245,0.7
246,1
247,0.9
248,0.8
249,3.4
250,0.4
251,0.7
252,5
253,2.6
254,1.6
255,0.1
256,2.4
257,1.3
258,3.6
259,4.1
260,1.5
261,0.2
262,3.1
263,1.2
264,1.7
265,1
266,1.2
267,0.4
268,0.2
269,2.4
270,0.7
271,1.2
272,0.5
273,2.4
274,0.9
275,0.1
276,0.7
277,0.5
278,0.4
279,3.1
280,0.8
281,0.8
282,0.5
283,0.9
284,1.7
285,1.2
286,1
287,0.7
288,1
289,0.6
290,2.3
291,0.9
292,1.3
293,0.2
294,1.9
295,0.7
296,0.4
297,0.4
298,0.8
299,0.7
300,5.3
301,1.3
302,3.2
303,0.5
304,0.6
305,1
306,4.6
307,3.5
308,1.5
309,0.5
310,0.2
311,0.9
312,-
313,0.8
314,4.3
315,3.6
316,0.2
317,1
318,0.7
319,0.1
320,1.1
321,0.8
322,4.5
323,2.1
324,0.8
325,0.3
326,0.9
327,0.4
328,5.8
329,3.1
330,0.2
331,0.6
332,0.6
333,1.4
334,0.8
335,2.9
336,4.8
337,0.5
338,4.4
339,4.2
340,1.8
341,0.8
342,1.8
343,0.3
344,0.5
345,2.3
346,0.1
347,0.3
348,0.9
349,0.8
350,0.5
351,0.3
352,1.7
353,0.4
354,2.8
355,1.3
356,3.4
357,0.4
358,1
359,1.3
360,0.1
361,1.2
362,0.4
363,0.4
364,2.2
365,-
366,2
367,2
368,1.9
369,1.8
370,0.1
371,0.5
372,0.4
373,0.5
374,2.1
375,1.3
376,0.5
377,0.4
378,2
379,0.3
380,0.5
381,1.3
382,0.4
383,1.5
384,0.6
385,0.3
386,0.8
387,2.2
388,1.2
389,0.4
390,0.8
391,0.1
392,0.3
393,0.6
394,0.3
395,0.9
396,0.2
397,0.4
398,0.2
399,-
400,0.5
401,0.3
402,0.7
403,1
404,0.8
405,0.4
406,0.6
407,0.4
408,1
409,0.1
410,1.3
411,1.5
412,0.5
413,0.8
414,0.2
415,3.5
416,-
417,0.3
418,0.2
419,-
420,0.5
421,-
422,0.3
423,1.3
424,2.9
425,0.2
426,1.1
427,0.2
428,0.4
429,0.3
430,-
431,0.2
432,0.6
433,1.6
434,0.4
435,0.9
436,0.1
437,0.6
438,0.2
439,3.3
440,1.5
441,1.9
442,0.4
443,1.7
444,-
445,1
446,0.5
447,0.3
448,0.5
449,1.4
450,-
451,2.7
452,-
453,-
454,0.7
455,0.9
456,0.1
457,0.6
458,1.3
459,0.6
460,0.4
461,0.1
462,0.5
463,0.5
464,-
465,0.5
466,0.2
467,0.3
468,1
469,0.1
470,0.3
471,1.5
472,0.1
473,0.7
474,1
475,0.9
476,1
477,0.2
478,-
479,0.8
480,0.5
481,0.3
482,0.3
483,0.3
484,-
485,3
486,0.2
487,-
488,0.3
489,3.8
490,0.8
491,0.1
492,1
493,0.5
494,2.3
495,-
496,-
497,0.8
498,0.3
499,0.3
500,0.2
501,-
502,-
503,0.5
504,0.3
505,-
506,0.3
507,0.3
508,0.8
509,0.3
510,2.4
511,2.3
512,0.4
513,0.5
514,0.1
515,0.5
516,0.6
517,-
518,-
519,0.2
520,2
521,-
522,1
523,0.3
524,-
525,-
526,0.3
527,0.5
528,-
529,-
530,1
531,0.3
532,0.2
533,0.1
534,1.6
535,-
536,-
537,-
538,0.3
539,0.3
540,0.2
541,-
542,-
543,0.1
544,1.2
545,0.5
546,1
547,-
548,2.5
549,-
550,0.5
551,0.5
552,1
553,-
554,0.1
555,-
556,4
557,-
558,-
559,1
560,-
561,-
562,1
563,-
564,-
565,-
566,-
567,-
568,-
569,-
570,1
571,3.1
572,-
573,-
574,-
575,-
576,-
577,1.3
578,1
579,1
580,-
581,-
582,2
583,-
584,1
585,-
586,1
