,TotPs,AccLB,InAccLB,AccSP,InAccSP
551,20.5,0.6,0.4,16.9,2.6
552,7,-,-,5,2
553,6,-,2,2,2
554,8.4,0.4,0.3,5.9,1.8
555,3.3,-,-,3,0.3
556,14,1,2,10,1
557,3,-,-,1,2
558,3,-,-,2.5,0.5
559,5.5,-,-,4.5,1
560,1,-,-,1,-
561,-,-,-,-,-
562,10.8,0.4,0.6,8.8,1
563,2,-,0.5,1,0.5
564,2,-,-,1,1
565,2.3,-,-,2,0.3
566,4.2,0.1,0.1,3.4,0.6
567,-,-,-,-,-
568,4,-,-,2,2
569,5,-,-,4,1
570,7,-,-,4,3
571,51.3,3.1,3.4,42.9,1.9
572,4,1,1,1,1
573,-,-,-,-,-
574,4,-,1,2,1
575,9,-,-,9,-
576,1,-,-,0.5,0.5
577,27,4,16,6.8,0.3
578,14,-,2,12,-
579,7,-,-,7,-
580,1,-,-,-,1
581,16,1,-,9,6
582,17,3,1,13,-
583,8,-,-,5,3
584,27.3,4.8,7.3,15.3,-
585,38,8,9,20,1
586,5,-,-,2,3
