,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
403,-,-,-,-,-,-,-
404,-,-,-,-,-,-,-
405,-,-,-,-,-,-,-
406,0.1,-,-,-,-,-,0.1
407,-,-,-,-,-,-,-
408,-,-,-,-,-,-,-
409,-,-,-,-,-,0.1,0.1
410,-,-,-,-,-,-,-
411,-,-,-,-,-,-,-
412,-,-,-,-,-,0.1,0.1
413,-,-,-,-,-,0.1,0.1
414,-,-,-,-,-,-,-
415,-,-,-,-,-,-,-
416,-,-,-,-,-,-,-
417,-,-,-,-,-,-,-
418,-,-,-,-,-,-,-
419,-,-,-,-,-,-,-
420,-,-,-,-,-,-,-
421,-,-,-,-,-,-,-
422,-,-,-,-,-,-,-
423,-,-,-,-,-,-,-
424,-,-,-,-,-,-,-
425,-,-,-,-,-,-,-
426,-,-,-,-,-,-,-
427,-,-,-,-,-,0.1,0.1
428,0.1,-,-,-,-,-,0.1
429,-,-,-,-,-,0.1,0.1
430,-,-,-,-,-,-,-
431,-,-,-,-,-,-,-
432,-,-,-,-,-,-,-
433,-,-,-,-,-,-,-
434,-,-,-,-,-,-,-
435,-,-,-,-,-,-,-
436,-,-,-,-,-,0.1,0.1
437,-,-,-,-,-,-,-
438,-,-,-,-,-,0.1,0.1
439,-,-,-,-,-,-,-
440,-,-,-,-,-,-,-
441,-,-,-,-,-,-,-
442,-,-,-,-,-,0.1,0.1
443,-,-,-,-,-,-,-
444,-,-,-,-,-,-,-
445,-,-,-,-,-,-,-
446,-,-,-,-,-,-,-
447,-,-,-,-,-,-,-
448,0.1,-,-,-,-,0.1,0.1
449,-,-,-,-,-,-,-
450,-,-,-,-,-,-,-
451,-,-,-,-,-,-,-
452,-,-,-,-,-,-,-
453,-,-,-,-,-,-,-
454,-,-,-,-,-,-,-
455,-,-,-,-,-,-,-
456,-,-,-,-,-,-,-
457,-,-,-,-,-,-,-
458,-,-,-,-,-,-,-
459,-,-,-,-,-,-,-
460,-,-,-,-,-,-,-
461,-,-,-,-,-,-,-
462,-,-,-,-,-,-,-
463,-,-,-,-,-,-,-
464,-,-,-,-,-,-,-
465,0.1,-,-,-,-,-,0.1
466,-,-,-,-,-,-,-
467,-,-,-,-,-,-,-
468,-,-,-,-,-,-,-
469,-,-,-,-,-,-,-
470,-,-,-,-,-,-,-
