,TotTkl,DribPast,TotAttTkl
525,-,-,-
526,0.2,0.2,0.5
527,0.3,0.3,0.6
528,-,-,-
529,-,-,-
530,1,1,2
531,0.1,0.1,0.3
532,0.7,0.2,0.8
533,0.3,0.1,0.4
534,0.9,0.5,1.4
535,-,-,-
536,-,0.5,0.5
537,1,-,1
538,-,-,-
539,0.7,0.6,1.3
540,0.7,0.2,0.9
541,1,-,1
542,-,-,-
543,0.1,0.2,0.3
544,0.4,0.6,1
545,0.5,-,0.5
546,-,-,-
547,3,-,3
548,0.8,0.1,0.9
549,0.7,-,0.7
550,0.5,-,0.5
551,0.7,0.4,1.1
552,-,-,-
553,2,-,2
554,0.5,0.5,1
555,0.3,-,0.3
556,1,-,1
557,-,-,-
558,1,-,1
559,-,0.5,0.5
560,-,-,-
561,-,-,-
562,1,0.6,1.6
563,-,-,-
564,-,2,2
565,-,-,-
566,0.2,0.1,0.3
567,-,-,-
568,-,-,-
569,-,-,-
570,-,-,-
571,0.7,0.1,0.9
572,-,-,-
573,-,-,-
574,-,-,-
575,-,-,-
576,-,-,-
577,-,-,-
578,-,-,-
579,-,-,-
580,-,-,-
581,-,-,-
582,-,-,-
583,-,1,1
584,-,-,-
585,-,-,-
586,-,-,-
