,UnDrib,SucDrib,TotDrib
526,0.1,0.2,0.2
527,0.1,0.1,0.2
528,-,-,-
529,-,-,-
530,1.3,1,2.3
531,0.6,0.4,1
532,0.2,0.2,0.3
533,0.1,-,0.1
534,0.8,0.8,1.5
535,1,0.5,1.5
536,-,-,-
537,-,-,-
538,0.3,-,0.3
539,0.2,0.1,0.3
540,0.4,-,0.4
541,1,-,1
542,-,-,-
543,0.2,0.2,0.4
544,-,0.4,0.4
545,-,-,-
546,-,-,-
547,-,1,1
548,0.3,-,0.3
549,-,-,-
550,-,-,-
551,0.3,0.2,0.5
552,1,-,1
553,2,-,2
554,0.3,0.2,0.5
555,0.7,-,0.7
556,-,-,-
557,1,-,1
558,0.5,-,0.5
559,0.5,-,0.5
560,-,-,-
561,-,-,-
562,0.2,0.2,0.4
563,-,-,-
564,-,-,-
565,-,-,-
566,0.5,0.1,0.6
567,-,-,-
568,-,-,-
569,1,-,1
570,-,-,-
571,-,0.1,0.1
572,-,-,-
573,-,-,-
574,2,-,2
575,-,-,-
576,0.5,-,0.5
577,-,-,-
578,-,-,-
579,-,-,-
580,-,-,-
581,-,-,-
582,-,-,-
583,1,-,1
584,-,-,-
585,-,-,-
586,-,-,-
