,BlkSh,BlkCr,BlkPs
362,-,-,0.5
363,0.1,0.1,0.5
364,0.2,0.3,0.4
365,-,-,0.3
366,-,-,-
367,0.3,0.2,0.2
368,0.3,0.4,0.3
369,0.4,0.1,0.3
370,0.1,-,0.1
371,0.2,0.1,0.3
372,-,-,0.2
373,0.1,-,0.3
374,0.1,0.1,0.1
375,0.2,-,0.4
376,0.1,-,0.8
377,0.1,-,0.3
378,0.3,-,0.9
379,-,-,0.1
380,0.1,-,0.3
381,0.3,0.3,0.6
382,-,0.1,0.6
383,-,-,0.5
384,0.1,-,0.9
385,-,0.4,-
386,0.1,-,0.5
387,0.2,0.3,0.5
388,0.1,0.2,0.2
389,0.1,-,0.3
390,0.3,-,0.6
391,-,0.1,0.5
392,0.1,-,0.2
393,0.1,0.1,0.3
394,-,0.1,0.1
395,0.1,0.1,0.4
396,-,0.1,0.5
397,0.1,-,0.2
398,-,0.1,0.2
399,-,-,0.2
400,0.1,0.1,0.1
401,-,0.1,0.5
402,-,-,0.4
403,0.1,-,0.1
404,0.3,-,0.5
405,0.1,-,0.6
406,-,-,0.4
407,-,0.1,0.3
408,0.7,-,-
409,-,-,0.4
410,-,-,0.1
411,0.2,0.1,0.4
412,0.1,0.1,0.3
413,0.1,0.2,0.1
414,-,-,0.3
415,0.8,0.1,0.5
416,-,-,-
417,-,-,-
418,-,0.1,0.2
419,-,-,0.2
420,-,-,0.2
421,-,1,1
422,0.3,-,0.3
423,-,-,0.7
424,0.4,0.1,0.1
425,-,0.2,1.2
426,-,-,-
427,0.1,0.1,0.3
428,-,-,0.1
429,-,-,0.3
430,-,-,0.1
431,-,-,0.6
432,0.1,0.1,0.7
433,0.1,0.1,0.4
434,-,-,-
435,0.3,0.4,0.5
436,0.1,-,0.2
437,0.1,0.1,0.8
438,-,-,0.4
439,0.7,-,0.4
440,-,-,0.5
441,0.2,0.2,0.5
442,-,-,0.2
443,-,0.2,-
444,-,-,0.2
445,0.2,0.2,0.2
446,-,0.5,0.5
447,-,0.1,0.5
448,-,-,0.1
449,0.2,-,0.8
450,-,-,-
451,0.1,0.1,-
452,-,-,-
453,-,-,2
454,-,-,-
455,0.1,-,0.4
456,0.1,-,0.3
457,-,0.1,0.3
458,0.3,0.1,0.2
459,-,-,0.2
460,-,-,-
461,-,-,0.1
462,-,-,0.4
463,-,-,-
464,-,-,0.3
465,-,0.2,0.2
466,-,-,0.1
467,-,-,0.1
468,0.2,-,0.9
469,0.1,-,0.1
470,-,0.1,0.4
471,-,-,-
472,-,0.2,0.3
473,0.1,-,0.3
474,0.5,-,-
475,-,-,0.1
476,-,-,0.3
477,-,-,0.2
478,-,-,-
479,-,0.2,-
480,-,-,-
481,-,-,0.4
482,0.1,-,0.1
483,-,-,0.2
484,-,-,0.3
485,-,-,-
486,-,-,0.2
487,-,-,-
488,-,-,0.3
489,0.9,0.3,0.1
490,-,-,0.5
491,-,-,-
492,0.1,0.2,0.4
493,-,-,0.4
494,0.5,0.2,0.5
495,-,-,-
496,-,-,-
497,0.2,0.1,0.2
498,0.1,-,0.3
499,0.3,-,-
500,0.1,0.2,0.6
501,-,-,-
502,1,-,1
503,-,-,-
504,-,-,1
505,-,-,0.3
506,0.1,-,0.3
507,-,-,-
508,0.1,-,0.3
509,0.1,-,0.3
510,0.7,0.1,0.4
511,-,-,-
512,0.1,-,0.7
513,-,-,0.1
514,-,-,0.2
515,-,0.1,0.3
516,-,-,-
517,-,-,-
518,-,-,-
519,0.1,0.1,0.4
520,-,-,-
521,-,-,1
522,-,-,-
523,0.1,-,0.2
524,-,-,0.4
525,-,-,0.5
526,-,-,0.1
527,0.1,0.1,0.3
528,-,-,2
529,-,-,-
530,-,0.7,1.7
531,-,-,0.3
532,-,0.1,0.2
533,-,-,0.1
534,0.4,0.1,0.5
535,-,-,0.5
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,0.2
540,0.1,-,0.2
541,-,-,1
542,-,-,-
543,-,-,-
544,-,-,0.2
545,-,-,0.2
546,-,-,-
547,-,-,1
548,0.5,-,0.3
549,-,-,-
550,-,-,-
551,0.1,-,0.2
552,-,-,-
553,-,-,-
554,0.1,-,0.2
555,-,-,-
556,1,-,1
557,-,-,-
558,-,-,-
559,-,-,-
560,-,-,-
561,-,-,-
562,0.2,-,0.4
563,-,-,-
564,1,-,-
565,-,-,-
566,-,-,-
567,-,-,-
568,-,-,-
569,-,-,-
570,-,-,-
571,0.4,-,0.4
572,-,-,-
573,-,-,-
574,-,-,1
575,-,-,-
576,-,-,0.5
577,-,-,-
578,-,1,-
579,-,-,-
580,-,-,-
581,1,-,-
582,-,-,-
583,-,-,-
584,-,-,-
585,-,-,-
586,-,-,-
