,TotAD,WonAD,LostAD
571,2,0.9,1.1
572,-,-,-
573,-,-,-
574,-,-,-
575,-,-,-
576,-,-,-
577,-,-,-
578,1,-,1
579,-,-,-
580,-,-,-
581,2,-,2
582,-,-,-
583,-,-,-
584,0.3,-,0.3
585,-,-,-
586,-,-,-
