,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
203,28.0,189.0,8.0,37.0,8.0,1655.0,0.0,0.0,89.7,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.5,0.2,0.0,4.5,0.3,0.5,0.0,0.0,0.0,0.9,0.0,0.3,0.0,0.0,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
204,26.0,185.0,3.0,1.0,15.0,293.0,2.0,0.0,65.3,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.8,0.4,0.1,0.0,0.0,0.1,0.0,0.6,0.1,0.2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
205,21.0,180.0,8.0,25.0,2.0,1657.0,1.0,2.0,76.3,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.2,0.0,2.5,0.7,0.9,0.0,0.0,0.0,0.8,0.0,0.7,0.5,0.1,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
206,35.0,192.0,2.0,13.0,0.0,2430.0,0.0,0.0,72.9,1.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
207,24.0,184.0,27.0,49.0,6.0,1464.0,1.0,0.0,88.9,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.1,0.0,2.5,0.3,0.8,0.0,0.0,0.0,0.7,0.0,0.6,0.2,0.1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
208,26.0,175.0,3.0,25.0,11.0,1084.0,3.0,2.0,74.1,2.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,2.4,0.7,0.0,0.0,0.0,0.2,0.2,1.7,0.5,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
209,23.0,192.0,8.0,49.0,2.0,338.0,0.0,0.0,76.9,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
210,28.0,178.0,2.5,25.0,5.0,232.0,0.0,0.0,81.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.1,0.7,0.0,0.0,0.0,0.3,0.1,0.6,0.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
211,25.0,184.0,8.0,1.0,3.0,254.0,0.0,0.0,84.3,0.0,6.57,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,2.6,0.6,0.2,0.0,0.0,0.0,0.8,0.0,0.4,1.2,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
212,29.0,178.0,5.0,13.0,6.0,362.0,1.0,1.0,86.8,0.0,6.47,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.2,0.0,0.6,0.2,1.1,0.0,0.0,0.1,0.2,0.0,0.4,0.2,0.0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
