,TotSh,OOBSh,SYBSh,PASh
268,0.2,0.1,-,0.1
269,0.6,0.2,-,0.3
270,1,0.1,0.1,0.8
271,0.8,0.3,-,0.4
272,0.6,0.4,-,0.3
273,0.2,-,-,0.1
274,0.6,0.3,-,0.3
275,0.3,0.2,-,0.1
276,0.1,-,-,0.1
277,0.6,-,-,0.6
278,0.4,0.2,0.1,0.1
279,0.1,0.1,-,-
280,1.1,0.6,-,0.5
281,0.5,0.2,0.2,0.1
282,1,0.7,-,0.2
283,-,-,-,-
284,2.2,0.2,0.2,1.8
285,1.1,0.5,-,0.6
286,1.1,-,0.2,0.9
287,0.4,0.3,-,0.1
288,0.5,0.1,0.1,0.4
289,1,-,-,1
290,0.6,0.4,-,0.2
291,0.3,0.1,-,0.1
292,0.6,0.5,-,0.1
293,0.9,-,0.1,0.8
294,0.4,0.1,0.1,0.3
295,0.4,0.1,0.1,0.2
296,0.4,0.1,-,0.3
297,0.2,0.1,-,0.1
298,-,-,-,-
299,0.4,-,0.2,0.2
300,0.7,0.4,-,0.3
301,1.4,0.1,0.3,1
302,0.7,0.1,0.3,0.4
303,0.6,0.3,-,0.3
304,0.6,0.2,-,0.3
305,0.5,0.1,-,0.3
306,1.3,0.1,0.4,0.8
307,-,-,-,-
308,-,-,-,-
309,0.4,0.1,0.1,0.3
310,0.6,0.6,-,0.1
311,0.4,0.1,0.1,0.1
312,1.2,0.4,0.1,0.8
313,1,1,-,-
314,2.3,-,0.2,2.2
315,0.3,0.3,-,0.1
316,0.3,0.1,-,0.2
317,0.3,0.2,-,0.2
318,1.2,0.7,-,0.5
319,0.8,0.5,0.1,0.2
320,0.4,0.1,0.1,0.2
321,0.3,-,-,0.3
322,0.4,0.1,-,0.2
323,0.6,0.5,-,0.2
324,0.2,0.1,-,0.1
325,0.5,0.3,-,0.3
326,0.7,0.7,-,-
327,0.1,-,-,0.1
328,0.3,0.1,0.1,0.1
329,1.4,0.7,0.1,0.6
330,0.5,0.3,-,0.2
331,0.1,-,-,0.1
332,0.4,0.2,0.1,0.1
333,0.8,0.2,0.1,0.5
334,0.2,-,-,0.1
335,0.3,-,0.1,0.2
336,0.1,0.1,-,0.1
337,0.5,-,0.1,0.4
338,-,-,-,-
339,0.2,-,-,0.2
340,0.8,0.1,0.2,0.5
341,1.1,0.4,0.1,0.6
342,1,0.1,0.1,0.7
343,0.5,0.1,0.2,0.3
344,0.7,0.2,-,0.4
345,0.4,0.2,0.1,0.1
346,1,-,-,1
347,0.2,0.1,-,0.1
348,0.6,0.2,0.1,0.3
349,0.3,-,0.1,0.2
350,0.1,0.1,-,-
351,0.7,0.3,-,0.3
352,-,-,-,-
353,-,-,-,-
354,-,-,-,-
355,0.2,0.2,-,-
356,0.3,0.2,-,0.2
357,-,-,-,-
358,0.7,-,-,0.7
359,0.3,0.2,-,0.1
360,0.9,0.2,0.2,0.5
361,0.7,0.5,-,0.2
362,-,-,-,-
363,1.5,0.7,0.1,0.8
364,1,1,-,-
365,1,-,0.5,0.5
366,1.2,0.3,0.2,0.7
367,1.2,0.1,0.2,0.9
368,0.7,0.4,-,0.3
369,0.5,-,-,0.5
370,0.8,-,0.1,0.6
371,0.5,0.4,-,0.1
372,0.4,0.3,-,0.1
373,1.5,0.1,0.1,1.2
374,0.3,0.2,-,0.1
375,1.2,0.2,0.2,0.8
376,1.2,0.4,0.1,0.7
377,0.1,-,0.1,0.1
378,0.6,0.2,-,0.4
379,0.3,-,-,0.2
380,0.4,0.1,-,0.3
381,1.3,0.2,0.1,1
382,-,-,-,-
383,0.5,0.2,0.2,0.1
384,0.7,0.3,0.3,-
385,0.5,0.3,-,0.2
386,0.7,0.1,0.1,0.5
387,0.5,0.2,-,0.3
388,0.2,-,-,0.2
389,1,1,-,-
390,-,-,-,-
391,0.3,-,-,0.3
392,0.4,0.3,-,0.1
393,0.1,-,0.1,-
394,0.8,0.4,0.1,0.3
395,0.4,0.1,0.1,0.3
396,0.1,-,-,0.1
397,0.6,0.3,0.3,0.1
398,1.1,0.5,-,0.6
399,0.8,0.5,-,0.3
400,1.3,0.3,0.3,0.7
401,-,-,-,-
402,0.4,-,0.2,0.2
403,1,0.2,0.2,0.6
404,0.2,0.1,-,0.1
405,0.8,-,-,0.8
406,0.3,0.1,-,0.2
407,0.4,0.1,-,0.3
408,-,-,-,-
409,-,-,-,-
410,0.3,-,0.1,0.3
411,0.4,0.3,-,0.1
412,0.9,0.5,-,0.5
413,0.2,-,0.1,0.1
414,1.9,0.6,0.1,1.2
415,-,-,-,-
416,0.3,0.1,-,0.2
417,1.2,0.8,-,0.5
418,0.5,0.5,-,-
419,-,-,-,-
420,0.3,0.2,-,0.1
421,0.5,0.3,-,0.3
422,-,-,-,-
423,1.1,0.4,-,0.7
424,0.8,-,-,0.8
425,0.6,0.6,-,-
426,0.1,-,-,0.1
427,0.8,0.1,0.1,0.5
428,-,-,-,-
429,0.1,0.1,-,-
430,0.8,0.2,-,0.6
431,-,-,-,-
432,0.7,0.3,0.1,0.3
433,0.6,0.1,0.1,0.3
434,0.5,-,0.1,0.4
435,-,-,-,-
436,-,-,-,-
437,0.3,-,-,0.3
438,0.3,0.1,-,0.1
439,0.3,0.1,0.1,-
440,-,-,-,-
441,-,-,-,-
442,0.4,-,-,0.4
443,0.4,-,0.1,0.3
444,0.2,0.2,-,-
445,0.4,0.2,-,0.2
446,-,-,-,-
447,-,-,-,-
448,0.7,0.1,-,0.6
449,0.5,0.5,-,-
450,-,-,-,-
451,0.1,0.1,-,-
452,0.5,-,-,0.5
453,0.5,-,0.3,0.3
454,0.5,-,-,0.5
455,0.4,0.3,-,0.1
456,0.6,0.1,0.1,0.5
457,0.3,-,-,0.3
458,-,-,-,-
459,-,-,-,-
460,0.4,-,-,0.4
461,0.8,0.3,0.1,0.5
462,0.3,0.3,-,0.1
463,-,-,-,-
464,0.5,0.2,0.1,0.2
465,-,-,-,-
466,-,-,-,-
467,0.4,0.1,-,0.3
468,-,-,-,-
469,-,-,-,-
470,-,-,-,-
471,-,-,-,-
472,0.5,0.5,-,-
473,1,0.3,0.3,0.3
474,-,-,-,-
475,0.8,0.3,0.1,0.5
476,-,-,-,-
477,0.5,0.1,0.1,0.4
478,-,-,-,-
479,-,-,-,-
480,-,-,-,-
481,1,1,-,-
482,-,-,-,-
483,0.3,0.2,-,0.2
484,0.5,-,-,0.5
485,0.1,0.1,-,-
486,-,-,-,-
487,1.3,0.1,0.1,1
488,-,-,-,-
489,0.3,0.3,-,-
490,-,-,-,-
491,0.7,0.6,-,0.1
492,-,-,-,-
493,0.1,-,0.1,0.1
494,0.3,0.1,0.1,0.1
495,0.5,-,-,0.5
496,-,-,-,-
497,-,-,-,-
498,0.4,-,-,0.4
499,-,-,-,-
500,-,-,-,-
501,0.8,-,-,0.8
502,-,-,-,-
503,-,-,-,-
504,-,-,-,-
505,-,-,-,-
506,-,-,-,-
507,-,-,-,-
508,-,-,-,-
509,-,-,-,-
510,0.5,-,-,0.5
511,0.9,0.1,0.1,0.6
512,-,-,-,-
513,-,-,-,-
514,1,-,-,1
515,0.6,0.4,-,0.2
516,-,-,-,-
517,-,-,-,-
518,-,-,-,-
519,-,-,-,-
520,0.2,0.2,-,-
521,-,-,-,-
522,-,-,-,-
523,-,-,-,-
524,-,-,-,-
525,-,-,-,-
526,-,-,-,-
527,-,-,-,-
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,0.4,0.2,-,0.2
532,0.8,-,-,0.8
533,-,-,-,-
534,-,-,-,-
535,-,-,-,-
536,-,-,-,-
537,-,-,-,-
538,-,-,-,-
539,-,-,-,-
540,0.2,-,-,0.2
541,1,-,1,-
542,-,-,-,-
