,TotClr
242,2.2
243,0.9
244,0.4
245,0.4
246,1.1
247,0.3
248,4.4
249,4.4
250,3.1
251,0.5
252,2.1
253,0.4
254,0.1
255,0.5
256,0.3
257,-
258,0.5
259,0.1
260,0.3
261,1.4
262,0.4
263,1.1
264,5.1
265,0.4
266,2
267,0.8
268,2.6
269,2.3
270,0.4
271,0.2
272,1.2
273,5
274,0.8
275,2
276,4.3
277,3.7
278,2.6
279,2
280,0.5
281,0.5
282,0.9
283,0.7
284,0.3
285,0.1
286,0.4
287,0.4
288,4.9
289,-
290,0.1
291,2.4
292,0.6
293,-
294,2.3
295,0.8
296,2.5
297,2.5
298,0.6
299,4.5
300,0.9
301,0.4
302,5.3
303,0.4
304,0.1
305,0.7
306,-
307,0.7
308,4.3
309,1.5
310,1.1
311,2.4
312,-
313,3
314,-
315,1.5
316,3.3
317,0.6
318,1.7
319,0.7
320,2.3
321,0.7
322,0.8
323,0.5
324,2.1
325,0.5
326,1.5
327,4
328,3.3
329,0.2
330,0.7
331,0.5
332,0.7
333,0.4
334,0.7
335,3.2
336,2.2
337,2.1
338,0.5
339,5.8
340,0.8
341,-
342,0.4
343,-
344,1
345,0.6
346,-
347,1.4
348,1.7
349,0.6
350,0.4
351,1
352,2.6
353,0.6
354,3.3
355,0.9
356,3.4
357,0.5
358,0.3
359,0.7
360,-
361,2.3
362,0.8
363,0.1
364,-
365,1
366,-
367,0.4
368,0.7
369,-
370,0.1
371,0.1
372,0.9
373,0.3
374,0.3
375,0.7
376,0.2
377,3.9
378,0.5
379,1.2
380,1.3
381,0.5
382,0.7
383,5.7
384,0.7
385,1.6
386,0.1
387,0.1
388,2.4
389,-
390,1.5
391,2.3
392,0.9
393,3.5
394,0.5
395,0.2
396,0.7
397,0.3
398,-
399,0.4
400,0.3
401,-
402,0.2
403,0.3
404,0.2
405,0.3
406,0.6
407,1.2
408,1.3
409,0.5
410,2.9
411,0.3
412,0.8
413,0.8
414,0.3
415,-
416,0.6
417,0.3
418,0.5
419,1
420,0.4
421,0.3
422,0.3
423,0.2
424,0.5
425,0.8
426,0.8
427,-
428,0.7
429,0.8
430,0.2
431,2
432,0.1
433,0.2
434,0.2
435,-
436,2
437,-
438,4.3
439,0.5
440,1
441,1.5
442,0.3
443,0.3
444,0.7
445,0.2
446,-
447,-
448,0.4
449,-
450,-
451,1
452,0.5
453,-
454,0.3
455,0.9
456,0.2
457,1
458,1.5
459,-
460,2.2
461,0.1
462,0.4
463,2.3
464,0.2
465,0.3
466,-
467,0.6
468,1.4
469,-
470,2
471,0.5
472,0.5
473,-
474,-
475,-
476,0.5
477,-
478,-
479,-
480,-
481,1
482,-
483,0.2
484,-
485,0.7
486,1.4
487,0.3
488,-
489,0.3
490,-
491,-
492,-
493,0.1
494,0.2
495,0.2
496,-
497,0.9
498,0.1
499,-
500,0.5
501,0.6
502,-
503,-
504,0.5
505,0.5
506,1
507,-
508,-
509,-
510,0.5
511,-
512,-
513,-
514,-
515,-
516,0.5
517,0.2
518,-
519,-
520,-
521,-
522,-
523,-
524,-
525,-
526,-
527,1
528,-
529,1.2
530,-
531,1.6
532,-
533,-
534,-
535,-
536,-
537,-
538,-
539,-
540,2.2
541,-
542,0.5
