,UnDrib,SucDrib,TotDrib
487,0.6,0.9,1.5
488,-,-,-
489,0.3,-,0.3
490,-,-,-
491,1.3,0.4,1.7
492,-,-,-
493,0.1,0.1,0.1
494,0.2,-,0.2
495,0.8,0.2,1
496,1,0.5,1.5
497,0.4,-,0.4
498,0.8,0.3,1
499,0.3,-,0.3
500,-,-,-
501,0.6,0.4,1
502,-,-,-
503,-,-,-
504,1,0.5,1.5
505,-,-,-
506,-,-,-
507,-,-,-
508,-,-,-
509,-,-,-
510,-,-,-
511,0.1,0.7,0.9
512,0.3,-,0.3
513,-,-,-
514,0.5,-,0.5
515,0.8,-,0.8
516,-,-,-
517,0.4,0.2,0.6
518,-,-,-
519,-,-,-
520,-,-,-
521,0.3,-,0.3
522,-,-,-
523,1,-,1
524,-,-,-
525,-,-,-
526,0.3,-,0.3
527,-,-,-
528,0.5,-,0.5
529,0.6,0.2,0.8
530,1,-,1
531,-,-,-
532,0.5,-,0.5
533,0.5,-,0.5
534,-,-,-
535,1,-,1
536,-,-,-
537,-,-,-
538,1,-,1
539,-,-,-
540,-,0.2,0.2
541,-,-,-
542,-,-,-
