,TotInt
390,-
391,1.3
392,0.1
393,0.6
394,0.4
395,0.1
396,0.4
397,-
398,0.1
399,0.7
400,0.1
401,0.5
402,0.3
403,0.2
404,0.4
405,-
406,0.5
407,0.2
408,0.3
409,-
410,1.3
411,0.7
412,0.2
413,0.5
414,-
415,-
416,0.2
417,0.2
418,-
419,-
420,0.1
421,0.3
422,0.3
423,0.2
424,-
425,0.4
426,0.3
427,0.1
428,0.3
429,0.3
430,-
431,-
432,0.1
433,0.3
434,0.2
435,1
436,1
437,0.3
438,0.4
439,0.4
440,-
441,0.3
442,0.1
443,0.3
444,0.7
445,0.7
446,-
447,-
448,0.1
449,0.5
450,-
451,0.7
452,0.5
453,-
454,-
455,0.8
456,0.4
457,1
458,-
459,-
460,0.8
461,0.1
462,0.2
463,0.8
464,-
465,0.3
466,-
467,0.1
468,0.2
469,-
470,-
471,0.2
472,0.5
473,-
474,-
475,0.1
476,0.5
477,0.1
478,-
479,0.8
480,-
481,-
482,-
483,-
484,-
485,0.6
486,0.8
487,-
488,-
489,0.7
490,-
491,-
492,0.5
493,0.2
494,-
495,-
496,-
497,0.3
498,0.1
499,-
500,-
501,0.1
502,-
503,-
504,-
505,0.5
506,1
507,-
508,-
509,-
510,-
511,-
512,-
513,-
514,-
515,0.2
516,-
517,-
518,-
519,-
520,-
521,-
522,-
523,-
524,-
525,-
526,-
527,-
528,-
529,0.6
530,-
531,0.8
532,-
533,-
534,-
535,-
536,-
537,-
538,-
539,0.5
540,0.5
541,-
542,-
