,Name,Club,Age,Height,National,Positions
83,Lucas Perri,Lyon,27 years old (10-12-1997),197cm,Brazil,Goalkeeper
84,Alexsandro Ribeiro,Lille,25 years old (09-08-1999),189cm,Brazil,Defender (Centre)
85,Douglas Augusto,Nantes,28 years old (13-01-1997),173cm,Brazil,Defensive Midfielder (C)
86,Alidu Seidu,Rennes,24 years old (04-06-2000),173cm,Ghana,"Defender (Centre, Right)"
87,Ali Abdi,Nice,31 years old (20-12-1993),183cm,Tunisia,Midfielder (Left)
88,Alexandre Lacazette,Lyon,33 years old (28-05-1991),175cm,France,"Midfielder (Centre, Left, Right), Forward"
89,Morgan Sanson,Nice,30 years old (18-08-1994),180cm,France,"Midfielder (Centre, Left, Right)"
90,Aron Dønnum,Toulouse,27 years old (20-04-1998),179cm,Norway,"Midfielder (Centre, Left, Right)"
91,Adrien Thomasson,Lens,31 years old (10-12-1993),175cm,France,"Midfielder (Centre, Left, Right)"
92,Hervé Koffi,Lens,28 years old (16-10-1996),186cm,Burkina Faso,Goalkeeper
93,Eliesse Ben Seghir,Monaco,20 years old (16-02-2005),178cm,Morocco,"Attacking Midfielder (Centre, Left), Forward"
94,Marshall Munetsi,Wolves,28 years old (22-06-1996),188cm,Zimbabwe,"Defender (Centre), Midfielder (Centre)"
95,Ismaël Bennacer,Marseille,27 years old (01-12-1997),175cm,Algeria,Midfielder (Centre)
96,Caio Henrique,Monaco,27 years old (31-07-1997),178cm,Brazil,"Defender (Left), Midfielder (Centre, Left)"
97,Mory Gbane,Reims,24 years old (25-12-2000),188cm,Ivory Coast,"Defender (Centre), Defensive Midfielder (C)"
98,Brice Samba,Rennes,31 years old (25-04-1994),187cm,France,Goalkeeper
99,Gift Orban,Hoffenheim,22 years old (17-07-2002),178cm,Nigeria,Forward
100,Tanguy Ndombélé,Nice,28 years old (28-12-1996),181cm,France,Midfielder (Centre)
101,Leonardo Balerdi,Marseille,26 years old (26-01-1999),187cm,Argentina,Defender (Centre)
102,Yanis Zouaoui,Le Havre,27 years old (28-04-1998),183cm,,Defender (Left)
103,Gonçalo Ramos,Paris Saint-Germain,23 years old (20-06-2001),185cm,Portugal,"Attacking Midfielder (Centre), Forward"
104,Mohammed Salisu,Monaco,26 years old (17-04-1999),191cm,Ghana,"Defender (Centre, Left)"
105,Ismaily,Lille,35 years old (11-01-1990),177cm,Brazil,Defender (Left)
106,Beraldo,Paris Saint-Germain,21 years old (24-11-2003),186cm,,"Defender (Centre, Left)"
107,Lucas Stassin,Saint-Etienne,20 years old (29-11-2004),171cm,Belgium,Forward
108,Adrien Truffert,Rennes,23 years old (20-11-2001),176cm,France,"Defender (Left), Midfielder (Left)"
109,Neil El Aynaoui,Lens,23 years old (02-07-2001),185cm,France,Defensive Midfielder (C)
110,Julien Le Cardinal,Brest,27 years old (03-08-1997),182cm,France,Defender (Centre)
111,Arnaud Kalimuendo,Rennes,23 years old (20-01-2002),178cm,France,Forward
112,Pierre Lees-Melou,Brest,31 years old (25-05-1993),185cm,France,"Midfielder (Centre, Left, Right)"
113,Kenny Lala,Brest,33 years old (03-10-1991),178cm,France,"Defender (Left, Right), Midfielder (Right)"
114,Gerónimo Rulli,Marseille,32 years old (20-05-1992),189cm,Argentina,Goalkeeper
115,Clinton Mata,Lyon,32 years old (07-11-1992),180cm,Angola,"Defender (Centre, Right), Midfielder (Right)"
116,Himad Abdelli,Angers,25 years old (17-11-1999),185cm,France,"Attacking Midfielder (Centre, Left), Forward"
117,Joseph Okumu,Reims,27 years old (26-05-1997),193cm,Kenya,Defender (Centre)
118,Milan Skriniar,Fenerbahce,30 years old (11-02-1995),188cm,Slovakia,Defender (Centre)
119,Keito Nakamura,Reims,24 years old (28-07-2000),180cm,,Attacking Midfielder (Left)
120,Pierre Ekwah,Saint-Etienne,23 years old (15-01-2002),189cm,France,Defensive Midfielder (C)
121,Vincent Sierro,Toulouse,29 years old (08-10-1995),185cm,Switzerland,Midfielder (Centre)
