,BlkSh,BlkCr,BlkPs
406,-,0.1,0.6
407,0.3,0.1,0.5
408,0.3,-,0.3
409,1,-,-
410,0.8,0.2,0.5
411,0.1,-,0.2
412,0.5,0.1,0.9
413,0.1,-,0.2
414,0.1,-,0.3
415,-,0.3,-
416,0.1,-,0.3
417,-,-,0.4
418,-,0.5,0.5
419,-,-,-
420,-,-,0.1
421,-,-,0.3
422,-,-,0.3
423,0.1,-,0.7
424,-,-,-
425,0.1,-,0.6
426,0.2,0.1,0.7
427,0.1,-,0.1
428,-,0.3,0.3
429,0.2,0.2,0.2
430,-,-,0.1
431,-,-,-
432,-,-,0.4
433,-,-,-
434,0.1,-,-
435,-,-,-
436,-,-,-
437,-,-,0.8
438,0.4,-,0.4
439,-,0.1,0.1
440,-,-,-
441,-,0.5,0.3
442,-,-,0.3
443,-,-,0.3
444,0.2,0.2,0.3
445,-,-,0.6
446,-,-,-
447,-,-,-
448,-,-,0.2
449,-,-,-
450,-,-,-
451,0.2,0.2,0.4
452,-,-,-
453,-,-,-
454,-,-,0.3
455,0.3,-,0.1
456,0.1,-,0.2
457,-,-,1
458,-,-,-
459,-,-,-
460,0.3,0.2,0.4
461,-,0.1,0.4
462,0.1,-,0.1
463,0.4,0.3,0.5
464,-,0.2,0.2
465,-,-,-
466,-,-,-
467,0.1,-,0.3
468,0.1,-,0.1
469,-,-,-
470,-,-,-
471,-,-,-
472,-,-,-
473,-,-,-
474,-,-,-
475,0.1,-,0.4
476,1,-,-
477,0.1,-,0.1
478,-,-,-
479,-,-,-
480,-,-,-
481,-,-,2
482,-,-,0.3
483,0.2,-,0.3
484,-,-,0.5
485,0.1,-,0.9
486,0.5,-,0.8
487,0.1,-,0.1
488,-,-,0.5
489,-,0.3,-
490,-,-,-
491,0.1,-,0.4
492,-,-,-
493,0.1,-,0.2
494,0.1,-,-
495,-,-,0.2
496,-,-,-
497,-,-,0.6
498,-,0.1,0.2
499,-,0.3,-
500,0.5,-,0.5
