,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
337,-,-,-,-,-,-,-
338,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-
340,-,-,-,-,-,-,-
341,-,-,-,-,-,0.1,0.1
342,-,-,-,-,-,-,-
343,-,-,-,-,-,0.1,0.1
344,-,-,-,-,-,-,-
345,-,-,-,-,-,-,-
346,-,-,-,-,-,-,-
347,-,-,-,-,-,0.1,0.1
348,-,-,-,-,-,-,-
349,-,-,-,-,-,-,-
350,-,-,-,-,-,-,-
351,-,-,-,-,-,0.1,0.1
352,-,-,-,-,-,-,-
353,-,-,-,-,-,-,-
354,-,-,-,-,-,-,-
355,-,-,-,-,-,-,-
356,-,-,-,-,-,-,-
357,-,-,-,-,-,-,-
358,-,-,-,-,-,-,-
359,-,-,-,-,-,-,-
360,-,-,-,-,-,0.1,0.1
361,-,-,-,-,-,-,-
362,-,-,-,-,-,-,-
363,-,-,-,-,-,-,-
364,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-
366,-,-,-,-,-,-,-
367,-,-,-,-,-,-,-
368,-,-,-,-,-,-,-
369,-,-,-,-,-,-,-
370,-,-,-,-,-,-,-
371,-,-,-,-,-,-,-
372,-,-,-,-,-,-,-
373,-,-,-,-,-,-,-
374,-,-,-,-,-,0.1,0.1
375,-,-,-,-,-,0.1,0.1
376,-,-,-,-,-,-,-
377,-,-,-,-,-,-,-
378,-,-,-,-,-,-,-
379,-,-,-,-,-,-,-
380,-,-,-,-,-,-,-
381,-,-,-,-,-,0.1,0.1
382,-,-,-,-,-,-,-
383,-,-,-,-,-,-,-
384,-,-,-,-,-,0.3,0.3
385,-,-,-,-,-,0.1,0.1
386,-,-,-,-,-,-,0.1
387,-,-,-,-,-,-,-
388,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-
391,-,-,-,-,-,-,-
392,-,-,-,-,-,-,-
393,-,-,-,-,-,-,-
394,-,-,-,-,-,-,-
395,-,-,-,-,-,-,-
396,-,-,-,-,-,-,-
397,-,-,-,-,-,-,-
398,-,-,-,-,-,-,-
399,-,-,-,-,-,-,-
400,-,-,-,-,-,-,-
401,-,-,-,-,-,-,-
402,-,-,-,-,-,-,-
403,-,-,-,-,-,-,-
404,-,-,-,-,-,0.1,0.1
405,-,-,-,-,-,0.1,0.1
406,-,-,-,-,-,0.1,0.1
407,-,-,-,-,-,0.1,0.1
408,-,-,-,-,-,-,-
409,-,-,-,-,-,-,-
410,-,-,-,-,-,0.1,0.1
411,-,-,-,-,-,-,-
412,-,-,-,-,-,-,-
413,-,-,-,-,-,-,-
414,-,-,-,-,-,-,-
415,-,-,-,-,-,-,-
416,0.1,-,-,-,-,-,0.1
417,-,-,-,-,-,-,-
