,TotKPs,LKPs,SKPs
385,0.4,0.1,0.3
386,0.4,-,0.4
387,0.3,-,0.3
388,-,-,-
389,-,-,-
390,-,-,-
391,0.7,-,0.7
392,0.3,-,0.3
393,0.2,-,0.2
394,0.6,0.3,0.4
395,0.1,-,0.1
396,0.2,0.1,0.1
397,0.4,-,0.4
398,0.6,0.3,0.3
399,0.8,0.2,0.5
400,0.4,-,0.4
401,-,-,-
402,0.6,-,0.6
403,0.3,-,0.3
404,0.5,-,0.5
405,0.3,-,0.3
406,0.2,-,0.2
407,0.5,-,0.5
408,-,-,-
409,-,-,-
410,0.2,-,0.2
411,0.3,-,0.3
412,0.5,-,0.5
413,0.2,-,0.2
414,0.8,-,0.8
415,0.3,-,0.3
416,0.4,0.1,0.4
417,0.6,0.1,0.6
418,0.5,0.5,-
419,-,-,-
420,0.4,-,0.4
421,0.8,-,0.8
422,0.1,-,0.1
423,0.7,-,0.7
424,0.5,-,0.5
425,0.5,-,0.4
426,-,-,-
427,0.4,0.1,0.3
428,-,-,-
429,0.2,-,0.2
430,0.1,-,0.1
431,-,-,-
432,0.2,-,0.2
433,0.1,-,0.1
434,0.1,-,0.1
435,-,-,-
436,-,-,-
437,-,-,-
438,-,-,-
439,0.1,-,0.1
440,-,-,-
441,0.8,-,0.8
442,0.1,-,0.1
443,0.1,-,0.1
444,0.3,-,0.3
445,0.4,0.1,0.4
446,1,-,1
447,-,-,-
448,0.7,0.1,0.6
449,-,-,-
450,-,-,-
451,0.2,-,0.2
452,-,-,-
453,-,-,-
454,-,-,-
455,0.4,0.1,0.3
456,0.5,-,0.5
457,-,-,-
458,-,-,-
459,-,-,-
460,0.1,-,0.1
461,0.3,-,0.3
462,0.2,0.1,0.1
463,0.3,0.1,0.2
464,0.1,-,0.1
465,-,-,-
466,-,-,-
467,0.3,-,0.3
468,-,-,-
469,-,-,-
470,-,-,-
471,-,-,-
472,-,-,-
473,-,-,-
474,-,-,-
475,0.5,-,0.5
476,-,-,-
477,0.3,-,0.3
478,-,-,-
479,-,-,-
480,-,-,-
481,1,1,-
482,0.5,0.2,0.3
483,-,-,-
484,-,-,-
485,0.1,-,0.1
486,0.6,-,0.6
