Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Djed Spence,14(5),1334,1,2,2,1,0.4,88.4,0.8,1,6.90
Carlos Baleba,25(3),2158,2,1,6,1,1.4,87.7,1.3,1,6.89
Lewis Cook,29(2),2662,1,3,8,-,0.5,81.2,1.3,-,6.89
Brennan Johnson,22(7),1975,11,3,5,-,1.8,77.4,0.2,2,6.89
Neco Williams,22(7),2052,1,2,5,-,1.1,80.8,1.1,1,6.89
Maxence Lacroix,29,2579,1,1,5,-,0.9,82.4,1.9,2,6.89
Alex Palmer,8,720,-,-,2,-,-,64.3,0.4,-,6.89
Ibrahima Konaté,25(1),2145,1,2,5,-,0.5,90.4,2.6,-,6.89
Marcus Tavernier,16(7),1533,3,5,5,-,2,79.7,0.9,-,6.88
William Saliba,30,2636,2,-,2,1,0.2,94,1.9,2,6.87
Dominik Szoboszlai,24(6),2122,5,3,6,-,1.9,85.5,0.6,2,6.86
Lisandro Martínez,20,1754,2,1,7,-,0.9,90,0.8,1,6.86
Diogo Dalot,31,2757,-,3,5,-,0.7,83.8,1.2,-,6.86
Mohammed Kudus,26,2180,3,2,1,1,2.4,89.8,0.4,-,6.85
Yankuba Minteh,15(11),1409,5,4,6,-,1,67,0.6,2,6.85
Evanilson,22(3),1827,9,-,-,-,2.4,68.9,1.5,2,6.85
Marcus Rashford,3(5),360,1,2,-,-,1.9,82.8,0.1,1,6.85
Cristian Romero,17,1375,1,-,2,-,0.9,89.4,2.4,-,6.85
Jean-Philippe Mateta,29(2),2367,13,2,2,-,1.9,68.2,1.8,3,6.85
Martin Dúbravka,10,900,-,-,-,-,-,75.9,0.4,-,6.85
Matz Sels,32,2880,-,-,2,-,-,47,0.5,1,6.84
Marco Asensio,4(3),394,3,1,1,-,2.4,86.4,-,1,6.84
Noni Madueke,21(5),1613,7,3,3,-,2.7,84.5,0.3,2,6.84
Dan Burn,31,2790,-,-,9,-,0.5,89.1,4,-,6.83
Martin Ødegaard,21(3),1870,2,4,4,-,1.5,87.4,0.3,1,6.83
Idrissa Gueye,29(2),2541,-,3,7,-,0.8,87,0.7,1,6.83
Ola Aina,30,2575,2,1,2,-,0.3,79.7,0.4,3,6.83
Casemiro,15(6),1274,1,-,3,-,1.3,80.3,1.5,2,6.83
Jordan Pickford,32,2880,-,1,6,-,-,61.9,0.2,3,6.82
Kenny Tete,15(1),1274,-,2,3,-,1.1,83,0.9,1,6.82
Cody Gakpo,17(12),1502,8,3,4,-,1.5,84.3,0.4,2,6.82
Mario Lemina,15(2),1365,1,3,4,-,1.1,81.3,1.5,2,6.82
Pervis Estupiñán,21(4),1953,1,1,4,-,0.7,88.3,1.4,1,6.82
Tomás Soucek,25(4),2155,7,1,8,-,1.6,74.3,3,2,6.82
Mikel Merino,14(10),1340,6,1,2,-,1.3,80,2.3,3,6.81
Joachim Andersen,23,2033,-,-,5,1,0.6,83.2,2.4,1,6.81
Phil Foden,19(6),1689,7,2,2,-,2.1,88.4,0.1,1,6.81
Milos Kerkez,32,2810,2,5,4,-,0.5,80.1,0.7,1,6.81
Jarrad Branthwaite,23(2),2076,-,1,4,-,0.3,81.6,1.8,-,6.81
Nico O'Reilly,3(2),275,1,-,-,-,0.8,87.8,0.4,-,6.80
Tyrone Mings,10(2),961,-,-,1,-,0.7,89.1,2,-,6.80
Marshall Munetsi,7(1),610,1,1,-,-,1.9,74.8,2,-,6.80
Kevin Schade,20(12),1847,7,2,3,-,1.3,63.4,2.3,3,6.80
