Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Ethan Nwaneri,10(12),776,3,2,1,-,0.9,88.7,0.1,1,6.62
Sander Berge,21(4),1886,-,-,4,-,0.1,91.1,1,-,6.62
Marcos Senesi,12(2),1012,-,-,5,-,0.1,77.8,1.7,1,6.61
Adam Webster,8(3),618,-,-,-,-,0.1,86,1.5,-,6.61
Orel Mangala,14(5),1256,1,-,2,-,0.8,90.3,0.3,-,6.61
Facundo Buonanotte,13(14),1394,4,2,7,-,1.1,79.9,0.5,2,6.61
João Gomes,30,2525,3,1,8,1,1.1,86.5,0.3,1,6.60
Georginio Rutter,19(9),1667,5,3,2,-,1.8,68.6,0.9,-,6.60
Ezri Konsa,27(1),2397,1,-,-,-,0.3,93,0.9,-,6.60
Beto,10(14),1095,6,-,2,-,1.4,57.8,2.9,1,6.60
Reiss Nelson,5(6),486,1,1,1,-,1.1,91.4,-,-,6.60
Micky van de Ven,10(1),907,-,2,4,-,0.5,91,1.6,-,6.60
Manuel Ugarte,19(5),1537,1,-,9,-,0.7,87.9,0.7,-,6.59
Ryan Manning,15(5),1203,-,-,2,-,0.3,86.1,0.6,-,6.59
Andreas Pereira,21(8),1754,2,4,8,-,1.1,77.7,0.4,-,6.59
Dominic Calvert-Lewin,19(3),1582,3,1,2,-,2.1,63.5,3.8,1,6.59
Nicolás Domínguez,18(10),1571,-,-,8,-,0.6,87.8,0.6,-,6.59
Caoimhín Kelleher,10,900,-,-,-,-,-,72.1,0.2,-,6.59
Dean Henderson,32,2880,-,-,3,-,-,58.2,0.3,1,6.59
Boubacar Kamara,14(6),1201,-,-,2,-,0.3,89.2,0.7,2,6.59
Rúben Dias,19(2),1729,-,-,4,-,0.7,93.6,1.3,-,6.59
Arijanet Muric,18,1620,-,-,1,-,-,68.2,0.6,2,6.59
Marc Cucurella,27(3),2451,4,1,7,1,0.6,88.9,0.8,2,6.59
Jefferson Lerma,22(5),1899,-,1,7,-,0.9,78,1.6,-,6.59
Andy Robertson,26(4),2228,-,-,3,1,0.4,88.5,0.2,-,6.58
Robin Olsen,1(2),180,-,-,-,-,-,70.7,-,-,6.58
Yasin Ayari,18(10),1637,-,1,3,-,0.9,85.2,0.5,-,6.58
Jonny Evans,3(3),290,-,-,1,-,0.2,89.1,1.5,-,6.57
Konstantinos Mavropanos,19(9),1846,-,-,3,1,0.6,86.4,2,-,6.57
Emerson,23(4),1865,2,1,5,-,0.5,81.6,0.6,-,6.57
André Onana,31,2790,-,-,-,-,-,70,0.2,-,6.57
Gabriel Jesus,6(11),604,3,-,4,-,1.2,80,0.5,1,6.57
Lucas Paquetá,24(4),2083,4,-,8,-,1.4,78,1.5,-,6.57
Curtis Jones,16(11),1418,3,3,1,1,1.1,94.1,0.5,1,6.56
Joe Gomez,6(3),519,-,-,1,-,0.3,89.4,1,-,6.56
Rodrigo Muniz,8(23),952,8,1,1,-,1.3,65.7,2.2,1,6.56
Ben White,8(4),764,-,1,2,-,0.5,85.1,0.9,-,6.56
Robert Sánchez,26,2340,-,-,5,-,-,67.9,0.2,2,6.56
Emile Smith Rowe,23(6),1846,5,2,2,-,1.1,91.2,0.2,-,6.55
Ashley Young,17(10),1586,1,3,6,1,0.2,72.7,0.4,1,6.55
Pape Sarr,17(13),1512,3,2,6,-,0.9,88.1,0.8,1,6.55
Toby Collyer,0(6),175,-,-,-,-,0.2,82.2,0.5,-,6.55
Jacob Greaves,19,1666,1,-,4,-,0.4,87.6,2.9,-,6.55
Jamie Vardy,30,2433,7,3,5,-,1.7,70.4,1.6,1,6.55
Rodri,1(1),66,-,-,-,-,-,93.4,0.5,-,6.55
André,25(2),2009,-,-,6,-,0.3,92.8,0.1,-,6.54
Ross Barkley,3(13),546,3,1,3,-,0.9,86.8,0.4,1,6.54
Trevoh Chalobah,7(2),566,-,1,1,-,0.7,90.2,2,1,6.53
James Justin,30,2535,2,1,5,-,0.8,77.1,1.9,-,6.53
Leif Davis,29(1),2535,1,2,5,-,0.5,80.6,1.1,1,6.53
Richarlison,2(8),294,3,1,1,-,0.8,69,0.8,-,6.53
Victor Kristiansen,28,2388,-,1,1,-,0.1,82.1,0.7,-,6.53
Ryan Sessegnon,3(7),245,3,1,-,-,1,76.2,0.4,-,6.53
Álex Moreno,11(4),960,-,1,2,-,0.4,77.8,0.2,-,6.53
Mads Hermansen,25,2206,-,-,1,-,-,56.8,0.2,-,6.52
Carlos Alcaraz,0(1),9,-,-,-,-,1,100,1,-,6.52
