,TotKPs,LKPs,SKPs
481,-,-,-
482,-,-,-
483,0.1,-,0.1
484,0.6,0.2,0.4
485,-,-,-
486,-,-,-
487,-,-,-
488,0.8,-,0.8
489,0.3,-,0.3
490,-,-,-
491,-,-,-
492,0.3,-,0.3
493,0.3,-,0.3
494,-,-,-
495,-,-,-
496,1,0.5,0.5
497,0.1,-,0.1
498,0.1,-,0.1
499,0.5,-,0.5
500,-,-,-
501,0.5,-,0.5
502,-,-,-
503,-,-,-
504,0.3,-,0.3
505,-,-,-
506,0.1,-,0.1
507,0.3,-,0.3
508,-,-,-
509,-,-,-
510,-,-,-
511,0.3,0.1,0.2
512,0.1,-,0.1
513,0.1,-,0.1
514,0.1,-,0.1
515,-,-,-
516,0.3,-,0.3
517,0.1,-,0.1
518,-,-,-
519,-,-,-
520,-,-,-
521,0.1,0.1,-
522,0.3,-,0.3
523,0.2,-,0.2
524,0.3,-,0.3
525,0.5,-,0.5
526,-,-,-
527,-,-,-
528,0.3,-,0.3
529,-,-,-
530,-,-,-
531,-,-,-
532,-,-,-
533,-,-,-
534,-,-,-
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,-
540,-,-,-
541,-,-,-
542,-,-,-
543,-,-,-
544,-,-,-
545,-,-,-
546,0.2,-,0.2
547,-,-,-
548,-,-,-
549,0.3,-,0.3
550,-,-,-
551,0.5,-,0.5
552,0.1,-,0.1
553,0.3,-,0.3
554,-,-,-
555,-,-,-
556,0.1,-,0.1
557,1,-,1
558,-,-,-
559,-,-,-
560,0.1,-,0.1
561,-,-,-
562,-,-,-
563,-,-,-
