,TotPs,AccLB,InAccLB,AccSP,InAccSP
234,32.2,0.7,0.8,28,2.7
235,39.3,2.1,2.5,31.8,2.8
236,27.9,1,1.7,21.8,3.4
237,34.3,4.3,10.1,19.7,0.2
238,11.2,0.1,0.1,8.8,2.1
239,42,2.3,1.5,30.5,7.7
240,30.5,0.6,0.4,28.1,1.4
241,46.2,1.4,1.7,39.9,3.2
242,4.5,0.3,0.1,2.7,1.5
243,28.6,1.1,1.2,23.3,3.1
244,33.4,4.2,10.2,18.4,0.5
245,30.8,0.5,0.2,27.6,2.5
246,23,2,2.9,14.7,3.3
247,28.7,0.4,0.4,24.8,3
248,15,0.3,0.2,12,2.5
249,45.4,0.9,2.4,38.8,3.3
250,10.6,0.1,0.1,7.3,3
251,30.5,2.5,-,26,2
252,38.6,1.5,0.6,34.3,2.1
253,22.8,0.6,0.3,19.2,2.7
254,48.9,1.3,1.7,42.8,3.1
255,34.6,1,2.3,25.7,5.6
256,29.4,1.1,1.3,22.6,4.4
257,7.1,0.1,-,4.8,2.2
258,35.9,1.5,2.3,27.9,4.1
259,6.3,0.2,-,4.6,1.5
260,21.3,0.4,1.1,16.2,3.7
261,34.5,5.5,14.2,14.1,0.7
262,11,1,-,10,-
263,23.9,2.1,3.3,17.6,0.9
264,8,0.4,0.2,5.3,2.2
265,16.3,0.4,0.3,13.6,1.9
266,32.6,1.5,1.9,26,3.1
267,33.3,6.5,10.5,15.5,0.8
268,27.6,0.7,0.5,22,4.4
269,37.4,1.6,1.6,30.4,3.9
270,60.6,2.4,2.8,52,3.4
271,35.2,1,0.5,29.7,4.1
272,20.1,0.5,0.3,16.3,3
273,15.5,0.5,0.4,12.5,2.1
274,10.6,0.3,0.3,6.3,3.8
275,26,1.1,0.5,22.2,2.2
276,53.2,1.2,1.4,49,1.6
277,24.5,1,0.6,20.5,2.5
278,25,0.5,0.6,20.4,3.4
279,14.6,0.6,0.1,11.3,2.6
280,8.8,-,0.3,5.8,2.8
281,27.4,1,1.3,20.3,4.8
282,5.9,0.1,-,4.6,1.2
283,18.4,0.4,0.4,15,2.6
284,60.6,2.6,1.8,52,4.2
285,28.3,0.8,1.2,22.3,4
286,16.9,0.7,0.3,13.8,2
287,29.3,1.5,0.9,22,5
288,17.2,0.2,0.3,14,2.7
289,22.9,0.5,1.2,19.8,1.5
290,43.8,0.8,0.8,39.4,2.8
291,16.5,0.6,0.5,13.5,1.8
292,33.5,8.7,11.8,13,-
293,11.6,0.2,0.4,8.9,2.1
294,13.9,0.4,0.5,10.6,2.5
295,20.5,0.7,2.9,14,2.9
296,7.1,0.3,-,5.7,1.2
297,21.6,0.5,0.1,19.2,1.8
298,45.6,0.7,0.8,40.6,3.4
299,21.3,0.2,0.2,18.3,2.5
300,4,-,1,3,-
301,42.6,1.4,1.1,36.4,3.6
302,25.9,0.3,0.3,24,1.4
303,6.1,0.2,0.3,3.8,1.8
304,33.5,5.3,7.5,20.4,0.4
305,6,4,2,-,-
306,31.6,5.1,5.2,20.6,0.7
307,18.6,0.5,0.6,14.1,3.4
308,15.4,0.2,0.7,11.8,2.7
309,4.3,0.3,0.3,3.3,0.3
310,65.2,0.8,2.8,58.7,2.8
311,46,1,0.5,41.2,3.3
312,8,0.2,0.3,5.6,2
313,27,0.3,1,19.3,6.3
314,35.6,8.9,12.4,13.4,0.9
315,58.7,1.9,3.5,50,3.3
316,29.4,1.4,1,24,3
317,15,0.6,0.8,10.9,2.7
318,72.9,2.3,1.2,66.6,2.9
319,35.5,1,2.1,30,2.3
320,26.5,0.6,0.3,23.8,1.8
321,32.1,0.8,0.8,28,2.5
322,27,3.9,11.3,11.7,0.2
323,82,5,5,65,7
324,15.1,0.6,0.3,11.1,3.1
325,36.5,1.6,0.6,31.7,2.5
326,25,0.9,0.8,20.7,2.6
327,33,2,1.5,27,2.5
328,15.1,0.5,0.8,10.6,3.3
329,18.6,0.3,0.4,16.1,1.8
330,12.2,0.1,-,10.9,1.1
331,38,2.2,2.8,31.3,1.6
332,19.7,1.6,0.7,14.6,2.8
333,12,0.2,0.3,9.8,1.8
334,35,1.4,1.1,28.9,3.6
335,32.5,0.5,0.5,28.5,3
336,19.5,0.7,0.5,17.2,1.1
337,9,0.2,0.4,6.5,1.9
338,44.1,2.3,3,36.2,2.6
339,22.9,0.4,0.8,18.3,3.4
340,43.9,1.7,1.8,36.7,3.7
341,79.6,4,4,68.5,3
342,12.2,0.2,0.4,9.5,2.2
343,26.9,2.5,1.9,20.4,2.1
344,53.2,1.7,2.2,46.6,2.7
345,22.3,0.5,2.1,17.5,2.2
346,64.2,3,2.9,54,4.3
347,15.2,0.8,0.5,10.9,2.9
348,23.3,0.8,1.2,18.3,3
349,31.8,1.1,1.7,26.8,2.1
350,19,2,2.3,11.7,3
351,10.8,0.3,0.1,8.3,2.1
352,11.6,0.3,0.4,8.8,2
353,10.8,0.1,0.3,7.9,2.6
354,35.6,1.1,1.8,29.7,3
