,TotClr
344,4.1
345,1.4
346,4
347,0.3
348,1.6
349,2.4
350,2
351,0.3
352,0.7
353,0.1
354,4.2
355,0.3
356,-
357,0.1
358,0.5
359,0.5
360,0.2
361,1.7
362,1.1
363,2
364,1.8
365,1.2
366,1
367,0.8
368,0.2
369,2.9
370,2.9
371,2
372,2.9
373,3.2
374,-
375,2
376,0.7
377,-
378,-
379,1.3
380,2.1
381,0.1
382,0.7
383,0.3
384,1.3
385,0.3
386,-
387,0.7
388,0.6
389,3.3
390,2.3
391,0.9
392,1.5
393,0.5
394,0.6
395,0.3
396,0.3
397,2.7
398,0.4
399,0.2
400,0.2
401,0.3
402,0.6
403,3
404,-
405,1.6
406,0.8
407,0.2
408,0.3
409,1.8
410,3.5
411,-
412,2.8
413,0.6
414,0.3
415,0.7
416,0.8
417,0.2
418,-
419,1.5
420,0.1
421,5.3
422,0.5
423,0.1
424,1.6
425,0.3
426,3.4
427,1.5
428,2.8
429,0.4
430,0.5
431,0.7
432,0.2
433,0.1
434,0.3
435,0.5
436,7
437,-
438,0.8
439,0.4
440,-
441,-
442,-
443,0.2
444,1.9
445,0.4
446,0.1
447,0.5
448,3.5
449,0.7
450,0.4
451,0.3
452,0.4
453,0.2
454,1.4
455,1.4
456,0.2
457,0.1
458,0.1
459,0.6
460,2.3
461,0.1
462,1.1
463,-
464,0.1
465,0.4
466,1.6
467,0.5
468,0.6
469,-
470,-
471,-
472,0.6
473,0.3
474,0.5
475,1
476,1
477,0.5
478,0.6
479,0.1
480,0.8
481,1
482,0.3
483,0.2
484,0.9
485,-
486,0.4
487,-
488,0.8
489,-
490,-
491,1.7
492,0.4
493,0.1
494,-
495,1.4
496,-
497,0.3
498,0.2
499,-
500,-
501,-
502,0.3
503,-
504,0.1
505,0.5
506,0.2
507,0.3
508,-
509,-
510,2
511,0.4
512,0.1
513,0.1
514,2.6
515,0.3
516,0.3
517,0.2
518,0.7
519,-
520,0.5
521,2.9
522,0.1
523,1
524,-
525,-
526,2
527,-
528,0.3
529,1
530,-
531,0.3
532,-
533,-
534,1
535,-
536,-
537,-
538,1
539,1
540,-
541,-
542,1
543,-
544,-
545,-
546,0.2
547,0.7
548,-
549,1
550,0.5
551,0.5
552,0.1
553,0.3
554,-
555,0.5
556,0.1
557,-
558,-
559,-
560,1.7
561,-
562,0.5
563,3
