,UnDrib,SucDrib,TotDrib
485,-,-,-
486,0.7,0.1,0.8
487,0.3,-,0.3
488,-,-,-
489,0.1,0.1,0.2
490,-,-,-
491,-,-,-
492,0.4,-,0.4
493,0.6,-,0.6
494,-,-,-
495,-,-,-
496,-,-,-
497,-,0.1,0.1
498,0.2,0.1,0.3
499,1,-,1
500,0.3,-,0.3
501,0.4,-,0.4
502,0.3,-,0.3
503,-,-,-
504,0.1,0.4,0.5
505,-,-,-
506,0.6,0.8,1.3
507,1,-,1
508,-,-,-
509,2,-,2
510,3,-,3
511,0.3,0.1,0.4
512,0.2,-,0.2
513,0.3,0.2,0.5
514,0.3,-,0.3
515,-,-,-
516,0.3,0.3,0.5
517,0.2,-,0.2
518,-,-,-
519,-,1,1
520,0.5,-,0.5
521,0.1,0.1,0.1
522,-,0.1,0.1
523,0.1,-,0.1
524,0.3,-,0.3
525,2,-,2
526,1,-,1
527,-,-,-
528,-,0.3,0.3
529,0.5,-,0.5
530,-,-,-
531,0.3,0.3,0.5
532,-,-,-
533,-,-,-
534,-,-,-
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,-
540,-,-,-
541,-,-,-
542,-,1,1
543,-,-,-
544,-,-,-
545,-,-,-
546,0.3,0.4,0.6
547,0.2,0.2,0.3
548,-,-,-
549,0.1,0.3,0.4
550,0.5,-,0.5
551,0.5,-,0.5
552,0.3,0.1,0.4
553,-,0.3,0.3
554,-,-,-
555,0.5,-,0.5
556,1,0.4,1.4
557,-,-,-
558,2,-,2
559,-,-,-
560,0.1,0.1,0.3
561,-,-,-
562,-,-,-
563,-,-,-
