,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
21,Daniel Muñoz,Crystal Palace,28 years old (26-05-1996),180cm,Colombia,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",3.8,1.6,2.2,-,-,-,-,-,0.1,0.1,0.1,0.4,1,0.3,-,2.4,1,0.6,1.5,0.6,1.5,0.1,-,0.1,-,1.2,1.2,-,1.1,0.4,30.9,0.8,1.3,22.3,6.5,1.5,0.6,-,-,-,-,1,0.1,0.2,0.7,3.4,1.2,4.6,Daniel Muñoz,31,2693,4,4,8,-,1,74.7,1.6,1,7.08
22,James Tarkowski,Everton,32 years old (19-11-1992),185cm,England,Defender (Centre),4.3,3.2,1.1,-,-,-,-,-,-,-,1.3,0.1,0.5,0.2,-,6.4,0.1,0.2,0.2,0.8,1.1,-,-,-,-,1.3,0.5,0.1,0.3,0.1,39,3.9,3.3,27.8,4,0.4,0.2,-,-,-,-,0.4,-,0.1,0.3,1.9,0.5,2.4,James Tarkowski,32,2872,1,1,6,-,0.4,81.5,3.2,2,7.08
23,Jarrod Bowen,West Ham,28 years old (20-12-1996),175cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",1.7,0.3,1.4,-,-,-,-,-,0.1,0.2,0.1,0.1,0.6,-,-,0.6,2.4,1.4,3.9,1.5,0.6,0.3,0.1,0.2,-,0.6,1.6,0.3,1.3,0.3,20,0.6,0.2,15.3,3.9,2.3,2.3,-,-,-,-,2.6,0.8,0.3,1.5,1.3,0.7,2,Jarrod Bowen,28,2461,8,5,1,-,2.6,79.4,0.3,4,7.06
24,Mikkel Damsgaard,Brentford,24 years old (03-07-2000),180cm,Denmark,"Attacking Midfielder (Centre, Left)",1.1,0.4,0.8,0.1,0.1,0.1,-,-,0.1,0.3,0.1,0.1,1,0.1,-,0.9,1.3,1.4,2.7,0.7,0.4,0.1,-,0.1,-,0.8,1.7,0.4,1.3,0.2,35.2,1.6,1.5,25.8,6.3,1.7,1.3,-,-,-,-,1,0.3,-,0.7,2.3,1.3,3.6,Mikkel Damsgaard,28(4),2423,2,10,2,-,1,77.7,0.4,2,7.06
25,Alexis Mac Allister,Liverpool,26 years old (24-12-1998),176cm,Argentina,"Midfielder (Centre, Left), Forward",1.6,0.6,1,-,-,-,-,-,0.1,0.1,0.2,-,1.7,0.2,-,0.8,0.8,0.5,1.3,1.2,1.9,0.1,-,0.1,-,0.6,1.2,0.3,0.9,0.1,42.3,1.5,1.1,35.3,4.4,0.8,0.6,-,-,-,-,1.1,0.5,-,0.6,2.7,1.4,4.1,Alexis Mac Allister,28(3),2390,4,4,6,-,1.1,87,0.6,-,7.06
26,Jacob Murphy,Newcastle,30 years old (24-02-1995),179cm,England,"Defender (Right), Midfielder (Left, Right)",0.6,0.1,0.5,0.1,-,0.1,-,-,0.2,0.4,-,0.1,1,0.1,-,0.6,0.9,1,1.9,0.3,0.4,0.3,0.1,0.2,-,0.4,1.2,0.1,1.1,0.1,23.5,0.7,0.8,17.1,4.9,0.9,1.1,-,-,-,-,1.3,0.6,0.2,0.6,0.7,0.4,1.2,Jacob Murphy,25(4),1969,8,11,3,-,1.3,75.7,0.1,2,7.06
27,Mark Flekken,Brentford,31 years old (13-06-1993),195cm,Netherlands,Goalkeeper,0.1,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,-,1.4,-,-,-,0.1,-,-,-,-,-,-,0.1,0.1,-,-,43.8,9.5,11.7,22.2,0.4,0.1,-,4.2,0.2,2.7,1.3,-,-,-,-,0.1,0.2,0.3,Mark Flekken,31,2736,-,1,1,-,-,72.5,0.1,2,7.05
28,Ryan Gravenberch,Liverpool,22 years old (16-05-2002),190cm,Netherlands,Defensive Midfielder (C),1,0.7,0.3,-,-,-,-,-,0.1,0.1,0.3,0.1,0.7,0.2,-,1.6,1.2,1,2.2,1.4,1.2,-,-,-,-,1.7,0.8,0.1,0.7,-,52.6,1.1,1.2,45.8,4.4,1.4,0.6,-,-,-,-,0.5,0.4,-,0.1,1.8,0.6,2.5,Ryan Gravenberch,32,2748,-,3,5,-,0.5,89.2,0.7,1,7.04
29,Declan Rice,Arsenal,26 years old (14-01-1999),188cm,England,"Defender (Centre), Defensive Midfielder (C)",1.7,1,0.7,0.1,-,-,-,-,0.1,0.2,0.3,-,0.4,0.1,-,1.4,0.5,0.4,0.8,0.5,0.6,0.1,-,0.1,-,0.8,1.7,0.7,1,-,42.2,1.8,1.1,36.1,3.1,1.2,0.8,-,-,-,-,1.3,0.6,-,0.7,1.5,0.7,2.2,Declan Rice,28(2),2416,2,6,4,1,1.3,89.9,1,2,7.04
30,Eberechi Eze,Crystal Palace,26 years old (29-06-1998),178cm,England,"Attacking Midfielder (Centre, Left, Right)",1.5,0.2,1.3,-,-,-,-,-,0.2,0.3,-,0.1,0.9,-,-,0.3,2.3,2.1,4.3,1.6,0.3,0.1,-,-,0.1,0.4,1.8,0.3,1.5,0.3,28.5,1,1,22.5,4.1,1.8,1.6,-,-,-,-,3.2,1.9,-,1.3,1.3,0.6,2,Eberechi Eze,26(2),2244,3,8,1,-,3.2,82.2,0.2,2,7.03
31,Neto,Arsenal,35 years old (19-07-1989),190cm,Brazil,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27,5.5,10.5,11,-,-,-,5.5,0.5,3.5,1.5,-,-,-,-,-,-,-,Neto,2,180,-,-,-,-,-,61.1,-,-,7.03
