,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
95,Cristian Romero,Tottenham,26 years old (27-04-1998),185cm,Argentina,Defender (Centre),3.9,2.4,1.5,-,-,-,-,-,-,-,0.2,0.3,0.9,0.1,-,2.9,0.2,0.1,0.2,0.7,0.7,0.1,0.1,-,-,1.2,0.4,0.1,0.3,0.1,69.2,2.8,2.9,59.1,4.5,0.5,0.3,-,-,-,-,0.9,-,0.2,0.7,1.9,0.5,2.5,Cristian Romero,17,1375,1,-,2,-,0.9,89.4,2.4,-,6.85
96,Jean-Philippe Mateta,Crystal Palace,27 years old (28-06-1997),192cm,France,Forward,4.9,1.8,3,-,-,-,-,-,-,0.1,0.1,-,0.4,0.1,-,0.7,0.7,0.5,1.3,0.8,0.9,0.4,0.1,0.3,-,0.1,0.8,0.1,0.8,0.5,12.3,0.2,0.2,8.2,3.7,2.1,1.2,-,-,-,-,1.9,0.4,0.2,1.3,0.5,0.4,1,Jean-Philippe Mateta,29(2),2367,13,2,2,-,1.9,68.2,1.8,3,6.85
97,Martin Dúbravka,Newcastle,36 years old (15-01-1989),190cm,Slovakia,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,27.8,2.9,6.7,18.2,-,-,-,2.9,0.2,1.6,1.1,-,-,-,-,-,-,-,Martin Dúbravka,10,900,-,-,-,-,-,75.9,0.4,-,6.85
98,Matz Sels,Nottingham Forest,33 years old (26-02-1992),188cm,Belgium,Goalkeeper,0.6,0.5,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,1.4,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,23.9,7.2,12.6,4.1,0.1,-,-,3.2,0.3,2.2,0.8,-,-,-,-,-,-,-,Matz Sels,32,2880,-,-,2,-,-,47,0.5,1,6.84
99,Marco Asensio,Aston Villa,29 years old (21-01-1996),182cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward",-,-,-,-,-,-,-,-,0.1,0.1,-,-,0.3,0.1,-,0.3,0.7,0.7,1.4,0.4,0.9,0.4,0.1,0.3,-,0.1,1,0.1,0.9,0.3,23.1,0.3,0.3,19.7,2.9,0.6,0.9,-,-,-,-,2.4,0.7,0.1,1.6,0.9,0.6,1.4,Marco Asensio,4(3),394,3,1,1,-,2.4,86.4,-,1,6.84
100,Noni Madueke,Chelsea,23 years old (10-03-2002),182cm,England,"Attacking Midfielder (Right), Forward",0.9,0.3,0.5,-,-,-,-,-,0.1,0.1,-,-,0.5,0.1,-,0.3,1.7,1.2,2.8,0.8,0.8,0.3,-,0.2,-,0.3,1.1,0.1,1,0.2,17.9,0.4,0.2,14.8,2.6,1.5,0.9,-,-,-,-,2.7,0.5,0.2,2,0.7,0.8,1.5,Noni Madueke,21(5),1613,7,3,3,-,2.7,84.5,0.3,2,6.84
101,Dan Burn,Newcastle,32 years old (09-05-1992),198cm,England,"Defender (Centre, Left), Midfielder (Left)",5.9,4,1.9,-,-,-,-,-,-,-,0.7,0.1,0.3,0.3,-,5.2,-,0.1,0.1,0.4,0.8,-,-,-,-,0.8,0.2,0.1,0.2,0.1,53.1,1.5,1.9,45.8,3.9,0.6,0.1,-,-,-,-,0.5,-,0.1,0.5,1,0.5,1.5,Dan Burn,31,2790,-,-,9,-,0.5,89.1,4,-,6.83
102,Martin Ødegaard,Arsenal,26 years old (17-12-1998),178cm,Norway,"Attacking Midfielder (Centre, Right)",0.6,0.3,0.3,-,-,-,-,-,0.1,0.2,-,-,0.2,0.2,-,0.1,1.2,0.8,2,0.8,0.4,0.1,-,0.1,-,0.1,2,0.2,1.8,-,44.7,1.1,0.6,38,5,1.1,1.5,-,-,-,-,1.5,0.7,-,0.9,0.8,0.8,1.5,Martin Ødegaard,21(3),1870,2,4,4,-,1.5,87.4,0.3,1,6.83
103,Idrissa Gueye,Everton,35 years old (26-09-1989),174cm,Senegal,Midfielder (Centre),1.2,0.7,0.5,-,-,-,-,-,0.1,0.1,0.3,-,1.1,0.2,-,0.9,0.6,0.5,1.1,1.2,1.5,-,-,-,-,1.2,0.6,-,0.6,-,36.9,2.1,1.1,30.1,3.7,0.9,1.1,-,-,-,-,0.8,0.7,-,0.1,3.7,1,4.7,Idrissa Gueye,29(2),2541,-,3,7,-,0.8,87,0.7,1,6.83
104,Ola Aina,Nottingham Forest,28 years old (08-10-1996),184cm,Nigeria,"Defender (Centre, Left, Right), Midfielder (Left, Right)",1,0.4,0.6,-,-,-,-,-,-,-,0.4,0.3,0.7,0.1,-,2.9,1.2,1,2.1,1.1,0.7,0.1,-,-,-,1,0.4,0.1,0.3,0.1,29.4,0.8,1.8,22.6,4.1,1.3,0.7,-,-,-,-,0.3,0.2,-,0.1,1.8,0.8,2.6,Ola Aina,30,2575,2,1,2,-,0.3,79.7,0.4,3,6.83
105,Casemiro,Manchester United,33 years old (23-02-1992),185cm,Brazil,"Defender (Centre), Defensive Midfielder (C)",2.3,1.5,0.8,-,-,-,-,-,-,-,0.5,0.1,1.1,0.1,-,2,0.1,0.1,0.3,0.9,0.7,-,-,-,-,0.6,0.9,0.2,0.7,0.1,37.2,1.8,1.5,28,5.8,0.5,0.5,-,-,-,-,1.3,0.6,0.1,0.6,3.5,1.2,4.7,Casemiro,15(6),1274,1,-,3,-,1.3,80.3,1.5,2,6.83
106,Jordan Pickford,Everton,31 years old (07-03-1994),185cm,England,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,0.2,-,1.4,-,-,-,0.2,-,-,-,-,-,-,0.1,0.1,-,-,36.8,9.5,13.9,13.2,0.1,0.1,-,2.9,0.3,1.7,0.9,-,-,-,-,-,-,0.1,Jordan Pickford,32,2880,-,1,6,-,-,61.9,0.2,3,6.82
107,Kenny Tete,Fulham,29 years old (09-10-1995),180cm,Netherlands,"Defender (Centre, Right), Midfielder (Right)",1.6,0.9,0.7,-,-,0.1,-,-,0.1,0.1,0.4,0.2,0.8,0.2,-,2.1,0.6,0.5,1.1,0.8,1.4,-,-,-,-,1.8,0.3,0.3,0.1,-,35.6,1.4,1.3,28.1,4.8,1,0.6,-,-,-,-,1.1,0.3,0.3,0.6,2.6,0.7,3.3,Kenny Tete,15(1),1274,-,2,3,-,1.1,83,0.9,1,6.82
108,Cody Gakpo,Liverpool,25 years old (07-05-1999),193cm,Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward",1.1,0.4,0.7,-,-,-,-,-,0.1,0.1,0.1,0.1,0.6,0.1,-,0.4,0.7,0.9,1.6,0.7,0.6,0.3,0.1,0.1,0.1,0.3,1,0.2,0.9,0.2,14.9,0.3,0.1,12.2,2.2,1.2,0.6,-,-,-,-,1.5,0.4,0.2,0.9,0.8,0.4,1.2,Cody Gakpo,17(12),1502,8,3,4,-,1.5,84.3,0.4,2,6.82
110,Pervis Estupiñán,Brighton,27 years old (21-01-1998),175cm,Ecuador,"Defender (Left), Midfielder (Left)",2.4,1.4,1,-,-,-,-,-,-,-,0.1,0.3,0.4,0.2,-,1.7,0.6,0.6,1.1,0.6,1.2,-,-,-,-,1.1,0.9,0.2,0.7,0.1,42.7,0.8,1,37,4,1,0.9,-,-,-,-,0.7,0.5,-,0.2,1.9,0.5,2.4,Pervis Estupiñán,21(4),1953,1,1,4,-,0.7,88.3,1.4,1,6.82
111,Tomás Soucek,West Ham,30 years old (27-02-1995),192cm,Czech Republic,Midfielder (Centre),5.3,3,2.3,-,-,-,-,-,-,-,0.6,-,0.6,0.3,-,2.4,0.2,0.2,0.4,0.8,1.3,0.2,-,0.2,-,0.5,0.5,-,0.4,0.1,27.6,1.5,1,19,6.1,0.6,0.3,-,-,-,-,1.6,-,0.2,1.4,1.2,0.6,1.8,Tomás Soucek,25(4),2155,7,1,8,-,1.6,74.3,3,2,6.82
112,Mikel Merino,Arsenal,28 years old (22-06-1996),189cm,Spain,"Midfielder (Centre), Forward",4.4,2.3,2.1,-,-,-,-,-,-,-,0.2,0.1,0.5,0.1,-,0.9,0.4,0.3,0.7,0.8,1.4,0.3,0.1,0.2,-,0.5,0.6,-,0.6,0.3,20.6,0.4,0.3,16.1,3.8,0.9,0.8,-,-,-,-,1.3,0.1,0.3,0.8,1.3,0.6,1.9,Mikel Merino,14(10),1340,6,1,2,-,1.3,80,2.3,3,6.81
113,Joachim Andersen,Fulham,28 years old (31-05-1996),192cm,Denmark,Defender (Centre),3.9,2.4,1.5,-,-,-,-,-,-,-,0.9,0.1,0.3,0.2,-,5.9,0.1,0.2,0.3,0.6,0.7,-,-,-,-,1.3,0.1,0.1,-,-,69.4,7.4,7.8,50.3,3.9,0.2,0.1,-,-,-,-,0.6,0.2,-,0.3,1,0.3,1.3,Joachim Andersen,23,2033,-,-,5,1,0.6,83.2,2.4,1,6.81
114,Phil Foden,Manchester City,24 years old (28-05-2000),171cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",0.4,0.1,0.3,-,-,-,-,-,-,0.1,-,-,0.4,0.1,-,0.3,1,0.5,1.6,1.2,0.2,0.3,-,0.2,-,0.4,1.7,0.4,1.3,0.1,32.1,1.3,0.4,27.1,3.3,1.4,1.2,-,-,-,-,2.1,1.1,0.1,0.9,0.5,0.4,0.9,Phil Foden,19(6),1689,7,2,2,-,2.1,88.4,0.1,1,6.81
115,Milos Kerkez,Bournemouth,21 years old (07-11-2003),180cm,Hungary,"Defender (Left), Midfielder (Left)",2.1,0.7,1.4,0.1,-,-,-,-,0.1,0.2,0.3,0.2,0.7,0.1,-,2.8,0.8,0.6,1.3,1.4,0.8,0.1,-,0.1,-,1.2,0.8,0.2,0.6,-,34.2,1.3,2.9,26.1,3.9,1.3,0.6,-,-,-,-,0.5,0.2,-,0.3,1.5,0.4,1.9,Milos Kerkez,32,2810,2,5,4,-,0.5,80.1,0.7,1,6.81
116,Jarrad Branthwaite,Everton,22 years old (27-06-2002),195cm,England,Defender (Centre),3.2,1.8,1.4,-,-,-,-,-,-,-,0.8,0.1,0.3,0.2,-,6.6,0.1,0.1,0.2,0.5,0.3,-,-,-,-,0.9,0.1,0.1,-,-,37.3,2.5,3.5,28,3.4,0.3,0.1,-,-,-,-,0.3,-,0.1,0.2,1.3,0.3,1.6,Jarrad Branthwaite,23(2),2076,-,1,4,-,0.3,81.6,1.8,-,6.81
117,Nico O'Reilly,Manchester City,20 years old (21-03-2005),188cm,England,Defender (Left),1.4,0.4,1,-,-,-,-,-,-,-,-,-,0.2,-,-,1,0.6,1.2,1.8,0.4,0.8,0.2,-,0.2,-,0.4,0.4,0.2,0.2,0.2,39.4,0.4,0.2,34.2,4.6,1.4,0.6,-,-,-,-,0.8,0.2,-,0.6,1.2,0.4,1.6,Nico O'Reilly,3(2),275,1,-,-,-,0.8,87.8,0.4,-,6.8
118,Tyrone Mings,Aston Villa,32 years old (13-03-1993),196cm,England,"Defender (Centre, Left)",3.6,2,1.6,-,-,-,-,-,-,-,0.9,0.2,0.2,0.1,-,4.1,-,0.2,0.2,0.8,0.3,-,-,-,-,0.5,0.3,0.1,0.2,-,51.8,2.1,2.4,44.1,3.3,0.3,0.1,-,-,-,-,0.7,0.1,0.2,0.4,0.5,-,0.5,Tyrone Mings,10(2),961,-,-,1,-,0.7,89.1,2,-,6.8
119,Marshall Munetsi,Wolves,28 years old (22-06-1996),188cm,Zimbabwe,"Defender (Centre), Midfielder (Centre)",3.8,2,1.8,-,-,-,-,-,0.1,0.1,0.1,0.1,0.8,-,-,1.5,0.3,-,0.3,1,1.1,0.1,-,0.1,-,0.5,0.5,-,0.5,0.4,14.4,-,0.1,10.8,3.5,2.9,0.6,-,-,-,-,1.9,0.4,0.1,1.4,2.1,0.5,2.6,Marshall Munetsi,7(1),610,1,1,-,-,1.9,74.8,2,-,6.8
120,Kevin Schade,Brentford,23 years old (27-11-2001),183cm,Germany,"Attacking Midfielder (Left, Right), Forward",4.1,2.3,1.9,-,-,-,-,-,-,0.1,0.1,0.1,0.4,0.1,-,0.8,1.5,0.8,2.3,1,0.6,0.2,0.1,0.2,-,0.2,0.6,0.1,0.5,0.4,11.7,0.2,0.1,7.2,4.2,1.4,1,-,-,-,-,1.3,0.1,0.3,0.9,1,0.3,1.3,Kevin Schade,20(12),1847,7,2,3,-,1.3,63.4,2.3,3,6.8
121,Bernardo Silva,Manchester City,30 years old (10-08-1994),173cm,Portugal,"Midfielder (Centre, Left, Right), Forward",0.5,0.1,0.4,-,-,-,-,-,0.1,0.1,0.2,-,0.7,0.2,-,0.8,1,0.9,2,0.9,0.8,0.1,-,-,-,0.7,1.6,-,1.5,0.1,46.7,1.1,0.8,40.4,4.4,0.7,1.1,-,-,-,-,1,0.1,0.1,0.9,1.7,0.9,2.6,Bernardo Silva,23(4),2128,2,4,6,-,1,88.9,0.1,-,6.79
122,Gabriel Martinelli,Arsenal,23 years old (18-06-2001),178cm,Brazil,"Attacking Midfielder (Left, Right), Forward",1.5,0.5,1,-,-,-,-,-,0.1,0.1,-,0.1,0.4,-,-,0.4,2.6,1.1,3.7,0.6,0.5,0.2,0.1,0.1,-,0.1,1.2,0.1,1.1,0.3,17.1,0.3,0.1,13,3.7,1.6,1.2,-,-,-,-,1.4,0.1,0.3,1,0.7,0.5,1.2,Gabriel Martinelli,19(8),1802,6,4,1,-,1.4,77.8,0.5,1,6.79
123,Nick Pope,Newcastle,32 years old (19-04-1992),191cm,England,Goalkeeper,0.6,0.5,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,2.1,-,-,-,0.2,0.1,-,-,-,-,-,-,-,-,-,21.9,2.9,7.9,10.9,0.2,-,-,3.1,0.1,1.9,1.1,-,-,-,-,-,-,-,Nick Pope,22,1980,-,-,2,-,-,63,0.5,1,6.79
124,Raúl Jiménez,Fulham,33 years old (05-05-1991),190cm,Mexico,Forward,4.6,2,2.6,-,-,-,-,-,0.1,0.1,0.2,-,0.4,0.1,-,0.5,0.8,0.6,1.4,1,1,0.3,0.1,0.3,-,0.3,0.5,0.1,0.5,0.4,15.6,0.5,0.4,10.8,3.9,1.7,1.3,-,-,-,-,2.5,0.4,0.3,1.8,0.9,0.3,1.2,Raúl Jiménez,24(8),1972,10,3,3,-,2.5,72.6,2,2,6.79
125,David Raya,Arsenal,29 years old (15-09-1995),183cm,Spain,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.7,-,-,-,0.2,-,-,-,-,-,0.1,-,-,-,-,32.5,4.6,9.3,18.3,0.3,-,-,2.3,0.2,1.6,0.6,-,-,-,-,-,0.1,0.1,David Raya,32,2880,-,-,2,-,-,70.6,0.3,2,6.79
126,Ben Davies,Tottenham,31 years old (24-04-1993),181cm,Wales,"Defender (Centre, Left), Midfielder (Left)",6.7,3.6,3.1,-,-,-,-,-,-,-,1,0.2,0.6,0.3,-,4.7,-,0.1,0.1,0.3,1,-,-,-,-,0.9,0.2,-,0.2,-,65.9,2.5,1.9,57.2,4.3,0.4,-,-,-,-,-,0.4,-,-,0.4,0.9,0.6,1.5,Ben Davies,10(1),901,-,-,3,-,0.4,90.6,3.6,-,6.78
127,Leandro Trossard,Arsenal,30 years old (04-12-1994),172cm,Belgium,"Midfielder (Centre, Left, Right), Forward",0.8,0.2,0.6,0.1,-,-,-,-,-,0.2,-,0.1,0.8,0.1,-,0.4,1.3,0.9,2.2,1.2,0.7,0.2,-,0.1,-,0.3,1.1,0.1,1,0.2,21.1,0.8,0.7,16.1,3.5,1.5,1.2,-,-,-,-,1.8,0.6,0.1,1.1,0.8,0.6,1.4,Leandro Trossard,23(9),2103,5,5,2,1,1.8,80.4,0.2,1,6.78
128,Jurriën Timber,Arsenal,23 years old (17-06-2001),179cm,Netherlands,"Defender (Centre, Left, Right)",1.4,0.8,0.7,-,-,-,-,-,-,0.1,0.1,0.1,0.5,0.2,-,1.4,1,0.8,1.8,1,1.1,-,-,-,-,0.7,0.6,-,0.6,0.2,38.1,0.4,0.9,32.9,3.9,1.1,0.8,-,-,-,-,0.5,0.1,0.1,0.2,2,0.3,2.3,Jurriën Timber,26(3),2333,1,2,7,-,0.5,87.5,0.8,1,6.78
129,Anthony Elanga,Nottingham Forest,22 years old (27-04-2002),178cm,Sweden,"Attacking Midfielder (Left, Right), Forward",1.7,0.7,1,0.1,-,-,-,-,0.1,0.3,-,0.2,0.3,-,-,0.6,1.5,0.7,2.2,1,0.2,0.2,-,0.2,-,0.2,1.2,0.3,1,0.4,15.5,0.3,0.3,11.8,3.1,2,1.1,-,-,-,-,1.1,0.3,-,0.8,0.5,0.4,0.9,Anthony Elanga,25(7),2016,6,8,1,-,1.1,78,0.7,1,6.78
130,Alisson Becker,Liverpool,32 years old (02-10-1992),193cm,Brazil,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,3,5.1,18.8,0.1,-,-,2.3,0.2,1.3,0.8,-,-,-,-,-,-,0.1,Alisson Becker,22,1969,-,-,-,-,-,80.5,0.3,-,6.78
131,Tyler Adams,Bournemouth,26 years old (14-02-1999),173cm,USA,"Defender (Right), Midfielder (Centre, Right)",2,1.3,0.7,-,-,-,-,-,0.1,0.1,0.3,0.2,0.9,0.2,-,1.3,0.5,0.1,0.7,0.8,1.7,-,-,-,-,1.3,0.6,-,0.6,-,34.7,0.4,1.6,28.6,4.1,1,0.4,-,-,-,-,0.4,0.1,-,0.2,3.3,1.3,4.6,Tyler Adams,15(7),1469,-,3,5,-,0.4,83.5,1.3,-,6.78
132,Sandro Tonali,Newcastle,24 years old (08-05-2000),181cm,Italy,Defensive Midfielder (C),0.7,0.3,0.3,-,-,-,-,-,0.1,0.1,0.3,0.1,0.6,0.2,-,0.9,0.4,0.6,1,1.3,1.1,0.1,-,0.1,-,1,0.4,-,0.4,0.1,37.8,1.1,1.1,31,4.5,0.7,0.8,-,-,-,-,0.9,0.5,0.1,0.4,1.4,0.7,2.1,Sandro Tonali,22(8),2092,3,2,5,-,0.9,85,0.3,2,6.78
133,Vitalii Mykolenko,Everton,25 years old (29-05-1999),180cm,Ukraine,"Defender (Centre, Left), Midfielder (Left)",2.7,1.5,1.2,-,-,-,-,-,-,-,0.3,0.3,0.4,0.1,-,4,0.4,0.2,0.6,0.9,0.6,-,-,-,-,1.1,0.6,0.1,0.5,0.1,27.4,1.3,2.1,19.9,4,0.7,0.3,-,-,-,-,0.4,0.2,-,0.2,1.8,0.7,2.6,Vitalii Mykolenko,29,2544,-,1,2,-,0.4,77.7,1.5,1,6.78
134,Marc Guéhi,Crystal Palace,24 years old (13-07-2000),182cm,England,Defender (Centre),3.7,2.2,1.6,-,-,-,-,-,-,0.1,0.7,0.1,1,0.2,-,4.6,0.1,0.4,0.5,0.8,0.7,0.1,0.1,-,-,0.8,0.4,0.2,0.2,-,52.1,3.4,4,40.4,4.2,0.5,0.5,-,-,-,-,0.4,-,0.1,0.3,1.8,0.4,2.2,Marc Guéhi,30,2700,3,2,7,1,0.4,84.2,2.2,2,6.78
135,Wilfred Ndidi,Leicester,28 years old (16-12-1996),183cm,Nigeria,"Defender (Centre), Midfielder (Centre)",3.9,2.1,1.8,-,-,-,-,-,0.1,0.2,0.7,0.2,1.1,0.3,-,2.7,0.7,0.5,1.2,0.7,1.5,-,-,-,-,1,0.6,0.1,0.5,0.1,34.6,0.7,1.3,27.5,5,1.4,1.2,-,-,-,-,0.8,0.1,-,0.7,3,1,4,Wilfred Ndidi,23,1896,-,4,6,-,0.8,81.8,2.1,1,6.78
136,Ethan Pinnock,Brentford,31 years old (29-05-1993),187cm,Jamaica,Defender (Centre),4.9,2.9,2,-,-,-,-,-,-,-,0.8,0.1,0.5,0.1,-,6.3,0.3,0.1,0.4,0.2,0.4,0.1,-,-,-,1,0.4,0.1,0.3,-,46.9,2.1,2.5,39,3.3,0.1,0.2,-,-,-,-,0.5,-,0.1,0.3,1.6,0.5,2.1,Ethan Pinnock,21(1),1914,2,-,2,-,0.5,87.6,2.9,-,6.78
137,Ollie Watkins,Aston Villa,29 years old (30-12-1995),180cm,England,"Attacking Midfielder (Left, Right), Forward",3.3,1.3,1.9,-,-,-,-,-,0.2,0.2,0.1,-,0.3,-,-,0.4,0.9,0.3,1.2,0.9,0.8,0.4,0.1,0.3,-,0.2,0.7,-,0.7,0.3,10.8,0.1,-,8,2.6,1.4,1.3,-,-,-,-,2.3,0.1,0.4,1.8,0.3,0.2,0.5,Ollie Watkins,26(6),2178,14,6,1,-,2.3,75.4,1.3,2,6.77
138,Lucas Digne,Aston Villa,31 years old (20-07-1993),178cm,France,"Defender (Centre, Left), Midfielder (Left)",2.1,1.2,0.9,0.1,-,-,-,-,-,0.1,0.1,0.2,0.7,0.1,-,2.5,0.3,0.3,0.6,0.4,0.6,-,-,-,-,0.9,1.2,0.3,0.9,0.2,31.6,0.8,1.2,25.4,4.1,0.6,0.5,-,-,-,-,0.4,0.3,-,0.1,2.1,0.6,2.7,Lucas Digne,26(3),2163,-,4,3,-,0.4,83.2,1.2,1,6.77
139,Noussair Mazraoui,Manchester United,27 years old (14-11-1997),183cm,Morocco,"Defender (Centre, Left, Right), Midfielder (Right)",2.2,1.3,0.8,-,-,-,-,-,-,-,0.3,0.3,0.7,0.1,-,2.2,0.6,0.8,1.3,0.6,1.1,-,-,-,-,1,0.5,0.1,0.4,0.1,43,1.2,1.8,35.6,4.3,0.7,0.5,-,-,-,-,0.4,0.2,-,0.2,3,1.1,4,Noussair Mazraoui,29(3),2485,-,1,2,-,0.4,85.6,1.3,1,6.77
140,Harvey Barnes,Newcastle,27 years old (09-12-1997),174cm,England,"Attacking Midfielder (Centre, Left)",0.7,0.2,0.5,0.1,-,-,-,-,-,0.1,-,0.1,0.2,-,-,0.3,1.1,0.7,1.9,0.6,0.3,0.3,0.1,0.2,-,0.2,0.7,-,0.7,0.1,14.8,0.2,0.1,11.9,2.6,0.8,0.5,-,-,-,-,1.7,0.2,0.2,1.3,0.6,0.1,0.7,Harvey Barnes,11(16),1259,9,3,-,-,1.7,81.8,0.2,1,6.77
141,Nico González,Manchester City,23 years old (03-01-2002),188cm,Spain,Midfielder (Centre),3,1.9,1.1,-,-,-,-,-,-,-,-,-,1.3,0.4,-,2.1,0.4,0.1,0.6,0.4,1.4,-,-,-,-,0.6,0.1,-,0.1,-,70.4,0.4,0.7,65.4,3.9,0.9,1,-,-,-,-,0.9,0.6,0.1,0.1,1.9,0.6,2.4,Nico González,7,573,-,-,3,-,0.9,93.5,1.9,-,6.77
142,Danny Welbeck,Brighton,34 years old (26-11-1990),185cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",1.4,0.6,0.8,-,-,-,-,-,0.2,0.2,-,-,0.6,0.1,-,0.4,0.8,0.4,1.2,0.8,0.4,0.3,0.1,0.2,-,0.2,0.6,-,0.6,0.1,14.8,0.1,-,12.4,2.4,1.7,0.9,-,-,-,-,2,0.6,0.2,1.2,0.8,0.4,1.2,Danny Welbeck,19(6),1692,8,4,3,-,2,83.8,0.6,3,6.76
143,Fabian Schär,Newcastle,33 years old (20-12-1991),186cm,Switzerland,Defender (Centre),3.4,1.3,2.1,-,-,-,-,-,-,-,0.8,0.1,0.4,0.2,-,3.7,0.1,0.3,0.4,0.4,1.1,0.1,-,-,-,1.4,0.2,0.1,0.1,0.1,57.6,4,5.3,44.4,3.9,0.4,0.2,-,-,-,-,1,0.5,-,0.4,1.1,0.6,1.7,Fabian Schär,27(1),2413,3,-,6,1,1,84.1,1.3,-,6.76
144,Ismaïla Sarr,Crystal Palace,27 years old (25-02-1998),185cm,Senegal,"Attacking Midfielder (Centre, Left, Right), Forward",2.3,0.9,1.4,-,-,-,-,-,0.1,0.1,0.2,0.1,0.5,0.1,-,1,1.1,0.4,1.6,1.4,0.4,0.2,0.1,0.2,-,0.2,1.1,-,1.1,0.3,18.2,0.3,0.5,12.5,4.9,1.8,1.2,-,-,-,-,1.4,0.2,0.3,1,0.7,0.5,1.2,Ismaïla Sarr,25(7),2283,7,4,3,-,1.4,70.4,0.9,3,6.75
145,Jørgen Strand Larsen,Wolves,25 years old (06-02-2000),193cm,Norway,Forward,5,2,3,-,-,-,-,-,-,0.1,0.1,-,0.4,0.1,-,0.8,0.3,0.2,0.5,0.6,1.4,0.4,0.1,0.3,0.1,0.1,0.6,-,0.6,0.5,13.2,0.3,0.2,8.2,4.5,2.8,1,-,-,-,-,1.6,0.1,0.1,1.4,0.3,0.6,0.9,Jørgen Strand Larsen,27(3),2329,12,2,4,-,1.6,64.6,2,2,6.75
146,Jake O'Brien,Everton,23 years old (15-05-2001),197cm,Ireland,"Defender (Centre, Right)",3.5,2,1.5,-,-,-,-,-,-,-,0.2,0.3,0.7,0.3,-,4.5,0.4,0.2,0.6,0.2,0.7,0.1,0.1,0.1,-,0.2,0.4,0.1,0.3,0.2,26.5,1.7,2,18.7,4.1,0.3,0.3,-,-,-,-,0.3,0.1,0.1,0.2,1.3,0.3,1.5,Jake O'Brien,12(3),1119,2,-,4,-,0.3,77.1,2,1,6.74
147,Maximilian Kilman,West Ham,27 years old (23-05-1997),194cm,England,Defender (Centre),4.4,2.9,1.5,-,-,-,-,-,-,-,1.1,-,0.5,0.1,-,5.3,0.2,0.4,0.6,0.4,0.4,-,-,-,-,1.1,0.5,0.1,0.4,-,50,2.8,3.4,40.6,3.2,0.4,0.1,-,-,-,-,0.3,-,0.2,0.2,0.9,0.1,1,Maximilian Kilman,32,2809,-,1,3,-,0.3,86.8,2.9,1,6.74
148,Dara O'Shea,Ipswich,26 years old (04-03-1999),189cm,Ireland,"Defender (Centre, Right)",5.9,3.4,2.5,-,-,-,-,-,-,0.1,1.6,0.2,0.4,0.2,-,6.1,-,-,0.1,0.7,0.5,-,-,-,-,1.1,0.1,0.1,-,0.1,44.5,3.1,4.2,31.9,5.3,0.4,0.1,-,-,-,-,0.7,0.1,0.1,0.4,1.4,0.4,1.8,Dara O'Shea,29,2583,-,2,6,-,0.7,78.5,3.4,-,6.74
149,Carlos Alcaraz,Everton,22 years old (30-11-2002),176cm,,"Midfielder (Centre, Left), Forward",1.7,1,0.7,-,-,-,-,-,0.1,0.1,0.1,-,0.3,0.3,-,0.7,0.4,0.8,1.2,0.7,1,0.1,-,0.1,-,0.3,1,-,1,0.1,17.7,0.7,0.7,13.3,3,1,0.9,-,-,-,-,2,1.2,0.1,0.7,1.2,0.6,1.8,Carlos Alcaraz,4(5),432,1,1,3,-,2,79.2,1,-,6.74
