Name,Club,Age,Height,National,Positions
Lisandro Martínez,Manchester United,27 years old (18-01-1998),175cm,Argentina,"Defender (Centre, Left), Defensive Midfielder (C)"
Diogo Dalot,Manchester United,26 years old (18-03-1999),183cm,Portugal,"Defender (Left, Right), Midfielder (Left, Right)"
Mohammed Kudus,West Ham,24 years old (02-08-2000),177cm,Ghana,"Midfielder (Centre, Left, Right), Forward"
Yankuba Minteh,Brighton,20 years old (22-07-2004),180cm,Gambia,Attacking Midfielder (Right)
Evanilson,Bournemouth,25 years old (06-10-1999),183cm,Brazil,Forward
Marcus Rashford,Aston Villa,27 years old (31-10-1997),180cm,England,"Attacking Midfielder (Centre, Left, Right), Forward"
Cristian Romero,Tottenham,26 years old (27-04-1998),185cm,Argentina,Defender (Centre)
Jean-Philippe Mateta,Crystal Palace,27 years old (28-06-1997),192cm,France,Forward
Martin Dúbravka,Newcastle,36 years old (15-01-1989),190cm,Slovakia,Goalkeeper
Matz Sels,Nottingham Forest,33 years old (26-02-1992),188cm,Belgium,Goalkeeper
Marco Asensio,Aston Villa,29 years old (21-01-1996),182cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward"
Noni Madueke,Chelsea,23 years old (10-03-2002),182cm,England,"Attacking Midfielder (Right), Forward"
Dan Burn,Newcastle,32 years old (09-05-1992),198cm,England,"Defender (Centre, Left), Midfielder (Left)"
Martin Ødegaard,Arsenal,26 years old (17-12-1998),178cm,Norway,"Attacking Midfielder (Centre, Right)"
Idrissa Gueye,Everton,35 years old (26-09-1989),174cm,Senegal,Midfielder (Centre)
Ola Aina,Nottingham Forest,28 years old (08-10-1996),184cm,Nigeria,"Defender (Centre, Left, Right), Midfielder (Left, Right)"
Casemiro,Manchester United,33 years old (23-02-1992),185cm,Brazil,"Defender (Centre), Defensive Midfielder (C)"
Jordan Pickford,Everton,31 years old (07-03-1994),185cm,England,Goalkeeper
Kenny Tete,Fulham,29 years old (09-10-1995),180cm,Netherlands,"Defender (Centre, Right), Midfielder (Right)"
Cody Gakpo,Liverpool,25 years old (07-05-1999),193cm,Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward"
Mario Lemina,Galatasaray,31 years old (01-09-1993),184cm,Gabon,"Defender (Centre), Midfielder (Centre)"
Pervis Estupiñán,Brighton,27 years old (21-01-1998),175cm,Ecuador,"Defender (Left), Midfielder (Left)"
Tomás Soucek,West Ham,30 years old (27-02-1995),192cm,Czech Republic,Midfielder (Centre)
Mikel Merino,Arsenal,28 years old (22-06-1996),189cm,Spain,"Midfielder (Centre), Forward"
Joachim Andersen,Fulham,28 years old (31-05-1996),192cm,Denmark,Defender (Centre)
