,BlkSh,BlkCr,BlkPs
400,-,0.1,0.4
401,-,-,-
402,0.1,0.1,0.5
403,0.4,0.1,0.3
404,-,-,-
405,0.2,-,0.8
406,0.1,0.2,0.4
407,-,-,-
408,-,0.1,0.4
409,0.6,0.1,0.1
410,0.5,-,-
411,-,1,-
412,0.6,0.1,0.3
413,-,-,-
414,0.1,-,0.3
415,0.3,0.1,0.6
416,-,-,0.3
417,0.1,-,0.2
418,-,-,-
419,-,-,-
420,0.1,-,0.3
421,0.5,-,-
422,0.5,-,0.5
423,0.1,-,0.2
424,0.2,0.1,0.4
425,0.2,-,0.5
426,0.7,0.1,0.3
427,0.4,0.2,0.2
428,0.1,-,0.2
429,-,-,0.1
430,-,0.2,0.2
431,0.2,-,0.5
432,0.1,0.1,0.6
433,0.1,-,0.4
434,0.2,-,-
435,-,-,0.5
436,-,-,-
437,-,-,-
438,0.1,0.1,0.7
439,-,-,-
440,-,-,0.5
441,-,-,-
442,-,-,-
443,-,-,0.1
444,0.3,0.1,1.6
445,-,-,0.3
446,-,-,0.4
447,0.1,-,0.4
448,0.7,0.1,0.6
449,0.1,0.1,0.3
450,-,0.1,0.3
451,-,-,0.5
452,0.1,-,0.2
453,-,-,0.4
454,0.2,0.1,0.3
455,0.5,-,0.1
456,0.2,-,0.2
457,-,-,0.2
458,0.3,0.1,-
459,-,-,0.2
460,-,-,-
461,0.1,-,0.3
462,-,0.3,0.3
463,-,-,-
464,-,-,0.1
465,0.1,-,0.3
466,0.4,0.1,0.4
467,0.1,-,0.4
468,-,-,0.2
469,-,-,-
470,-,-,-
471,-,-,1
472,0.1,-,0.2
473,0.1,-,0.2
474,-,0.1,0.5
475,-,-,-
476,-,-,-
477,0.2,-,0.3
478,0.2,-,0.6
479,-,0.1,0.6
480,0.2,0.1,0.1
481,0.4,-,-
482,0.3,-,0.5
483,-,-,0.1
484,-,-,0.5
485,-,-,-
486,0.1,-,0.3
487,-,-,0.3
488,-,-,-
489,-,-,0.2
490,-,-,-
491,-,-,-
492,-,-,0.2
493,-,-,-
494,-,-,-
495,-,0.3,0.4
496,-,-,0.5
497,-,0.1,0.2
498,-,-,-
499,-,-,-
500,-,-,-
501,0.1,-,0.5
502,-,-,-
503,-,-,-
504,0.1,-,-
505,-,-,-
506,-,-,0.3
507,0.3,-,-
508,-,-,-
509,-,-,1
510,-,1,1
511,0.1,-,0.1
512,0.1,0.1,0.3
513,-,0.1,-
514,0.5,0.1,0.1
515,0.3,-,0.3
516,-,-,-
517,-,0.1,0.1
518,-,-,-
519,-,-,-
520,-,-,-
521,1.1,-,0.4
522,-,0.1,0.5
523,0.2,0.1,0.2
524,-,-,-
525,-,-,-
526,-,-,-
527,-,-,-
528,-,-,-
529,0.5,-,-
530,1,-,-
531,-,0.3,0.3
532,-,-,-
533,-,-,-
534,-,-,-
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,-
540,-,-,-
541,-,-,-
542,-,-,-
543,-,-,-
544,-,-,-
545,-,-,-
546,-,-,-
547,-,-,0.5
548,-,-,-
549,0.1,0.1,-
550,-,-,-
551,-,-,0.5
552,-,-,0.2
553,-,-,-
554,-,-,-
555,0.5,-,0.5
556,-,0.1,0.5
557,-,-,-
558,-,-,-
559,-,-,-
560,0.6,0.3,0.1
561,-,-,-
562,0.5,-,-
563,-,-,-
