,TotAD,WonAD,LostAD
402,0.8,0.4,0.4
403,0.9,0.6,0.3
404,1,0.5,0.5
405,1,0.5,0.5
406,1.1,0.3,0.8
407,0.2,0.2,-
408,1.9,0.7,1.2
409,1.8,1.1,0.8
410,1.5,1,0.5
411,-,-,-
412,2.1,1.2,0.9
413,0.4,0.4,-
414,0.9,0.4,0.4
415,1.1,0.6,0.5
416,0.8,0.4,0.4
417,0.2,0.1,0.1
418,-,-,-
419,0.5,0.5,-
420,0.4,0.1,0.3
421,2.8,1.5,1.3
422,-,-,-
423,0.6,0.2,0.4
424,1.1,0.9,0.3
425,0.7,0.4,0.3
426,2.1,1.4,0.7
427,0.9,0.7,0.2
428,2.1,1,1.1
429,2.8,1.4,1.4
430,0.1,-,0.1
431,0.3,0.2,0.2
432,0.5,0.1,0.4
433,0.7,0.1,0.6
434,0.3,0.2,0.2
435,1.7,0.9,0.8
436,2,2,-
437,-,-,-
438,1.8,0.7,1.1
439,2,1.3,0.7
440,0.3,0.2,0.2
441,-,-,-
442,1,1,-
443,3.5,0.7,2.8
444,1.6,0.4,1.2
445,3.2,1.4,1.8
446,0.6,0.2,0.4
447,0.9,0.5,0.5
448,2.2,1.1,1.1
449,1.6,0.4,1.2
450,0.6,0.1,0.5
451,0.4,0.2,0.3
452,0.3,0.1,0.1
453,0.6,0.3,0.3
454,0.5,0.2,0.3
455,1.1,0.6,0.5
456,2,0.8,1.2
457,0.6,0.1,0.4
458,0.5,0.1,0.4
459,0.7,0.1,0.7
460,0.3,0.3,-
461,0.9,0.3,0.6
462,0.9,-,0.9
463,0.3,0.3,-
464,0.7,0.1,0.6
465,0.7,0.3,0.5
466,0.7,0.4,0.3
467,0.2,0.1,0.1
468,0.2,-,0.2
469,-,-,-
470,-,-,-
471,-,-,-
472,0.5,0.3,0.2
473,1,0.3,0.7
474,0.6,0.2,0.5
475,1.5,1.5,-
476,-,-,-
477,0.3,-,0.3
478,0.8,0.5,0.3
479,0.3,0.2,0.1
480,0.9,0.3,0.6
481,1.4,0.7,0.7
482,1,-,1
483,1.2,0.3,0.9
484,0.4,0.3,0.1
485,-,-,-
486,1.9,0.6,1.4
487,-,-,-
488,0.3,-,0.3
489,0.2,-,0.2
490,-,-,-
491,1,0.7,0.3
492,0.9,0.2,0.6
493,0.4,0.1,0.3
494,-,-,-
495,1,0.3,0.8
496,0.5,-,0.5
497,0.3,0.1,0.2
498,1.9,0.5,1.3
499,0.5,-,0.5
500,1.1,0.6,0.6
501,0.8,0.2,0.6
502,0.7,0.3,0.3
503,1,-,1
504,1,0.2,0.8
505,0.5,-,0.5
506,0.4,0.1,0.3
507,0.5,0.5,-
508,-,-,-
509,1,-,1
510,3,-,3
511,1.6,0.9,0.7
512,0.2,-,0.2
513,0.4,0.3,0.1
514,0.7,0.3,0.4
515,0.1,0.1,-
516,0.5,0.3,0.3
517,0.4,0.1,0.3
518,-,-,-
519,0.5,-,0.5
520,0.5,0.5,-
521,1.7,0.8,0.9
522,0.7,0.3,0.4
523,0.6,0.1,0.5
524,0.3,-,0.3
525,0.5,-,0.5
526,3,2,1
527,-,-,-
528,-,-,-
529,2,0.5,1.5
530,-,-,-
531,1.8,0.3,1.5
532,-,-,-
533,1,-,1
534,-,-,-
535,-,-,-
536,-,-,-
537,1,1,-
538,1,1,-
539,0.7,0.3,0.3
540,-,-,-
541,1,1,-
542,-,-,-
543,-,-,-
544,1,-,1
545,-,-,-
546,1.4,0.5,0.9
547,2.2,1,1.2
548,-,-,-
549,0.6,0.3,0.4
550,-,-,-
551,2.5,0.5,2
552,1,0.1,0.9
553,0.7,-,0.7
554,-,-,-
555,-,-,-
556,0.5,-,0.5
557,2,1,1
558,1,-,1
559,1,-,1
560,2,1.4,0.6
561,-,-,-
562,1,1,-
563,2,1,1
