,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
236,-,-,-,-,-,-,-
237,-,-,-,-,-,-,-
238,-,-,-,-,-,-,-
239,-,-,-,-,-,-,-
240,-,-,-,-,-,0.1,0.1
241,-,-,-,-,-,-,-
242,-,-,-,-,-,-,-
243,-,-,-,-,-,0.1,0.1
244,-,-,-,-,-,-,-
245,-,-,-,-,-,0.1,0.1
246,-,-,-,-,-,0.1,0.1
247,-,-,-,-,-,0.1,0.1
248,-,-,-,-,-,-,-
249,-,-,-,-,-,-,-
250,-,-,-,-,-,0.1,0.1
251,-,-,-,-,-,-,-
252,-,-,-,-,-,-,-
253,-,-,-,-,-,0.1,0.1
254,-,-,-,-,-,0.1,0.1
255,-,-,-,-,-,-,-
256,-,-,-,-,-,-,0.1
257,-,-,-,-,-,0.1,0.1
258,-,-,-,-,-,-,-
259,-,-,-,-,-,0.1,0.1
260,-,-,-,-,-,0.1,0.1
261,-,-,-,-,-,-,-
262,-,-,-,-,-,-,-
263,-,-,-,-,-,-,-
264,-,-,-,-,-,0.1,0.1
265,-,-,-,-,-,0.1,0.1
266,-,-,-,-,-,0.1,0.1
267,-,-,-,-,-,-,-
268,-,-,-,-,-,-,-
269,-,-,-,-,-,-,-
270,-,-,-,-,-,-,-
271,-,-,-,-,-,-,-
272,-,-,-,-,-,-,-
273,0.1,-,-,-,-,0.1,0.2
274,-,-,-,-,-,-,-
275,-,-,-,-,-,-,-
276,-,-,-,-,-,-,-
277,-,-,-,-,-,0.1,0.1
278,-,-,-,-,-,-,0.1
279,-,-,-,-,-,-,-
280,-,-,-,-,-,0.1,0.1
281,-,-,-,-,-,-,-
282,-,-,-,-,-,-,-
283,-,-,-,-,-,-,-
284,-,-,-,-,-,-,-
285,0.1,0.1,-,-,-,-,0.1
286,-,-,-,-,-,-,-
287,-,-,-,-,-,-,0.1
288,-,-,-,-,-,-,-
289,0.1,-,-,-,-,0.1,0.2
290,-,-,-,-,-,0.1,0.1
291,-,-,-,-,-,0.1,0.1
292,-,-,-,-,-,-,-
293,-,-,-,-,-,-,-
294,-,-,-,-,-,-,-
295,-,-,-,-,-,0.1,0.1
296,0.1,-,-,-,-,-,0.1
297,-,-,-,-,-,0.1,0.1
298,-,-,-,-,-,0.1,0.1
299,-,-,-,-,-,0.1,0.1
300,-,-,-,-,-,-,-
301,-,-,-,-,-,-,-
302,-,-,-,-,-,-,-
303,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-
305,-,-,-,-,-,-,-
306,-,-,-,-,-,-,-
307,-,-,-,-,-,0.1,0.1
308,-,-,-,-,-,-,-
309,-,-,-,-,-,-,-
310,-,-,-,-,-,-,-
311,-,-,-,-,-,-,-
312,-,-,-,-,-,-,-
313,-,-,-,-,-,-,-
314,-,-,-,-,-,-,-
315,-,-,-,-,-,-,-
316,-,-,0.1,-,-,-,0.1
317,-,-,0.1,-,-,0.1,0.1
318,-,-,-,-,-,-,-
319,-,-,-,-,-,-,-
320,-,-,-,-,-,0.1,0.1
321,-,-,-,-,-,-,-
322,-,-,-,-,-,-,-
323,-,-,-,-,-,-,-
324,-,-,-,-,-,-,0.1
325,-,-,-,-,-,-,-
326,-,-,-,-,-,-,-
327,-,-,-,-,-,-,-
328,-,-,-,-,-,-,-
329,-,-,-,-,-,-,0.1
330,-,-,-,-,-,0.1,0.1
331,-,-,-,-,-,-,-
332,-,-,-,-,-,0.1,0.1
333,0.1,-,-,-,-,-,0.1
334,-,-,-,-,-,-,-
335,-,-,-,-,-,-,-
336,-,-,-,-,-,-,-
337,-,-,-,-,-,-,-
338,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-
340,-,-,-,-,-,-,-
341,-,-,-,-,-,-,-
342,-,-,-,-,-,0.1,0.1
343,-,-,-,-,-,-,-
344,-,-,-,-,-,-,-
345,-,-,-,-,-,-,-
346,-,-,-,-,-,-,-
347,-,-,0.1,-,-,0.1,0.1
348,-,-,-,-,-,0.1,0.1
349,-,-,-,-,-,-,-
350,-,-,-,-,-,-,-
351,-,-,-,-,-,-,-
352,-,-,-,-,-,0.1,0.2
353,-,-,-,-,-,-,-
354,-,-,-,-,-,-,-
355,-,-,-,-,-,-,-
356,-,-,-,-,-,-,-
357,-,-,-,-,-,0.1,0.1
358,-,-,-,-,-,-,-
359,-,-,-,-,-,-,-
360,-,-,-,-,-,-,-
361,-,-,-,-,-,-,-
362,-,-,-,-,-,0.1,0.1
363,-,-,-,-,-,-,-
364,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-
366,-,-,-,-,-,-,-
367,-,-,-,-,-,-,0.1
368,-,-,-,-,-,-,-
369,-,-,-,-,-,-,-
370,-,-,-,-,-,-,-
371,-,-,-,-,-,-,-
372,-,-,-,-,-,-,-
373,-,-,-,-,-,-,-
374,-,-,-,-,-,-,-
375,-,-,-,-,-,-,-
376,-,-,-,-,-,-,-
377,-,-,-,-,-,0.2,0.2
378,-,-,-,-,-,-,-
379,-,-,-,-,-,-,-
380,-,-,-,-,-,-,-
381,-,-,-,-,-,-,-
382,-,-,-,-,-,0.1,0.1
383,-,-,-,-,-,-,-
384,-,-,-,-,-,-,-
385,-,-,-,-,-,-,-
386,-,-,-,-,-,-,-
387,-,-,-,-,-,0.1,0.1
388,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-
391,-,-,-,-,-,-,-
392,-,-,-,-,-,-,-
393,-,-,-,-,-,-,-
394,-,-,-,-,-,-,-
395,-,-,-,-,-,0.1,0.1
396,-,-,-,-,-,0.2,0.2
397,-,-,-,-,-,0.1,0.1
398,-,-,-,-,-,-,-
399,-,-,-,-,-,0.2,0.2
400,-,-,-,-,-,-,-
401,-,-,-,-,-,0.3,0.3
402,-,-,-,-,-,-,-
403,-,-,-,-,-,-,-
404,-,-,-,-,-,-,-
405,-,-,-,-,-,-,-
406,-,-,-,-,-,-,-
407,-,-,-,-,-,-,-
408,-,-,-,-,-,-,-
409,-,-,-,-,-,-,-
410,-,-,-,-,-,-,-
411,-,-,-,-,-,-,-
412,-,-,-,-,-,-,-
413,-,-,-,-,-,-,-
414,-,-,-,-,-,-,-
415,-,-,-,-,-,-,-
416,-,-,-,-,-,-,-
417,-,-,-,-,-,0.1,0.1
418,-,-,-,-,-,-,-
419,-,-,-,-,-,-,-
420,-,-,-,-,-,0.1,0.1
421,-,-,-,-,-,-,-
422,-,-,-,-,-,-,-
423,-,-,-,-,-,-,-
424,0.1,-,-,-,-,-,0.1
425,-,-,-,-,-,-,-
426,-,-,-,-,-,-,-
427,0.1,-,-,-,-,-,0.1
428,-,-,-,-,-,-,-
429,-,-,-,-,-,0.1,0.1
430,-,-,-,-,-,0.1,0.1
431,-,-,-,-,-,-,-
432,-,-,-,-,-,0.1,0.1
433,-,-,0.1,-,-,-,0.1
434,-,-,-,-,-,-,-
435,-,-,-,-,-,-,-
436,-,-,-,-,-,-,-
437,-,-,-,-,-,-,-
438,-,-,-,-,-,0.1,0.1
439,-,-,-,-,-,0.1,0.1
440,-,-,-,-,-,-,-
441,-,-,-,-,-,-,-
442,-,-,-,-,-,-,-
443,-,-,-,-,-,-,-
444,-,-,-,-,-,-,-
445,-,-,-,-,-,-,-
446,-,-,-,-,-,0.2,0.2
447,-,-,-,-,-,-,-
448,-,-,-,-,-,-,-
449,-,-,-,-,-,0.1,0.1
450,-,-,-,-,-,-,-
451,0.1,0.1,-,-,-,-,0.1
452,-,-,-,-,-,0.1,0.1
453,-,-,-,-,-,-,-
