,TotTkl,DribPast,TotAttTkl
325,0.5,-,0.5
326,1.6,1.1,2.6
327,1.5,0.5,2
328,1,0.8,1.8
329,0.8,0.3,1
330,0.4,0.1,0.5
331,0.7,0.2,0.9
332,0.6,0.4,1.1
333,0.7,0.3,1
334,1.8,0.7,2.5
335,1.5,0.6,2
336,0.9,0.2,1.1
337,1.4,0.1,1.5
338,1.4,0.7,2
339,1.6,0.9,2.5
340,2.1,1.1,3.2
341,0.7,0.3,1
342,0.7,0.3,1
343,0.6,0.1,0.7
344,1.2,0.3,1.6
345,1.3,0.5,1.8
346,0.9,0.4,1.3
347,0.7,0.2,0.9
348,0.9,0.9,1.8
349,1.3,0.2,1.5
350,0.7,0.3,1
351,0.5,0.5,1
352,1,0.6,1.6
353,-,0.2,0.2
354,1.4,0.4,1.8
355,0.4,0.4,0.8
356,-,-,-
357,0.1,0.1,0.2
358,-,0.2,0.2
359,0.5,0.3,0.8
360,1,0.4,1.4
361,1,0.6,1.6
362,0.8,0.6,1.4
363,1,0.5,1.5
364,2.3,0.5,2.8
365,1.5,0.8,2.3
366,1.2,0.8,2.1
367,1.1,0.8,1.9
368,0.7,0.5,1.2
369,0.6,0.4,1
370,1,0.3,1.3
371,1,-,1
372,2.4,0.9,3.3
373,0.3,0.5,0.8
374,-,-,-
375,2,0.7,2.7
376,2,0.7,2.8
377,0.4,0.2,0.6
378,0.8,0.4,1.1
379,0.7,0.5,1.2
380,1.4,0.4,1.7
381,0.3,0.3,0.7
382,1.7,0.5,2.2
383,0.7,-,0.7
384,0.3,0.7,1
385,0.4,0.2,0.6
386,0.7,-,0.7
387,1.3,0.4,1.7
388,0.8,0.9,1.7
389,1.2,0.2,1.5
390,0.9,0.3,1.2
391,1.3,0.5,1.8
392,1.8,0.8,2.5
393,0.5,0.3,0.8
394,1.4,0.4,1.8
395,0.3,0.1,0.4
396,0.3,0.6,0.9
397,1.6,0.5,2.1
398,1.4,0.9,2.3
399,0.5,0.2,0.7
400,0.3,0.2,0.5
401,0.3,-,0.3
402,0.4,0.6,1
403,1,0.1,1.1
404,-,-,-
405,1.9,0.9,2.8
406,1,0.4,1.4
407,0.8,-,0.8
408,0.5,0.3,0.8
409,0.9,0.6,1.6
410,0.3,0.5,0.8
411,-,1,1
412,1.1,0.3,1.4
413,-,-,-
414,1.3,1.1,2.4
415,1.1,0.8,1.9
416,1.2,0.5,1.7
417,0.3,0.3,0.5
418,1.5,-,1.5
419,-,-,-
420,0.7,0.4,1.1
421,1.8,0.8,2.5
422,0.3,0.5,0.8
423,0.5,0.2,0.7
424,1.1,0.7,1.8
425,1.1,0.4,1.5
426,1,0.2,1.2
427,0.5,-,0.5
428,0.5,0.1,0.6
429,0.1,0.2,0.2
430,0.7,0.2,0.9
431,1,1,2
432,0.9,0.3,1.2
433,0.8,0.4,1.2
434,0.3,0.3,0.7
435,0.2,0.3,0.5
436,1,1,2
437,-,-,-
438,0.8,0.9,1.8
439,0.1,0.1,0.2
440,1,0.2,1.2
441,1,-,1
442,-,1,1
443,0.1,0.1,0.3
444,1.9,1.3,3.2
445,0.2,-,0.2
446,0.6,0.5,1.1
447,1,0.5,1.5
448,0.8,0.2,1
449,0.7,0.3,1.1
450,0.5,0.5,1
451,0.8,0.4,1.3
452,0.6,0.7,1.3
453,0.6,0.5,1.1
454,1,0.4,1.4
455,0.3,0.1,0.4
456,0.3,-,0.3
457,0.9,0.9,1.7
458,0.3,0.3,0.5
459,0.6,0.3,0.9
460,0.7,-,0.7
461,0.3,-,0.3
462,1.3,0.6,1.9
463,-,0.3,0.3
464,-,0.1,0.1
465,0.6,0.6,1.2
466,0.5,0.4,1
467,0.7,0.4,1.1
468,1.4,0.2,1.6
469,1,2,3
470,-,-,-
471,1,-,1
472,0.6,0.3,0.9
473,0.3,0.2,0.5
