,TotSh,OOBSh,SYBSh,PASh
350,0.3,-,-,0.3
351,0.9,0.3,-,0.5
352,0.5,0.2,-,0.3
353,1.7,1.1,-,0.6
354,0.2,0.1,0.1,0.1
355,0.6,0.2,-,0.4
356,1,-,-,1
357,1.4,0.3,0.4,0.6
358,-,-,-,-
359,0.3,-,-,0.3
360,0.2,-,0.2,-
361,0.1,-,-,0.1
362,0.6,0.1,0.1,0.4
363,0.5,0.5,-,-
364,1.3,0.2,-,1.2
365,0.4,0.4,-,0.1
366,0.4,0.2,-,0.2
367,0.5,0.5,-,-
368,1,0.3,0.1,0.7
369,0.3,-,-,0.3
370,0.1,-,-,0.1
371,0.2,-,-,0.2
372,0.4,0.3,0.1,-
373,0.1,-,-,0.1
374,-,-,-,-
375,0.2,0.2,-,-
376,0.4,0.2,-,0.2
377,0.4,-,-,0.4
378,0.8,0.4,0.1,0.3
379,0.3,0.3,-,-
380,0.3,-,0.1,0.2
381,0.9,0.2,0.2,0.6
382,0.3,0.3,-,0.1
383,-,-,-,-
384,0.3,0.3,-,-
385,0.9,0.1,0.1,0.6
386,-,-,-,-
387,0.3,0.1,0.1,0.2
388,1.1,0.2,0.2,0.8
389,0.2,-,0.1,0.1
390,0.2,0.1,-,0.1
391,0.3,0.2,-,-
392,0.1,0.1,-,-
393,0.1,-,0.1,-
394,-,-,-,-
395,0.9,0.1,0.1,0.7
396,0.4,0.2,-,0.3
397,0.2,0.1,-,0.2
398,0.6,0.3,-,0.3
399,0.8,0.2,-,0.5
400,0.6,0.3,-,0.4
401,0.3,-,-,0.3
402,0.9,0.4,-,0.4
403,-,-,-,-
404,1,-,-,1
405,0.4,0.2,-,0.2
406,0.2,0.1,-,0.2
407,-,-,-,-
408,1.4,0.3,0.1,1
409,0.3,0.1,-,0.2
410,0.2,-,-,0.2
411,-,-,-,-
412,0.2,-,0.2,-
413,-,-,-,-
414,0.4,0.1,-,0.3
415,0.3,0.3,-,-
416,0.5,0.3,-,0.2
417,0.8,0.1,-,0.7
418,-,-,-,-
419,-,-,-,-
420,0.6,0.2,0.2,0.3
421,0.3,-,-,0.3
422,-,-,-,-
423,0.3,0.2,-,0.1
424,0.3,0.2,-,0.1
425,0.3,-,-,0.2
426,0.3,-,0.1,0.3
427,0.3,-,0.2,0.1
428,-,-,-,-
429,1.2,0.3,0.2,0.7
430,0.1,-,-,0.1
431,0.3,0.2,-,0.2
432,0.5,0.1,-,0.4
433,0.8,0.3,-,0.4
434,-,-,-,-
435,0.4,-,-,0.4
436,1,1,-,-
437,-,-,-,-
438,0.6,0.1,-,0.5
439,0.4,0.1,0.1,0.3
440,0.2,-,-,0.2
441,-,-,-,-
442,-,-,-,-
443,0.9,0.1,0.1,0.7
444,0.6,0.4,-,0.1
445,0.4,0.1,-,0.3
446,0.8,0.4,-,0.3
447,0.3,-,-,0.3
448,0.4,-,0.2,0.2
449,0.4,0.1,-,0.3
450,0.1,-,-,0.1
451,0.3,0.1,0.1,0.1
452,0.2,0.1,-,0.1
453,0.9,0.3,0.2,0.4
454,0.4,0.2,-,0.3
455,0.1,-,-,0.1
456,0.8,0.3,-,0.5
457,0.1,0.1,-,-
458,0.1,0.1,-,-
459,0.4,0.3,-,0.1
460,0.3,0.3,-,-
461,0.1,-,-,0.1
462,0.3,0.3,-,-
463,-,-,-,-
464,0.4,0.3,-,0.1
465,1.3,0.3,0.1,0.9
466,-,-,-,-
467,0.4,0.4,-,-
468,-,-,-,-
469,-,-,-,-
470,-,-,-,-
471,-,-,-,-
472,0.6,0.4,-,0.2
473,0.5,0.2,-,0.3
474,0.3,0.1,-,0.2
475,0.5,-,-,0.5
476,-,-,-,-
477,0.4,0.3,-,0.1
478,0.2,0.1,-,0.1
479,0.2,0.1,-,0.1
480,0.2,0.2,-,-
481,-,-,-,-
482,0.5,0.3,-,0.3
483,1,0.1,0.1,0.8
484,0.4,0.2,-,0.2
485,-,-,-,-
486,0.8,0.1,0.1,0.6
487,1,0.5,-,0.5
488,-,-,-,-
489,0.7,-,-,0.7
490,-,-,-,-
491,-,-,-,-
492,0.3,0.2,-,0.1
493,0.4,0.4,-,-
494,-,-,-,-
495,-,-,-,-
496,0.5,-,-,0.5
497,-,-,-,-
498,0.4,-,-,0.4
499,0.5,0.5,-,-
500,0.1,0.1,-,-
501,0.5,0.3,-,0.3
502,-,-,-,-
503,1,-,-,1
504,0.2,-,0.1,0.1
505,-,-,-,-
506,0.2,0.1,-,0.1
507,0.5,0.3,-,0.3
508,-,-,-,-
509,-,-,-,-
510,-,-,-,-
511,1.1,0.3,0.1,0.7
512,0.4,0.3,-,0.2
513,0.1,-,-,0.1
514,0.1,-,0.1,0.1
515,-,-,-,-
516,-,-,-,-
517,0.3,0.2,-,0.1
518,-,-,-,-
519,0.5,0.5,-,-
520,0.5,-,-,0.5
521,-,-,-,-
522,0.3,0.1,-,0.3
523,0.2,0.2,-,-
524,-,-,-,-
525,0.5,0.5,-,-
526,-,-,-,-
527,-,-,-,-
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,0.5,-,0.3,0.3
532,-,-,-,-
533,-,-,-,-
534,-,-,-,-
535,-,-,-,-
536,-,-,-,-
537,-,-,-,-
538,-,-,-,-
539,-,-,-,-
540,-,-,-,-
541,1,-,-,1
542,-,-,-,-
543,-,-,-,-
544,-,-,-,-
545,-,-,-,-
546,0.4,-,-,0.4
547,0.3,-,-,0.3
548,-,-,-,-
549,0.1,0.1,-,-
550,-,-,-,-
551,2.5,1,-,1.5
552,0.4,-,-,0.4
553,0.3,-,0.3,-
554,-,-,-,-
555,-,-,-,-
556,0.6,0.3,0.1,0.3
557,1,-,1,-
558,-,-,-,-
559,-,-,-,-
560,0.1,-,0.1,-
561,-,-,-,-
562,-,-,-,-
563,-,-,-,-
