,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
38,1.1,-,-,-,-,1.1,0.9,0.1,0.1,0.9,0.2,0.6,0.6,0.4,2.2,1.3,0.9
39,1,0.1,-,-,-,1,0.7,-,0.2,0.9,0.4,0.4,1.4,0.7,1.6,0.9,0.8
40,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.3,0.3,-
41,1.2,0.1,-,-,0.1,1.2,1.2,-,-,1.5,0.5,1.1,0.9,0.9,1.5,0.4,1.1
42,2.7,0.4,0.1,0.3,-,2.7,1.2,0.3,1.3,4,2.7,1.3,2.8,2,1.3,0.5,0.8
43,2.2,0.6,0.2,0.4,-,2.2,0.3,0.3,1.6,1.2,0.6,0.7,2.1,1.3,1.9,0.6,1.3
44,1.5,0.1,-,0.1,-,1.5,0.6,0.1,0.8,2.3,1.5,0.8,1.2,0.8,1.9,0.6,1.3
45,0.9,0.2,-,0.2,0.1,0.9,0.4,-,0.5,0.9,0.6,0.3,0.9,0.4,0.8,0.4,0.4
46,1,0.2,-,0.1,-,1,0.6,-,0.4,1.4,0.5,0.9,1.1,0.7,0.1,-,0.1
47,1.3,0.2,-,0.2,-,1.3,0.5,0.1,0.7,1.5,0.7,0.9,1.3,0.9,1.1,0.7,0.4
48,0.8,-,-,-,-,0.8,0.2,-,0.6,1.8,0.9,0.9,1.4,0.5,1.8,0.8,1
49,2.2,0.2,0.1,0.1,-,2.2,0.4,0.3,1.4,0.7,0.3,0.3,0.3,0.4,0.3,0.1,0.2
50,2.3,0.5,0.2,0.3,-,2.3,0.1,0.3,1.9,1,0.7,0.3,2.3,1.1,2.4,1,1.4
51,0.5,0.2,0.1,-,-,0.5,-,0.1,0.3,0.1,0.1,-,0.2,0.1,3.3,2,1.3
52,1,0.1,0.1,-,-,1,0.3,0.2,0.5,3.3,1.9,1.5,2.6,1.2,1.4,0.5,0.9
53,0.3,-,-,-,-,0.3,-,-,0.3,0.3,0.1,0.2,0.4,-,3.3,1.8,1.5
54,1,0.1,-,0.1,-,1,0.2,-,0.8,0.4,0.3,-,1,0.2,2.1,1.1,1
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
