,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
111,0.4,-,-,-,-,0.4,0.1,0.1,0.3,0.7,0.5,0.1,0.7,0.7,2.7,1.5,1.2
112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,-
113,0.2,-,-,-,-,0.2,-,0.1,0.2,0.6,0.1,0.5,0.3,0.5,4.9,2.8,2.1
114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
115,0.5,0.1,-,0.1,-,0.5,0.2,-,0.4,1.2,0.7,0.5,1.3,0.6,2.7,1.6,1.1
116,0.5,-,-,-,-,0.5,-,-,0.5,0.1,0.1,-,0.5,0.1,3,1.7,1.3
117,0.6,-,-,-,-,0.6,0.1,0.2,0.4,0.1,-,0.1,0.5,-,5.1,3.4,1.7
118,0.5,-,-,-,-,0.5,-,0.1,0.4,-,-,-,0.2,-,3,1.8,1.2
119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-
120,0.5,0.1,-,0.1,-,0.5,-,-,0.5,0.6,0.4,0.2,0.6,0.4,4.7,3.3,1.5
121,0.8,0.1,0.1,-,-,0.8,-,0.1,0.6,0.4,0.2,0.2,0.7,0.4,3.4,2.1,1.2
122,1.5,0.1,-,0.1,-,1.5,0.6,0.1,0.8,0.8,0.4,0.4,1.4,0.6,1.6,0.8,0.8
123,0.2,-,-,-,-,0.2,0.1,-,0.1,1.2,0.5,0.7,0.7,0.5,2,1.4,0.6
124,1.1,0.1,-,0.1,-,1.1,0.4,0.1,0.6,2.8,1.5,1.3,1.4,0.9,0.6,0.1,0.4
125,1,-,-,-,-,1,0.6,0.1,0.3,1.9,1,0.9,1.8,1.4,2,1,1
126,0.6,0.1,-,0.1,-,0.6,0.3,0.1,0.3,0.3,-,0.2,0.4,0.1,3.9,2,1.9
127,1.8,0.2,-,0.1,0.1,1.8,0.9,0.1,0.8,1.8,1.3,0.5,1.9,1.1,3.8,1.6,2.2
128,0.2,-,-,-,-,0.2,0.1,-,0.1,0.4,0.1,0.3,0.4,0.4,0.4,0.2,0.2
129,1.9,0.3,0.1,0.2,-,1.9,0.6,0.1,1.1,2.2,1.2,1,2.6,1.5,2.6,0.8,1.7
130,0.4,-,-,-,-,0.4,0.3,-,-,1.3,0.7,0.6,0.9,0.3,2.1,1.2,1
131,0.5,0.2,-,0.1,-,0.5,0.4,-,0.2,1.3,0.8,0.5,0.8,0.3,0.9,0.2,0.7
132,1,0.4,-,0.4,-,1,0.4,-,0.6,0.5,0.1,0.4,0.6,0.3,0.6,0.1,0.5
133,1.3,0.1,-,-,0.1,1.3,1.2,-,0.1,1.7,0.9,0.8,0.6,0.6,0.4,0.3,0.1
134,0.4,-,-,-,-,0.4,0.2,0.1,0.2,0.3,0.1,0.2,0.7,0.5,3.4,1.8,1.6
135,0.1,-,-,-,-,0.1,-,-,0.1,0.4,0.1,0.2,0.5,0.1,1.4,0.8,0.6
136,-,-,-,-,-,-,-,-,-,0.8,0.4,0.4,0.6,-,1.1,0.6,0.5
137,0.6,-,-,-,-,0.6,0.4,-,0.2,1.3,0.7,0.5,0.8,0.5,0.7,0.4,0.4
138,0.2,-,-,-,-,0.2,-,0.1,0.1,0.4,0.2,0.2,0.8,0.3,3.7,2.1,1.6
139,2.9,0.3,-,0.3,-,2.9,0.6,0.2,2.1,1.1,0.7,0.3,1.8,1,3.1,1.5,1.6
140,0.4,-,-,-,-,0.4,-,-,0.4,1.5,0.9,0.6,1.1,0.6,1.8,0.9,0.9
141,1.6,0.3,0.1,0.2,-,1.6,0.4,0.1,1,0.4,0.2,0.2,2.3,0.9,5.8,3,2.8
142,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.4,-
143,1,-,-,-,-,1,0.5,-,0.5,2.6,1.6,1,1.6,1.3,1,0.4,0.6
144,1.1,0.1,-,0.1,-,1.1,0.8,-,0.2,0.5,0.2,0.2,0.4,0.1,0.9,0.5,0.4
145,1.7,0.3,0.2,0.1,-,1.7,0.1,0.4,1.2,1.1,0.7,0.4,1.5,1,2.2,0.9,1.3
146,1.5,0.1,-,0.1,-,1.5,0.4,-,1.1,3.1,1.7,1.5,1.3,0.9,0.5,-,0.4
147,0.9,0.2,-,0.1,-,0.9,0.5,-,0.4,1.7,0.8,0.8,1.4,1.1,2,1,1
148,0.9,0.1,-,-,-,0.9,0.3,-,0.5,0.3,0.2,0.2,0.8,0.4,3.5,1.9,1.6
149,0.5,0.1,-,-,-,0.5,-,0.1,0.4,-,-,-,0.2,-,3.9,2.5,1.4
