,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
146,0.3,0.1,-,0.1,0.1,0.3,0.1,0.1,0.2,0.6,0.4,0.2,0.3,0.3,3.5,2,1.5
147,0.3,-,-,-,-,0.3,-,0.2,0.2,0.6,0.2,0.4,0.4,0.1,4.4,2.9,1.5
148,0.7,-,-,-,-,0.7,0.1,0.1,0.4,0.1,-,-,0.4,0.1,5.9,3.4,2.5
149,2,0.1,-,-,0.1,2,1.2,0.1,0.7,1.2,0.4,0.8,1,0.9,1.7,1,0.7
150,1,0.1,-,-,0.1,1,0.4,-,0.5,0.8,0.4,0.4,0.7,0.8,2.6,1.5,1.1
151,2,0.4,-,0.1,0.3,2,0.6,0.2,1.2,2.5,1.3,1.2,3,1.8,3.7,1.7,2
152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,-
153,0.7,0.2,-,-,0.2,0.7,0.2,-,0.5,1.2,0.7,0.5,1,0.3,0.7,0.5,0.2
154,0.2,-,-,-,-,0.2,-,0.1,0.1,1.1,0.5,0.6,1.1,0.4,2.9,1.9,0.9
155,0.2,-,-,-,-,0.2,-,-,0.2,1.3,0.8,0.5,1.3,0.8,1.1,0.6,0.6
156,0.8,-,-,-,-,0.8,0.4,0.1,0.3,2.8,1.7,1.1,1.3,0.6,1.8,0.8,1
157,0.3,-,-,-,-,0.3,-,0.1,0.1,0.3,0.1,0.2,0.5,0.1,3.3,2.1,1.2
158,0.6,0.1,-,-,-,0.6,-,0.3,0.4,0.1,0.1,0.1,0.2,0.1,3.1,2,1.1
159,1.1,0.3,0.1,-,0.2,1.1,0.4,-,0.7,2.6,2,0.6,0.9,0.4,0.8,0.3,0.5
160,0.6,0.1,0.1,-,0.1,0.6,0.2,0.2,0.2,0.8,0.2,0.5,0.6,0.3,2.1,1.3,0.8
161,0.3,-,-,-,-,0.3,-,0.1,0.1,0.9,0.3,0.6,0.6,0.5,2.4,1.6,0.8
162,2,0.3,-,-,0.2,2,0.1,0.1,1.7,1.4,0.9,0.5,1.7,1,2.2,1,1.3
163,0.6,-,-,-,-,0.6,0.1,0.1,0.3,0.3,0.2,0.1,0.3,0.2,4,2.4,1.6
164,0.5,-,-,-,-,0.5,-,0.2,0.3,0.2,0.1,0.1,0.3,0.1,3.3,2.3,1
165,1.7,0.1,-,-,0.1,1.7,0.7,-,1,2.9,2.1,0.9,1.2,0.8,1.1,0.3,0.8
166,0.2,0.1,-,-,0.1,0.2,-,-,0.1,0.1,-,0.1,0.3,0.1,3.8,2.6,1.3
167,0.3,-,-,-,-,0.3,0.2,0.1,0.1,0.8,0.6,0.2,1,0.4,2.2,1.2,1
168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,-
169,0.5,0.1,-,0.1,-,0.5,0.1,0.1,0.4,0.3,0.2,0.1,0.3,0.3,3.6,1.8,1.8
170,0.5,-,-,-,-,0.5,0.3,-,0.2,2.1,1.1,0.9,1.2,0.6,2.4,1,1.4
171,0.8,0.1,-,-,0.1,0.8,0.2,-,0.7,3.5,1.9,1.7,1,0.7,0.6,0.2,0.4
172,0.4,-,-,-,-,0.4,-,-,0.3,0.5,0.3,0.2,0.7,0.2,3.2,1.6,1.6
173,0.3,-,-,-,-,0.3,-,-,0.3,0.9,0.5,0.4,1.1,0.8,1.2,0.5,0.7
174,0.5,-,-,-,-,0.5,-,0.1,0.4,0.3,0.1,0.2,0.4,0.2,4.2,2.6,1.7
175,0.6,0.1,-,-,0.1,0.6,0.1,0.2,0.4,0.2,0.1,0.2,0.2,-,3.3,1.9,1.4
176,1.2,0.1,-,-,0.1,1.2,0.5,0.1,0.6,3,1.6,1.4,1.5,1,0.7,0.4,0.3
177,0.3,-,-,-,-,0.3,0.2,-,0.2,2.5,1,1.5,0.5,0.3,2.3,1.3,1
178,0.4,-,-,-,-,0.4,-,-,0.4,-,-,-,0.8,0.2,3.4,2.2,1.2
179,0.5,-,-,-,-,0.5,-,-,0.5,0.3,0.1,0.2,0.5,0.2,5.6,3,2.5
180,0.5,-,-,-,-,0.5,0.2,-,0.2,1.5,0.8,0.7,0.7,0.3,1.6,0.8,0.8
181,0.4,0.1,-,-,-,0.4,-,-,0.4,0.8,0.4,0.4,0.4,0.2,2.6,1.8,0.8
182,1.5,0.3,-,0.1,0.2,1.5,0.6,0.1,0.8,1.2,0.7,0.5,0.7,0.2,1.1,0.2,0.8
183,-,-,-,-,-,-,-,-,-,0.2,-,0.2,-,-,0.4,0.2,0.2
184,0.1,-,-,-,-,0.1,0.1,-,-,1.4,0.8,0.6,0.7,1,1.6,0.6,1
185,0.7,-,-,-,-,0.7,0.3,-,0.3,0.3,-,0.3,-,-,0.3,-,0.3
186,0.4,-,-,-,-,0.4,0.2,0.1,0.1,0.4,0.2,0.2,0.2,0.3,0.8,0.6,0.2
187,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.2,-
188,0.2,-,-,-,-,0.2,-,-,0.2,-,-,-,0.3,0.3,1.7,1,0.7
189,0.6,-,-,-,-,0.6,-,0.1,0.5,-,-,-,0.1,-,4.1,2.7,1.4
190,0.6,-,-,-,-,0.6,0.4,0.1,0.1,0.7,0.4,0.3,0.8,0.3,1.6,0.7,0.8
191,0.1,-,-,-,-,0.1,0.1,-,-,0.3,0.1,0.2,0.4,0.2,1.3,0.8,0.5
192,0.5,-,-,-,-,0.5,0.3,-,0.1,0.9,0.5,0.3,0.6,0.5,1.2,0.7,0.5
193,1.1,0.1,-,-,-,1.1,0.5,0.1,0.5,0.6,0.3,0.3,0.8,0.6,2.6,1.6,1
194,1,-,-,-,-,1,-,0.3,0.8,0.5,0.3,0.3,1.5,-,3.3,1.8,1.5
195,0.8,0.1,-,0.1,-,0.8,0.3,0.3,0.2,0.8,0.3,0.5,0.5,0.4,2,1.2,0.9
196,1.2,0.1,-,-,0.1,1.2,0.2,-,1,2.8,1.4,1.4,1,0.6,1.7,0.8,0.9
197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
198,0.6,-,-,-,-,0.6,0.6,-,-,0.5,0.4,0.1,0.8,0.7,1.3,0.4,0.9
199,0.5,0.1,0.1,-,-,0.5,0.4,-,0.2,1.2,0.7,0.5,0.5,0.3,2,1.5,0.5
200,0.8,0.2,-,-,0.2,0.8,0.1,-,0.7,0.1,0.1,-,-,0.2,3.3,1.9,1.4
201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
203,1.5,0.5,-,-,0.5,1.5,-,-,1.5,-,-,-,0.5,-,-,-,-
204,0.2,-,-,-,-,0.2,0.1,-,0.1,0.4,0.2,0.2,0.3,0.1,0.7,0.3,0.3
205,0.8,-,-,-,-,0.8,0.4,-,0.4,1.1,0.6,0.5,0.8,0.7,0.7,0.4,0.3
206,0.2,-,-,-,-,0.2,-,-,0.2,1.4,0.8,0.6,1.1,0.5,1.1,0.6,0.6
207,0.9,0.1,-,-,0.1,0.9,0.4,-,0.5,2.5,1,1.4,0.9,0.8,0.5,0.1,0.3
208,0.1,-,-,-,-,0.1,-,-,-,0.8,0.4,0.4,0.4,0.6,1.7,1,0.7
209,0.1,-,-,-,-,0.1,-,0.1,0.1,0.6,0.3,0.4,0.4,0.4,3.6,1.7,1.9
210,0.1,-,-,-,-,0.1,-,-,0.1,0.3,0.2,0.1,0.3,0.1,2,1.5,0.5
211,0.8,0.1,-,-,0.1,0.8,0.6,-,0.3,1.3,0.5,0.7,0.6,0.6,0.7,0.3,0.4
212,1.1,0.1,-,-,0.1,1.1,0.4,0.1,0.7,2.7,1.8,0.9,1.9,1.4,1.7,0.5,1.2
213,1.1,0.1,-,-,0.1,1.1,0.5,-,0.6,1.7,0.9,0.7,1.1,1.5,1,0.3,0.7
214,1.8,0.2,-,-,0.2,1.8,0.5,-,1.3,2.5,1.6,1,1.6,1.3,2.6,0.9,1.7
215,0.3,-,-,-,-,0.3,-,0.1,0.1,0.6,0.4,0.3,0.5,0.3,1.7,0.9,0.8
216,1.4,0.2,-,-,0.2,1.4,0.1,0.2,1.1,1.3,0.6,0.7,2,1.2,6.3,2.9,3.5
217,1.1,0.1,-,-,0.1,1.1,-,0.1,1,3.2,2,1.2,1.3,0.7,0.4,-,0.4
218,0.5,-,-,-,-,0.5,-,-,0.5,0.7,0.4,0.4,0.5,0.4,3.1,1.6,1.5
219,0.7,-,-,-,-,0.7,0.5,-,0.2,1.2,0.6,0.6,1.1,0.8,1.4,0.7,0.7
220,0.3,-,-,-,-,0.3,0.1,-,0.2,1.6,1,0.6,0.8,0.3,0.9,0.6,0.3
221,1.1,0.1,-,0.1,-,1.1,0.7,0.1,0.4,1,0.6,0.4,0.7,0.7,1.1,0.4,0.7
222,2.1,0.1,-,-,0.1,2.1,0.1,0.3,1.7,1.1,0.7,0.5,3.2,1.5,7.5,3.8,3.7
223,0.6,-,-,-,-,0.6,0.4,0.1,0.2,0.3,0.2,0.1,0.6,0.3,1.3,0.6,0.7
224,-,-,-,-,-,-,-,-,-,0.1,-,0.1,0.1,-,0.2,0.2,-
225,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.3,-
226,0.3,-,-,-,-,0.3,0.2,-,0.2,1.1,0.7,0.4,0.4,0.5,1.5,0.7,0.8
227,0.7,-,-,-,-,0.7,0.4,0.1,0.2,0.1,-,0.1,0.2,-,2.3,1.3,1
228,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,0.7,0.6,0.1
229,0.6,0.1,-,-,0.1,0.6,0.2,-,0.4,0.4,0.3,0.1,0.8,0.2,2.4,0.8,1.6
230,0.9,-,-,-,-,0.9,0.4,-,0.5,0.4,0.2,0.2,0.4,0.6,3,1.6,1.4
