,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
39,1.8,0.6,0.1,0.4,0.1,1.8,0.6,0.2,1,1.9,1,0.9,2.1,1.6,0.9,0.4,0.5
40,0.4,0.1,0.1,-,-,0.4,0.1,0.3,-,0.1,0.1,-,0.2,0.1,4.7,2.8,1.9
41,0.9,0.1,-,-,0.1,0.9,0.4,-,0.5,4.1,1.9,2.2,1.8,1.5,1.4,0.5,0.9
42,2,0.5,0.1,0.4,-,2,0.7,0.2,1.2,1.5,0.7,0.8,1.5,1.1,1.4,0.4,1
43,1.3,0.3,-,0.3,-,1.3,0.7,-,0.6,3.1,1.7,1.4,2,1.4,0.7,0.2,0.5
44,0.5,-,-,-,-,0.5,0.2,-,0.3,0.6,0.2,0.4,0.8,0.3,3.3,2.5,0.9
45,1.4,0.2,-,0.2,0.1,1.4,0.5,0.1,0.8,0.9,0.5,0.4,1.2,0.6,1.2,0.6,0.6
46,0.5,0.1,-,-,-,0.5,0.3,-,0.3,1,0.5,0.4,0.9,0.3,0.9,0.4,0.5
47,0.4,0.1,0.1,-,-,0.4,-,0.4,-,0.6,0.4,0.3,1,0.8,1.5,0.9,0.6
48,0.3,-,-,-,-,0.3,0.1,-,0.2,2.8,1.5,1.3,1.6,1.1,1.3,0.7,0.6
49,0.6,0.1,-,-,-,0.6,0.1,0.1,0.4,1.6,0.9,0.7,1.3,0.4,1.7,0.9,0.8
50,0.6,-,-,-,-,0.6,0.3,0.1,0.2,0.9,0.6,0.3,0.7,0.2,1,0.5,0.5
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
52,0.6,0.1,-,0.1,-,0.6,0.1,-,0.4,0.5,0.2,0.3,0.6,0.4,2.3,1.3,1.1
53,0.8,0.1,-,0.1,-,0.8,0.3,0.1,0.4,0.2,0.1,0.2,1.3,0.7,6.8,5,1.8
54,1,0.1,-,-,-,1,0.1,0.1,0.9,0.1,-,0.1,0.2,0.2,6.1,3.6,2.5
55,0.4,0.1,-,-,-,0.4,-,0.1,0.3,0.3,0.1,0.2,0.4,0.1,4.1,2.6,1.5
56,2,0.4,0.1,0.3,-,2,0.2,0.2,1.7,2.2,1.3,0.9,2.4,1.3,4.4,2.2,2.3
57,1.1,-,-,-,-,1.1,0.9,-,0.1,1.3,0.6,0.7,1.6,0.5,2.3,1,1.3
58,0.6,0.1,-,0.1,-,0.6,0.2,-,0.4,0.9,0.3,0.6,1.1,0.5,2.5,1.5,1
59,2,0.7,-,0.7,-,2,-,-,2,1.3,1.3,-,1,-,0.7,0.7,-
60,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.5,1.1,0.6,0.6,1.1,0.4,3,1.4,1.6
61,3.5,-,-,-,-,3.5,2.5,-,1,2.5,2.5,-,2,3,1,-,1
62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,1.5,0.2,-,0.1,-,1.5,0.6,0.1,0.8,2.2,1.3,0.9,1.4,1.2,2.1,0.7,1.4
64,0.1,-,-,-,-,0.1,0.1,-,-,0.8,0.4,0.4,0.5,0.2,1.9,1.1,0.8
65,1.9,0.2,-,0.2,-,1.9,0.4,-,1.4,1.7,0.8,0.9,1.1,0.6,1.4,1.1,0.3
66,0.7,0.1,0.1,-,0.1,0.7,0.1,0.1,0.5,1,0.7,0.3,1.1,0.6,2,0.8,1.2
67,0.6,0.1,-,0.1,-,0.6,0.1,-,0.5,-,-,-,0.3,-,3.9,2.4,1.5
68,1.3,0.2,-,0.2,-,1.3,0.4,0.1,0.9,1.7,1,0.7,1.8,1.2,3.4,1.8,1.6
69,0.5,0.1,-,-,-,0.5,0.4,-,0.1,1.5,0.8,0.7,1.3,0.4,1.1,0.4,0.7
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
71,-,-,-,-,-,-,-,-,-,1,0.7,0.3,1.3,0.7,2.3,1.3,1
72,0.4,0.1,-,-,-,0.4,0.1,0.1,0.2,0.4,0.2,0.2,0.7,0.2,2.4,1.3,1.1
