,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
49,Marco Asensio,Aston Villa,Ligue1,29 years old (21-01-1996),182cm,Spain,"Attacking Midfielder (Centre, Left, Right), Forward",,,8(4),620.0,2,4,-,-,90.2,0.1,-,6.98,,
50,Emanuel Emegha,RC Strasbourg Alsace,Ligue1,22 years old (03-02-2003),"1,96m",Netherlands,Forward,Centre-Forward,right,26,2218.0,14,3,6,-,80.9,1,2,6.98,"Jun 30, 2028",€20.00m
51,Thilo Kehrer,AS Monaco,Ligue1,28 years old (21-09-1996),"1,86m",Germany,"Defender (Centre, Left, Right), Midfielder (Right)",Centre-Back,both,26,2295.0,4,-,1,-,90.1,2,1,6.98,"Jun 30, 2028",€15.00m
52,Junya Ito,Stade Reims,Ligue1,32 years old (09-03-1993),"1,76m",Japan,"Midfielder (Left, Right), Forward",Right Winger,right,30(1),2588.0,4,3,1,-,75.8,0.5,4,6.98,"Jun 30, 2026",€8.00m
53,Nathan Zézé,FC Nantes,Ligue1,19 years old (18-06-2005),"1,90m",,Defender (Centre),Centre-Back,left,15,1315.0,-,-,4,-,86.1,1.8,1,6.96,"Jun 30, 2028",€12.00m
54,Nicolás Tagliafico,Olympique Lyon,Ligue1,32 years old (31-08-1992),"1,71m",Argentina,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,19(2),1635.0,3,1,6,-,88.4,1.1,1,6.95,"Jun 30, 2025",€7.00m
55,Donovan Léon,AJ Auxerre,Ligue1,32 years old (03-11-1992),"1,87m",France,Goalkeeper,Goalkeeper,right,29,2610.0,-,2,4,-,51.4,0.3,2,6.95,"Jun 30, 2027",€800k
56,Karl-Johan Johnsson,RC Strasbourg Alsace,Ligue1,35 years old (28-01-1990),"1,88m",Sweden,Goalkeeper,Goalkeeper,right,3,270.0,-,-,-,-,79.6,0.3,-,6.93,"Jun 30, 2026",€400k
57,Nuno Mendes,Paris Saint-Germain,Ligue1,22 years old (19-06-2002),"1,83m",Portugal,"Defender (Left), Midfielder (Left)",Left-Back,left,18(5),1586.0,1,2,3,-,88.4,0.7,1,6.93,"Jun 30, 2029",€55.00m
58,Guéla Doué,RC Strasbourg Alsace,Ligue1,22 years old (17-10-2002),"1,87m",France,"Defender (Centre, Right)",Right-Back,right,27(2),2472.0,1,1,6,-,86.6,1.8,1,6.93,"Jun 30, 2029",€12.00m
59,Hákon Haraldsson,LOSC Lille,Ligue1,22 years old (10-04-2003),"1,78m",,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,18(4),1539.0,5,3,3,-,82.5,0.1,2,6.93,"Jun 30, 2028",€15.00m
60,Charlie Cresswell,FC Toulouse,Ligue1,22 years old (17-08-2002),"1,90m",England,Defender (Centre),Centre-Back,right,27(2),2413.0,3,1,4,-,83,3.3,1,6.92,"Jun 30, 2028",€7.00m
61,Youssouf Ndayishimiye,OGC Nice,Ligue1,26 years old (27-10-1998),"1,83m",Burundi,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,22(1),1934.0,3,-,5,-,89.9,1.6,-,6.92,"Jun 30, 2027",€12.00m
62,Cristian Cásseres,FC Toulouse,Ligue1,25 years old (20-01-2000),"1,76m",Venezuela,"Midfielder (Centre, Right)",Central Midfield,right,28(1),2435.0,1,3,9,-,81.7,0.7,2,6.91,"Jun 30, 2027",€5.00m
63,Mahdi Camara,Stade Brestois 29,Ligue1,26 years old (30-06-1998),"1,78m",France,"Defender (Centre, Right), Midfielder (Centre)",Central Midfield,right,28(3),2402.0,5,2,5,-,87.8,0.6,2,6.91,"Jun 30, 2027",€10.00m
64,Patrik Carlgren,FC Nantes,Ligue1,33 years old (08-01-1992),"1,89m",Sweden,Goalkeeper,Goalkeeper,right,4(1),416.0,-,-,-,-,60.6,-,1,6.91,"Jun 30, 2026",€800k
65,Marquinhos,Paris Saint-Germain,Ligue1,30 years old (14-05-1994),"1,83m",Brazil,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,18(3),1651.0,1,-,3,-,94.9,1.5,-,6.91,"Jun 30, 2028",€40.00m
66,Wilfried Singo,AS Monaco,Ligue1,24 years old (25-12-2000),"1,90m",Ivory Coast,"Defender (Centre, Right), Midfielder (Right)",Centre-Back,right,20(4),1823.0,1,2,4,-,86.5,2,1,6.91,"Jun 30, 2028",€25.00m
67,Marcin Bulka,OGC Nice,Ligue1,25 years old (04-10-1999),"1,99m",Poland,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,-,-,77.5,0.4,2,6.9,"Jun 30, 2026",€20.00m
68,Gideon Mensah,AJ Auxerre,Ligue1,26 years old (18-07-1998),"1,78m",Ghana,"Defender (Left), Midfielder (Left)",Left-Back,left,24(2),2094.0,-,1,2,-,82.2,0.6,-,6.9,"Jun 30, 2026",€3.50m
69,Anthony Rouault,Stade Rennais FC,Ligue1,23 years old (29-05-2001),"1,86m",France,Defender (Centre),Centre-Back,right,8,703.0,-,-,-,-,90.4,2.9,-,6.9,"Jun 30, 2029",€10.00m
70,Tiago Santos,LOSC Lille,Ligue1,22 years old (23-07-2002),"1,75m",,Defender (Right),Right-Back,right,4(3),405.0,-,-,1,-,83.1,1,-,6.9,"Jun 30, 2029",€15.00m
71,Fabián Ruiz,Paris Saint-Germain,Ligue1,29 years old (03-04-1996),"1,89m",Spain,"Midfielder (Centre, Left)",Central Midfield,left,20(8),1834.0,4,4,1,-,91.4,0.1,2,6.9,"Jun 30, 2027",€35.00m
72,Aleksandr Golovin,AS Monaco,Ligue1,28 years old (30-05-1996),"1,78m",Russia,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,13(6),1155.0,3,-,1,-,79.2,0.5,1,6.9,"Jun 30, 2029",€25.00m
73,Melvin Bard,OGC Nice,Ligue1,24 years old (06-11-2000),"1,73m",France,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,19(2),1672.0,2,-,2,2,80.9,1,1,6.89,"Jun 30, 2028",€12.00m
74,Juma Bah,RC Lens,Ligue1,19 years old (11-04-2006),"1,95m",,Defender (Centre),Centre-Back,right,5(2),417.0,-,-,2,-,93.5,2.1,-,6.89,"Jun 30, 2025",€4.00m
75,Abdukodir Khusanov,Manchester City,Ligue1,21 years old (29-02-2004),186cm,Uzbekistan,Defender (Centre),,,11(2),976.0,-,-,2,1,89,2.2,-,6.89,,
76,Willian Pacho,Paris Saint-Germain,Ligue1,23 years old (16-10-2001),"1,87m",Ecuador,Defender (Centre),Centre-Back,left,22(5),2041.0,-,1,2,-,94.9,1,-,6.88,"Jun 30, 2029",€45.00m
77,Mathew Ryan,RC Lens,Ligue1,33 years old (08-04-1992),"1,84m",Australia,Goalkeeper,Goalkeeper,right,11,990.0,-,-,-,-,67.5,0.4,2,6.87,"Jun 30, 2025",€2.50m
78,Yahia Fofana,Angers SCO,Ligue1,24 years old (21-08-2000),"1,94m",Ivory Coast,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,4,-,63.2,0.3,1,6.87,"Jun 30, 2026",€6.00m
79,Zuriko Davitashvili,AS Saint-Étienne,Ligue1,24 years old (15-02-2001),"1,75m",Georgia,"Attacking Midfielder (Centre, Left, Right)",Right Winger,right,29(1),2524.0,8,7,2,-,82.9,0.5,2,6.86,"Jun 30, 2028",€10.00m
80,Gabriel Suazo,FC Toulouse,Ligue1,27 years old (09-08-1997),"1,78m",Chile,"Defender (Left), Midfielder (Left)",Left-Back,left,23(6),2141.0,-,6,-,-,82.6,0.5,1,6.86,"Jun 30, 2026",€4.00m
81,Azor Matusiwa,Stade Rennais FC,Ligue1,27 years old (28-04-1998),"1,73m",Netherlands,Defensive Midfielder (C),Defensive Midfield,right,21(5),1905.0,1,2,3,-,87.1,1.2,1,6.86,"Jun 30, 2028",€10.00m
82,Baptiste Santamaría,OGC Nice,Ligue1,30 years old (09-03-1995),"1,83m",France,Defensive Midfielder (C),Defensive Midfield,right,10(1),850.0,-,-,1,-,84.6,1.9,1,6.86,"Jun 30, 2025",€7.00m
83,Lucas Perri,Olympique Lyon,Ligue1,27 years old (10-12-1997),"1,97m",Brazil,Goalkeeper,Goalkeeper,right,30,2700.0,-,-,1,-,73,0.5,2,6.86,"Jun 30, 2028",€10.00m
84,Alexsandro Ribeiro,LOSC Lille,Ligue1,25 years old (09-08-1999),"1,91m",Brazil,Defender (Centre),Centre-Back,right,27,2430.0,1,1,9,-,91.2,2.1,2,6.85,"Jun 30, 2028",€15.00m
85,Douglas Augusto,FC Nantes,Ligue1,28 years old (13-01-1997),"1,73m",Brazil,Defensive Midfielder (C),Central Midfield,left,26,2137.0,4,2,8,-,87,0.8,-,6.85,"Jun 30, 2027",€6.00m
86,Alidu Seidu,Stade Rennais FC,Ligue1,24 years old (04-06-2000),"1,73m",Ghana,"Defender (Centre, Right)",Centre-Back,right,10(1),807.0,-,-,4,-,86.4,0.9,-,6.85,"Jun 30, 2029",€9.00m
87,Ali Abdi,OGC Nice,Ligue1,31 years old (20-12-1993),"1,83m",Tunisia,Midfielder (Left),Left-Back,left,15(7),1257.0,4,2,2,-,79.5,0.9,3,6.85,"Jun 30, 2027",€3.00m
88,Alexandre Lacazette,Olympique Lyon,Ligue1,33 years old (28-05-1991),"1,75m",France,"Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,22(6),1892.0,13,2,5,-,72.5,0.6,1,6.85,"Jun 30, 2025",€8.00m
89,Morgan Sanson,OGC Nice,Ligue1,30 years old (18-08-1994),"1,80m",France,"Midfielder (Centre, Left, Right)",Central Midfield,right,1(2),109.0,2,-,-,-,77.1,0.3,-,6.85,"Jun 30, 2027",€5.00m
90,Aron Dønnum,FC Toulouse,Ligue1,27 years old (20-04-1998),"1,78m",Norway,"Midfielder (Centre, Left, Right)",Left Midfield,left,29(1),2518.0,1,2,5,-,76.7,0.4,2,6.85,"Jun 30, 2028",€4.00m
91,Adrien Thomasson,RC Lens,Ligue1,31 years old (10-12-1993),"1,75m",France,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,28(2),2370.0,2,4,5,-,84,0.6,2,6.83,"Jun 30, 2026",€5.00m
92,Hervé Koffi,RC Lens,Ligue1,28 years old (16-10-1996),"1,86m",Burkina Faso,Goalkeeper,Goalkeeper,right,5,450.0,-,-,2,-,67.9,0.2,-,6.83,"Jun 30, 2028",€1.50m
93,Eliesse Ben Seghir,AS Monaco,Ligue1,20 years old (16-02-2005),"1,78m",Morocco,"Attacking Midfielder (Centre, Left), Forward",Left Winger,right,18(12),1648.0,6,3,-,-,82.3,0.5,2,6.83,"Jun 30, 2027",€30.00m
94,Marshall Munetsi,Wolverhampton Wanderers,Ligue1,28 years old (22-06-1996),188cm,Zimbabwe,"Defender (Centre), Midfielder (Centre)",,,19,1694.0,4,2,5,-,69.7,2.2,-,6.83,,
95,Ismaël Bennacer,Olympique Marseille,Ligue1,27 years old (01-12-1997),"1,75m",Algeria,Midfielder (Centre),Defensive Midfield,left,6(4),542.0,-,2,1,-,93.2,0.2,-,6.83,"Jun 30, 2025",€15.00m
96,Caio Henrique,AS Monaco,Ligue1,27 years old (31-07-1997),"1,78m",Brazil,"Defender (Left), Midfielder (Centre, Left)",Left-Back,left,18(6),1663.0,-,5,3,-,78.5,0.4,-,6.83,"Jun 30, 2027",€15.00m
97,Mory Gbane,Stade Reims,Ligue1,24 years old (25-12-2000),"1,88m",Ivory Coast,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,10,856.0,-,-,1,-,85.9,1.2,-,6.83,"Jun 30, 2029",€4.00m
98,Brice Samba,Stade Rennais FC,Ligue1,31 years old (25-04-1994),"1,87m",France,Goalkeeper,Goalkeeper,left,14,1260.0,-,-,3,-,75.4,0.4,1,6.82,"Jun 30, 2029",€15.00m
99,Gift Orban,TSG 1899 Hoffenheim,Ligue1,22 years old (17-07-2002),178cm,Nigeria,Forward,,,2(1),186.0,2,-,1,-,67.7,0.3,-,6.81,,
100,Tanguy Ndombélé,OGC Nice,Ligue1,28 years old (28-12-1996),"1,81m",France,Midfielder (Centre),Central Midfield,right,12(6),1134.0,1,2,2,-,88.3,0.2,-,6.81,"Jun 30, 2026",€10.00m
101,Leonardo Balerdi,Olympique Marseille,Ligue1,26 years old (26-01-1999),"1,87m",Argentina,Defender (Centre),Centre-Back,right,24,2006.0,-,-,6,1,94.1,1.5,-,6.81,"Jun 30, 2028",€20.00m
102,Yanis Zouaoui,Le Havre AC,Ligue1,27 years old (28-04-1998),"1,83m",,Defender (Left),Left-Back,left,9(6),945.0,-,2,3,-,74.8,0.5,2,6.81,"Jun 30, 2027",€800k
103,Gonçalo Ramos,Paris Saint-Germain,Ligue1,23 years old (20-06-2001),"1,85m",Portugal,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,10(9),868.0,7,2,-,-,80.6,1,-,6.8,"Jun 30, 2028",€45.00m
104,Mohammed Salisu,AS Monaco,Ligue1,26 years old (17-04-1999),"1,88m",Ghana,"Defender (Centre, Left)",Centre-Back,left,11(4),1021.0,1,-,2,-,85.4,2.4,-,6.8,"Jun 30, 2028",€15.00m
105,Ismaily,LOSC Lille,Ligue1,35 years old (11-01-1990),"1,77m",Brazil,Defender (Left),Left-Back,left,8(6),754.0,-,1,3,-,88.8,0.7,-,6.8,"Jun 30, 2025",€1.50m
106,Beraldo,Paris Saint-Germain,Ligue1,21 years old (24-11-2003),"1,86m",,"Defender (Centre, Left)",Centre-Back,left,20(2),1815.0,1,-,5,-,94.8,2,-,6.79,"Jun 30, 2028",€25.00m
107,Lucas Stassin,AS Saint-Étienne,Ligue1,20 years old (29-11-2004),"1,83m",Belgium,Forward,Centre-Forward,right,23(5),1897.0,12,4,4,-,76.4,0.6,3,6.79,"Jun 30, 2028",€7.00m
108,Adrien Truffert,Stade Rennais FC,Ligue1,23 years old (20-11-2001),"1,76m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,28(2),2485.0,2,1,3,-,84.2,1,1,6.79,"Jun 30, 2026",€15.00m
109,Neil El Aynaoui,RC Lens,Ligue1,23 years old (02-07-2001),"1,85m",France,Defensive Midfielder (C),Central Midfield,right,14(7),1319.0,5,1,4,-,88.3,1,2,6.79,"Jun 30, 2027",€10.00m
110,Julien Le Cardinal,Stade Brestois 29,Ligue1,27 years old (03-08-1997),"1,84m",France,Defender (Centre),Centre-Back,right,15(1),1379.0,-,1,3,-,87.2,1.8,-,6.79,"Jun 30, 2027",€1.50m
111,Arnaud Kalimuendo,Stade Rennais FC,Ligue1,23 years old (20-01-2002),"1,75m",France,Forward,Centre-Forward,right,29(1),2380.0,14,3,2,-,80.7,0.7,2,6.79,"Jun 30, 2027",€20.00m
112,Pierre Lees-Melou,Stade Brestois 29,Ligue1,31 years old (25-05-1993),"1,85m",France,"Midfielder (Centre, Left, Right)",Defensive Midfield,right,15(3),1360.0,2,2,5,-,85.6,0.2,1,6.79,"Jun 30, 2027",€7.00m
113,Kenny Lala,Stade Brestois 29,Ligue1,33 years old (03-10-1991),"1,78m",France,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,26(1),2416.0,3,2,5,-,81.2,0.2,-,6.78,"Jun 30, 2027",€2.50m
114,Gerónimo Rulli,Olympique Marseille,Ligue1,32 years old (20-05-1992),"1,89m",Argentina,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,1,-,86.2,0.3,2,6.77,"Jun 30, 2027",€8.00m
115,Clinton Mata,Olympique Lyon,Ligue1,32 years old (07-11-1992),"1,80m",Angola,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,25(2),2258.0,-,3,4,-,89.9,0.8,1,6.77,"Jun 30, 2026",€4.00m
116,Himad Abdelli,Angers SCO,Ligue1,25 years old (17-11-1999),"1,85m",France,"Attacking Midfielder (Centre, Left), Forward",Attacking Midfield,right,29,2583.0,6,1,4,-,84.8,0.5,-,6.77,"Jun 30, 2026",€7.00m
117,Joseph Okumu,Stade Reims,Ligue1,27 years old (26-05-1997),"1,90m",Kenya,Defender (Centre),Centre-Back,right,17(2),1499.0,1,-,3,1,83.2,1.5,1,6.77,"Jun 30, 2028",€7.00m
